episode,raw_return,semantic_return,shaped_return,return,success_rate,mean_reward,mean_semantic_reward,mean_shaped_reward,mean_semantic_accuracy_lcb,mean_semantic_uncertainty,non_cache_ratio,quality_cost,deadline_cost,quality_cost_normal,quality_cost_critical,deadline_cost_normal,deadline_cost_critical,conflict_cost,battery_cost,gpu_cost,bc_loss,demo_samples,entropy_weight,service_prior_weight,mean_bandwidth_share,mean_power_w,mean_cpu_share,mean_gpu_share,lambda_quality_normal,lambda_quality_critical,lambda_deadline_normal,lambda_deadline_critical,lambda_conflict,lambda_battery,lambda_gpu,lambda_quality,lambda_deadline
10.0,-25.659551999999998,16.545951199720005,14.797701199720006,-25.659551999999998,0.0,-3.2074439999999997,2.0682438999650006,1.8497126499650007,0.873910625,0.083691375,1.0,0.0,1.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.05541666666666666,0.285,0.808641392737627,0.7658468484878539,0.5723096048459411,0.39309423398226495,0.09124999999999998,0.0,0.02124999999999998,0.29,0.0,0.0,0.0,0.04562499999999999,0.15562499999999999
11.0,-7.420170999999999,70.57504053861334,69.70504053861335,-7.420170999999999,0.625,-0.9275213749999999,8.821880067326667,8.713130067326668,0.8745125000000002,0.07473350000000001,0.5,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,1.2942352294921875,160.0,0.05495833333333333,0.2835,0.5249999999999999,0.5499999999999998,0.22500000000000003,0.08000000000000002,0.08874999999999998,0.0,0.018749999999999982,0.30774999999999997,0.0,0.0,0.0,0.04437499999999999,0.16324999999999998
12.0,-8.196152999999999,2.474598349999999,1.7645983499999995,-8.196152999999999,0.0,-1.0245191249999999,0.3093247937499999,0.22057479374999994,0.40392000000000006,0.0623915,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.0545,0.282,0.049999999999999996,0.09999999999999999,0.049999999999999996,0.01,0.13624999999999998,0.0,0.01624999999999998,0.30674999999999997,0.0,0.0,0.0,0.06812499999999999,0.16149999999999998
13.0,-13.338365,37.34644590074001,35.796445900740004,-13.338365,0.25,-1.667295625,4.668305737592501,4.4745557375925005,0.8752965,0.079829125,0.875,0.0,0.75,0.0,0.0,0.125,0.625,0.0,0.0,0.0,1.2942352294921875,160.0,0.05404166666666666,0.2805,0.801585647650063,0.7887076437473297,0.4459805857390165,0.25549961261451243,0.13374999999999998,0.0,0.01999999999999998,0.33699999999999997,0.0,0.0,0.0,0.06687499999999999,0.17849999999999996
14.0,-19.471527,23.942204908753336,21.583204908753338,-19.471527,0.125,-2.433940875,2.992775613594167,2.697900613594167,0.871483,0.082031125,0.875,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.05358333333333333,0.27899999999999997,0.88125,0.8875,0.35624999999999996,0.1325,0.13124999999999998,0.0,0.01749999999999998,0.37975,0.0,0.0,0.0,0.06562499999999999,0.19862499999999997
15.0,-28.369691999999993,15.434428090333341,12.75867809033334,-28.369691999999993,0.0,-3.546211499999999,1.9293035112916677,1.5948347612916676,0.873910625,0.083691375,1.0,0.0,1.0,0.0,0.0,0.125,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.053125,0.2775,0.9309857524931431,0.9152922086417675,0.49211957342922685,0.2754440389573574,0.12874999999999998,0.0,0.02124999999999998,0.4225,0.0,0.0,0.0,0.06437499999999999,0.221875
16.0,-9.178858,60.59193067306001,58.901930673060015,-9.178858,0.5,-1.14735725,7.573991334132502,7.362741334132502,0.8811411250000001,0.078223125,0.625,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.2942352294921875,160.0,0.05266666666666667,0.276,0.5902959005907177,0.6238240011036394,0.3067286983132361,0.13971366066485644,0.12624999999999997,0.0,0.018749999999999982,0.4465,0.0,0.0,0.0,0.06312499999999999,0.232625
17.0,-12.474954,38.968794806640005,36.28979480664,-12.474954,0.25,-1.55936925,4.871099350830001,4.53622435083,0.901027,0.088692,1.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.2942352294921875,160.0,0.05220833333333333,0.2745,1.0,1.0,0.39999999999999997,0.15000000000000002,0.12374999999999997,0.0,0.01624999999999998,0.483,0.0,0.0,0.0,0.061874999999999986,0.24962499999999999
18.0,-11.454161000000001,36.93405471128001,34.86205471128001,-11.454161000000001,0.25,-1.4317701250000001,4.6167568389100015,4.357756838910001,0.820343625,0.073618375,0.75,0.125,0.625,0.125,0.0,0.125,0.5,0.0,0.0,0.0,1.2942352294921875,160.0,0.05175,0.273,0.600904644653201,0.6754775911569595,0.444537017121911,0.29626940857619044,0.12749999999999997,0.0,0.01999999999999998,0.507,0.0,0.0,0.0,0.06374999999999999,0.2635
19.0,-11.126609,16.693458693260002,16.25095869326,-11.126609,0.25,-1.390826125,2.0866823366575002,2.0313698366575,0.5389886250000001,0.05363250000000001,0.625,0.375,0.375,0.375,0.0,0.375,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.051291666666666666,0.2715,0.5789304135832934,0.6261114507913588,0.42706115320324894,0.313112220019102,0.14375,0.0,0.03624999999999998,0.506,0.0,0.0,0.0,0.071875,0.271125
20.0,-9.458558,75.30657321137335,75.01907321137334,-9.458558,0.75,-1.18231975,9.413321651421668,9.377384151421667,0.7628620000000002,0.06122000000000001,0.125,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.05083333333333333,0.27,0.11169443186372523,0.17801446542143826,0.11998896282166246,0.08000058583915234,0.15375,0.0,0.033749999999999974,0.505,0.0,0.0,0.0,0.076875,0.269375
21.0,-19.194382,28.46162142728001,24.926621427280004,-19.194382,0.125,-2.39929775,3.5577026784100014,3.1158276784100005,0.901027,0.088692,1.0,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.050374999999999996,0.2685,0.9585510909557342,0.9782039038836956,0.44896349534392355,0.21230849325656886,0.15125,0.0,0.031249999999999972,0.54775,0.0,0.0,0.0,0.075625,0.2895
22.0,-5.902857,80.44981536144668,79.35431536144668,-5.902857,0.75,-0.737857125,10.056226920180835,9.919289420180835,0.8678838750000002,0.07124387500000001,0.375,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.2942352294921875,160.0,0.049916666666666665,0.267,0.3472530748695134,0.40724199041724213,0.21602583900094033,0.08562995605170728,0.14875,0.0,0.02874999999999997,0.5592499999999999,0.0,0.0,0.0,0.074375,0.29399999999999993
23.0,-4.98946,90.04530222908002,89.48605222908,-4.98946,0.875,-0.6236825,11.255662778635003,11.185756528635,0.8612552500000001,0.06775425,0.25,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.2942352294921875,160.0,0.049458333333333326,0.2655,0.28749999999999987,0.32500000000000007,0.13750000000000004,0.04500000000000001,0.14625,0.0,0.026249999999999968,0.5644999999999999,0.0,0.0,0.0,0.073125,0.29537499999999994
24.0,-3.7820980000000004,75.25826988333334,74.96576988333335,-3.7820980000000004,0.75,-0.47276225000000005,9.407283735416668,9.370721235416669,0.7322398750000001,0.060969375000000006,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.048999999999999995,0.264,0.049999999999999996,0.09999999999999999,0.049999999999999996,0.01,0.15625,0.0,0.023749999999999966,0.5634999999999999,0.0,0.0,0.0,0.078125,0.2936249999999999
25.0,-3.5266149999999996,88.63599863333334,88.47974863333334,-3.5266149999999996,0.875,-0.44082687499999995,11.079499829166668,11.059968579166668,0.8239137500000002,0.06064800000000001,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.048541666666666664,0.2625,0.049999999999999996,0.09999999999999999,0.049999999999999996,0.01,0.16,0.0,0.021249999999999963,0.5624999999999999,0.0,0.0,0.0,0.08,0.29187499999999994
26.0,-17.908037,23.935671730873338,23.808171730873333,-17.908037,0.25,-2.238504625,2.9919589663591672,2.9760214663591666,0.7099090000000001,0.04996724999999999,0.875,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.04808333333333333,0.261,0.7306441560387611,0.8363825500011445,0.661818151921034,0.4491408348828554,0.1575,0.0,0.05624999999999996,0.5614999999999999,0.0,0.0,0.0,0.07875,0.3088749999999999
27.0,-8.210319,88.11916240000001,87.96166240000001,-8.210319,0.875,-1.026289875,11.014895300000001,10.995207800000001,0.8158992500000002,0.06102062500000001,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.2942352294921875,160.0,0.047625,0.2595,0.049999999999999996,0.09999999999999999,0.049999999999999996,0.01,0.16125,0.0,0.05374999999999996,0.5604999999999999,0.0,0.0,0.0,0.080625,0.3071249999999999
28.0,-19.184273,28.58644196563334,24.662941965633344,-19.184273,0.125,-2.398034125,3.5733052457041676,3.082867745704168,0.902412875,0.08482975,0.875,0.0,0.875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,1.2942352294921875,160.0,0.04716666666666666,0.258,0.8099369560368359,0.8729125760495662,0.39540643393993374,0.1537756445631385,0.15875,0.0,0.051249999999999955,0.6032499999999998,0.0,0.0,0.0,0.079375,0.3272499999999999
29.0,-8.671353,60.824285477540016,58.41128547754002,-8.671353,0.5,-1.083919125,7.603035684692502,7.301410684692502,0.8811411250000001,0.078223125,0.625,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.2942352294921875,160.0,0.04670833333333333,0.2565,0.6437499999999999,0.6624999999999999,0.26874999999999993,0.09750000000000002,0.15625,0.0,0.04874999999999995,0.6272499999999999,0.0,0.0,0.0,0.078125,0.3379999999999999
