episode,quality_cost,deadline_cost,lambda_quality,lambda_deadline
66.0,1.0,0.0,2.8124999999999996,0.9062499999999999
67.0,0.975,0.0,2.8612499999999996,0.9062499999999999
68.0,0.975,0.0,2.9099999999999997,0.9062499999999999
69.0,1.0,0.0,2.9599999999999995,0.9062499999999999
70.0,0.975,0.0,3.0087499999999996,0.9062499999999999
71.0,1.0,0.0,3.0587499999999994,0.9062499999999999
72.0,1.0,0.0,3.1087499999999992,0.9062499999999999
73.0,1.0,0.0,3.158749999999999,0.9062499999999999
74.0,0.975,0.0,3.207499999999999,0.9062499999999999
75.0,1.0,0.0,3.257499999999999,0.9062499999999999
76.0,0.975,0.0,3.306249999999999,0.9062499999999999
77.0,0.975,0.0,3.354999999999999,0.9062499999999999
78.0,1.0,0.0,3.404999999999999,0.9062499999999999
79.0,0.975,0.0,3.453749999999999,0.9062499999999999
80.0,0.975,0.0,3.502499999999999,0.9062499999999999
81.0,0.975,0.0,3.551249999999999,0.9062499999999999
82.0,1.0,0.0,3.601249999999999,0.9062499999999999
83.0,1.0,0.0,3.6512499999999988,0.9062499999999999
84.0,0.975,0.0,3.699999999999999,0.9062499999999999
85.0,0.95,0.0,3.7474999999999987,0.9062499999999999
86.0,0.975,0.0,3.796249999999999,0.9062499999999999
87.0,1.0,0.0,3.8462499999999986,0.9062499999999999
88.0,0.95,0.025,3.8937499999999985,0.9074999999999999
89.0,0.95,0.0,3.9412499999999984,0.9074999999999999
90.0,0.95,0.025,3.9887499999999982,0.9087499999999998
91.0,1.0,0.0,4.0387499999999985,0.9087499999999998
92.0,1.0,0.0,4.088749999999998,0.9087499999999998
93.0,0.975,0.0,4.137499999999998,0.9087499999999998
94.0,0.975,0.0,4.1862499999999985,0.9087499999999998
95.0,0.975,0.0,4.2349999999999985,0.9087499999999998
96.0,0.95,0.0,4.282499999999999,0.9087499999999998
97.0,0.95,0.0,4.329999999999999,0.9087499999999998
98.0,0.975,0.0,4.378749999999999,0.9087499999999998
99.0,0.95,0.0,4.42625,0.9087499999999998
100.0,1.0,0.0,4.476249999999999,0.9087499999999998
101.0,0.95,0.0,4.52375,0.9087499999999998
102.0,0.95,0.0,4.57125,0.9087499999999998
103.0,0.975,0.0,4.62,0.9087499999999998
104.0,1.0,0.0,4.67,0.9087499999999998
105.0,0.95,0.0,4.7175,0.9087499999999998
106.0,1.0,0.0,4.7675,0.9087499999999998
107.0,0.975,0.0,4.81625,0.9087499999999998
108.0,0.975,0.0,4.865,0.9087499999999998
109.0,1.0,0.0,4.915,0.9087499999999998
110.0,0.975,0.0,4.96375,0.9087499999999998
111.0,1.0,0.0,5.01375,0.9087499999999998
112.0,1.0,0.0,5.06375,0.9087499999999998
113.0,1.0,0.0,5.11375,0.9087499999999998
114.0,0.975,0.0,5.1625,0.9087499999999998
115.0,1.0,0.0,5.2124999999999995,0.9087499999999998
116.0,1.0,0.0,5.262499999999999,0.9087499999999998
117.0,0.975,0.0,5.311249999999999,0.9087499999999998
118.0,0.95,0.0,5.35875,0.9087499999999998
119.0,0.95,0.0,5.40625,0.9087499999999998
