series,episode,mean,std
peak:raw_return,83,1.638555,6.947573
peak:raw_return,84,1.656724,2.421115
peak:raw_return,85,-3.538051,1.785810
peak:raw_return,86,-4.737255,0.899060
peak:raw_return,87,0.050172,6.035947
peak:raw_return,88,-4.798409,2.157839
peak:raw_return,89,-3.103414,2.881331
peak:raw_return,90,-2.898637,1.744497
peak:raw_return,91,0.258294,2.975230
peak:raw_return,92,-2.112911,2.123954
peak:raw_return,93,-0.865607,1.996536
peak:raw_return,94,-2.805272,2.419279
peak:raw_return,95,-2.373105,2.983530
peak:raw_return,96,-1.532922,2.688713
peak:raw_return,97,-4.905957,1.602235
peak:raw_return,98,-4.367703,1.730255
peak:raw_return,99,-3.422175,3.846689
peak:raw_return,100,-2.966221,1.995801
peak:raw_return,101,1.772907,0.548321
peak:raw_return,102,-1.995423,3.279611
peak:raw_return,103,-2.301483,0.201825
peak:raw_return,104,-2.760089,2.494520
peak:raw_return,105,-1.495967,1.897579
peak:raw_return,106,-0.291467,0.573015
peak:raw_return,107,-2.301862,0.706331
peak:raw_return,108,-3.456708,4.043152
peak:raw_return,109,-2.180842,4.182224
peak:raw_return,110,-5.835260,3.252891
peak:raw_return,111,-2.622207,3.705913
peak:raw_return,112,-5.505241,2.387732
peak:raw_return,113,-2.957203,5.066754
peak:raw_return,114,-2.175714,4.975075
peak:raw_return,115,-3.157363,2.544321
peak:raw_return,116,1.334166,7.972900
peak:raw_return,117,-3.802127,1.144716
peak:raw_return,118,-3.432749,1.023247
peak:raw_return,119,-1.302584,3.523278
peak:raw_return,120,-5.510394,0.206648
peak:raw_return,121,-2.143310,3.804770
peak:raw_return,122,1.647724,3.110298
peak:raw_return,123,-0.723385,5.805129
peak:raw_return,124,-0.693463,5.201713
peak:raw_return,125,-0.738326,7.693415
peak:raw_return,126,-5.850476,1.167085
peak:raw_return,127,-5.951440,1.761588
peak:raw_return,128,-3.042573,3.046211
peak:raw_return,129,-2.710767,2.491100
peak:raw_return,130,-5.200249,2.481203
peak:raw_return,131,-2.431453,5.467891
peak:raw_return,132,-3.618137,2.498357
peak:raw_return,133,-5.228541,1.287397
peak:raw_return,134,-3.760684,3.436120
peak:raw_return,135,-6.244794,1.246741
peak:raw_return,136,0.100059,4.185918
peak:raw_return,137,-3.797727,3.995501
peak:raw_return,138,-4.792184,1.403236
peak:raw_return,139,-0.530755,2.498052
peak:raw_return,140,-0.598118,2.759606
peak:raw_return,141,-3.820436,1.700838
peak:raw_return,142,-3.634247,3.891242
peak:raw_return,143,-6.088425,0.178930
peak:raw_return,144,-2.222561,4.285627
peak:raw_return,145,-3.145605,3.447947
peak:raw_return,146,3.315581,1.721464
peak:raw_return,147,-0.970335,2.030558
peak:raw_return,148,4.149685,6.208489
peak:raw_return,149,-2.377083,4.272841
peak:raw_return,150,-4.755214,2.485234
peak:raw_return,151,-4.040370,2.056536
peak:raw_return,152,-0.294639,2.114653
peak:raw_return,153,-2.937764,1.733081
peak:raw_return,154,3.526239,3.116868
peak:raw_return,155,-1.269807,0.512734
peak:raw_return,156,-3.607413,3.370972
peak:raw_return,157,-6.524908,0.580442
peak:raw_return,158,-6.235639,0.909662
peak:raw_return,159,-7.171117,0.865274
peak:raw_return,160,-6.791640,0.017954
peak:raw_return,161,-5.390071,1.869280
peak:raw_return,162,-5.413189,1.127241
peak:raw_return,163,-1.290967,4.091672
peak:raw_return,164,2.006623,4.709848
peak:raw_return,165,-2.065650,4.075351
peak:raw_return,166,-4.220555,3.168354
peak:raw_return,167,-7.581722,0.266809
peak:raw_return,168,-5.653906,1.828949
peak:raw_return,169,-3.147858,3.701997
peak:raw_return,170,-5.279517,2.160450
peak:raw_return,171,-3.607890,2.292713
peak:raw_return,172,-2.359050,0.488820
peak:raw_return,173,-4.903135,1.829665
peak:raw_return,174,-1.878391,3.469890
peak:raw_return,175,-1.807479,4.338558
peak:raw_return,176,-2.545298,2.146799
peak:raw_return,177,0.522422,3.004675
peak:raw_return,178,-1.139886,2.444784
peak:raw_return,179,-2.829096,0.962202
peak:raw_return,180,-2.897762,0.528644
peak:raw_return,181,-1.542369,1.182101
peak:raw_return,182,-5.633455,2.167147
peak:raw_return,183,-6.073428,2.133781
peak:raw_return,184,-4.180274,2.155971
peak:raw_return,185,-2.394384,4.126196
peak:raw_return,186,-4.458107,1.624602
peak:raw_return,187,-3.900181,2.400949
peak:raw_return,188,-2.047104,2.663054
peak:raw_return,189,0.561156,6.241241
peak:raw_return,190,-2.478040,3.622586
peak:raw_return,191,-4.770868,3.467253
peak:raw_return,192,-6.166433,2.451328
peak:raw_return,193,-5.790104,2.175160
peak:raw_return,194,-2.687813,5.395173
peak:raw_return,195,-5.565873,1.604740
peak:raw_return,196,-0.587927,7.612506
peak:raw_return,197,-3.212851,3.912192
peak:raw_return,198,3.939347,1.931969
peak:raw_return,199,1.005163,5.697995
peak:raw_return,200,0.876748,6.196002
peak:raw_return,201,-3.717111,1.321891
peak:raw_return,202,-1.216556,2.187735
peak:raw_return,203,-4.223741,1.466749
peak:raw_return,204,-2.347147,5.915379
peak:raw_return,205,-3.827987,1.910074
peak:raw_return,206,-5.247315,1.153094
peak:raw_return,207,-2.048451,4.519966
peak:raw_return,208,-3.071076,2.489245
peak:raw_return,209,-1.552121,4.958295
peak:raw_return,210,-4.280153,2.419868
peak:raw_return,211,-6.145555,0.490524
peak:raw_return,212,-4.780505,1.602892
peak:raw_return,213,-2.571955,4.599728
peak:raw_return,214,-3.488969,1.374923
peak:raw_return,215,0.099188,1.688969
peak:raw_return,216,3.893620,4.568782
peak:raw_return,217,-4.073516,2.380270
peak:raw_return,218,-3.742203,2.278755
peak:raw_return,219,-4.527457,1.914021
peak:raw_return,220,1.748572,2.161475
peak:raw_return,221,-1.405552,2.057065
peak:raw_return,222,-3.486108,2.400131
peak:raw_return,223,-4.749675,2.194583
peak:raw_return,224,-7.475327,0.909374
peak:raw_return,225,-4.211163,4.037431
peak:raw_return,226,-1.300070,3.698802
peak:raw_return,227,-2.990679,2.235882
peak:raw_return,228,1.949932,2.909269
peak:raw_return,229,5.863647,6.288767
peak:raw_return,230,-2.220426,2.812911
peak:raw_return,231,0.428453,3.703768
peak:raw_return,232,1.205524,5.025547
peak:raw_return,233,-3.634104,1.542419
peak:raw_return,234,-0.174917,4.652748
peak:raw_return,235,2.263918,5.509437
peak:raw_return,236,2.411071,2.983309
peak:raw_return,237,-0.958020,4.538385
peak:raw_return,238,-5.508781,0.936401
peak:raw_return,239,-5.268267,4.024205
peak:raw_return,240,-2.976635,5.568491
peak:raw_return,241,-2.313771,4.336157
peak:raw_return,242,-0.640198,3.924027
peak:raw_return,243,-3.973371,1.328295
peak:raw_return,244,-3.538107,1.645111
peak:raw_return,245,-0.733285,6.790438
peak:raw_return,246,-6.057521,0.314381
peak:raw_return,247,-6.437173,0.672360
peak:raw_return,248,-3.333506,4.042165
peak:raw_return,249,-3.544059,2.945415
peak:raw_return,250,0.840741,3.699181
peak:raw_return,251,-4.208635,1.882213
peak:raw_return,252,-2.582994,2.280490
peak:raw_return,253,-0.367159,4.422124
peak:raw_return,254,-3.886759,3.636300
peak:raw_return,255,-4.278937,3.009946
peak:raw_return,256,-4.197319,2.532078
peak:raw_return,257,-1.106926,5.751858
peak:raw_return,258,1.644621,8.494004
peak:raw_return,259,-4.902903,3.023533
peak:raw_return,260,-2.046413,4.414714
peak:raw_return,261,-3.894353,2.428379
peak:raw_return,262,-1.389853,3.732245
peak:raw_return,263,-1.401938,3.524074
peak:raw_return,264,-1.987951,2.838564
peak:raw_return,265,-2.077233,1.070822
peak:raw_return,266,-1.010751,4.806160
peak:raw_return,267,-2.338974,2.741433
peak:raw_return,268,-6.098467,1.670596
peak:raw_return,269,-5.885433,1.016313
peak:raw_return,270,-3.931820,4.427447
peak:raw_return,271,-3.476070,3.992327
peak:raw_return,272,-2.842913,2.873902
peak:raw_return,273,-4.615515,1.531349
peak:raw_return,274,-2.010846,1.801032
peak:raw_return,275,-2.964309,4.619679
peak:raw_return,276,-5.696639,2.606167
peak:raw_return,277,-5.423108,1.950670
peak:raw_return,278,-5.685842,2.247286
peak:raw_return,279,-4.951106,1.312985
peak:raw_return,280,-2.793465,1.776699
peak:raw_return,281,-1.176081,1.469160
peak:raw_return,282,-1.368218,2.505675
peak:raw_return,283,-4.280548,1.056437
peak:raw_return,284,-2.042300,1.539301
peak:raw_return,285,-5.136551,1.614670
peak:raw_return,286,-6.261043,2.681803
peak:raw_return,287,-7.287291,0.651509
peak:raw_return,288,-5.157139,3.462947
peak:raw_return,289,-2.205371,4.522917
peak:raw_return,290,-2.565362,0.647291
peak:raw_return,291,-3.282023,1.529803
peak:raw_return,292,-2.624342,0.428332
peak:raw_return,293,0.043457,5.343600
peak:raw_return,294,-2.667550,0.277037
peak:raw_return,295,-0.663801,2.234211
peak:raw_return,296,-1.754835,1.375852
peak:raw_return,297,-2.207065,0.902930
peak:raw_return,298,-1.465889,4.302304
peak:raw_return,299,-4.147432,1.808145
peak:raw_return,300,-0.437430,3.120173
peak:raw_return,301,-2.480888,1.176453
peak:raw_return,302,-2.624342,2.252226
peak:raw_return,303,-0.346711,4.055128
peak:raw_return,304,0.158284,7.250139
peak:raw_return,305,0.943908,1.747350
peak:raw_return,306,-2.891549,4.121346
peak:raw_return,307,-3.160617,1.561928
peak:raw_return,308,-0.816034,2.100745
peak:raw_return,309,-0.660752,4.726533
peak:raw_return,310,-1.776893,2.864773
peak:raw_return,311,-1.085166,2.335013
peak:raw_return,312,-2.489034,4.382732
peak:raw_return,313,-2.614689,3.691032
peak:raw_return,314,-3.484674,1.895967
peak:raw_return,315,0.933127,3.507426
peak:raw_return,316,-3.817898,1.396209
peak:raw_return,317,0.342163,4.971956
peak:raw_return,318,-6.354221,1.213195
peak:raw_return,319,-5.342314,1.929350
peak:raw_return,320,0.369237,5.630507
peak:raw_return,321,-3.252984,3.349867
peak:raw_return,322,-0.709436,2.475877
peak:raw_return,323,-1.948065,1.108345
peak:raw_return,324,-1.342378,2.302672
peak:raw_return,325,-3.098018,3.258564
peak:raw_return,326,-2.376963,4.202765
peak:raw_return,327,-2.283533,5.959799
peak:raw_return,328,-3.486759,4.046971
peak:raw_return,329,-6.493898,0.777398
peak:raw_return,330,-6.848480,0.429800
peak:raw_return,331,-6.226360,0.728386
peak:raw_return,332,-5.357926,1.997892
peak:raw_return,333,-0.826077,4.134905
peak:raw_return,334,-5.820970,1.045974
peak:raw_return,335,-2.391004,2.956835
peak:raw_return,336,-2.412960,3.627752
peak:raw_return,337,-2.165149,5.340230
peak:raw_return,338,-3.264468,2.376529
peak:raw_return,339,-5.097518,2.617569
peak:raw_return,340,0.994361,4.226709
peak:raw_return,341,-0.718499,3.605970
peak:raw_return,342,-1.204481,4.131977
peak:raw_return,343,-3.506568,3.033251
peak:raw_return,344,-0.136192,4.843543
peak:raw_return,345,-4.590702,1.730528
peak:raw_return,346,-0.204917,3.982656
peak:raw_return,347,0.108743,1.948068
peak:raw_return,348,-1.811273,2.667638
peak:raw_return,349,-3.271404,2.815881
peak:raw_return,350,-5.148075,2.093258
peak:raw_return,351,-6.358196,0.601380
peak:raw_return,352,-3.637069,4.740806
peak:raw_return,353,0.382711,5.958785
peak:raw_return,354,-0.474316,4.691553
peak:raw_return,355,-1.853456,4.000119
peak:raw_return,356,-1.211386,3.826953
peak:raw_return,357,1.058776,5.296074
peak:raw_return,358,-3.147554,2.883861
peak:raw_return,359,-2.291536,3.905022
peak:raw_return,360,-4.703066,1.320120
peak:raw_return,361,-0.634977,4.367825
peak:raw_return,362,-2.524950,2.374644
peak:raw_return,363,-3.549782,1.633201
peak:raw_return,364,-3.852080,2.434909
peak:raw_return,365,-4.443874,1.893454
peak:raw_return,366,-4.022561,3.500837
peak:raw_return,367,-1.656267,5.590958
peak:raw_return,368,-2.353573,3.946042
peak:raw_return,369,-5.419261,2.099538
peak:raw_return,370,-2.836200,2.610403
peak:raw_return,371,-3.233029,0.641210
peak:raw_return,372,-3.265765,1.967644
peak:raw_return,373,-3.723655,1.986078
peak:raw_return,374,-4.338982,1.380523
peak:raw_return,375,-4.926024,1.818487
peak:raw_return,376,-2.372997,3.476278
peak:raw_return,377,-5.775874,1.500077
peak:raw_return,378,-4.058030,1.445429
peak:raw_return,379,-2.046911,1.675641
peak:raw_return,380,0.668374,4.569279
peak:raw_return,381,3.834837,6.298450
peak:raw_return,382,-2.733368,0.250978
peak:raw_return,383,0.781998,2.997742
peak:raw_return,384,0.854197,6.748115
peak:raw_return,385,3.100828,1.724815
peak:raw_return,386,-0.722162,0.792650
peak:raw_return,387,-0.365468,1.788796
peak:raw_return,388,-0.358949,5.042389
peak:raw_return,389,-1.795616,4.133956
peak:raw_return,390,-5.145062,2.781812
peak:raw_return,391,-3.383985,1.444164
peak:raw_return,392,-1.792435,5.347013
peak:raw_return,393,-3.710437,3.440257
peak:raw_return,394,-2.143082,3.185828
peak:raw_return,395,2.184740,6.512311
peak:raw_return,396,-2.835994,4.382704
peak:raw_return,397,-2.766422,3.495573
peak:raw_return,398,-0.667554,1.473946
peak:raw_return,399,-2.770846,3.974665
peak:raw_return,400,-2.610710,4.729526
peak:raw_return,401,-5.623770,0.366599
peak:raw_return,402,-3.465858,4.563119
peak:raw_return,403,-2.860383,2.941833
peak:raw_return,404,1.772377,6.022924
peak:raw_return,405,-4.069994,2.337698
peak:raw_return,406,-3.102833,3.780112
peak:raw_return,407,-2.586976,2.337713
peak:raw_return,408,-1.147094,4.856675
peak:raw_return,409,-3.497878,0.041724
peak:raw_return,410,-0.426235,2.331779
peak:raw_return,411,-3.686231,0.230443
peak:raw_return,412,-0.835013,1.928483
peak:raw_return,413,-1.552363,4.641866
peak:raw_return,414,-3.147356,2.011172
peak:raw_return,415,2.441246,7.724250
peak:raw_return,416,4.231257,3.018268
peak:raw_return,417,-0.548561,3.675109
peak:raw_return,418,-4.141604,1.658955
peak:raw_return,419,-4.559676,2.485570
peak:raw_return,420,-4.901768,2.828473
peak:raw_return,421,-5.101075,1.209949
peak:raw_return,422,-4.289831,2.868206
peak:raw_return,423,-1.481495,5.206756
peak:raw_return,424,1.889641,3.801879
peak:raw_return,425,-2.309905,3.328828
peak:raw_return,426,-1.439501,2.304496
peak:raw_return,427,-2.358285,0.683955
peak:raw_return,428,-1.568497,2.650633
peak:raw_return,429,-2.657802,2.970332
peak:raw_return,430,-3.245243,3.404989
peak:raw_return,431,-2.510070,4.223004
peak:raw_return,432,-3.772201,5.552223
peak:raw_return,433,-3.180960,4.249899
peak:raw_return,434,-3.837175,1.934694
peak:raw_return,435,-1.922891,2.890621
peak:raw_return,436,-3.278617,1.482456
peak:raw_return,437,-1.603271,1.015208
peak:raw_return,438,-3.560711,0.875907
peak:raw_return,439,-0.904716,5.248154
peak:raw_return,440,-4.344245,2.024447
peak:raw_return,441,-2.862698,3.565655
peak:raw_return,442,-1.446027,1.929673
peak:raw_return,443,-1.687964,3.574665
peak:raw_return,444,-3.365641,1.520253
peak:raw_return,445,-0.106112,4.212638
peak:raw_return,446,0.284417,0.984954
peak:raw_return,447,2.328112,5.516785
peak:raw_return,448,2.086347,2.692910
peak:raw_return,449,2.745714,3.463471
peak:raw_return,450,1.165062,2.761283
peak:raw_return,451,-0.077526,1.999490
peak:raw_return,452,-3.373868,2.463208
peak:raw_return,453,-2.026748,2.392061
peak:raw_return,454,-6.166611,0.305004
peak:raw_return,455,-0.420973,8.141644
peak:raw_return,456,-0.106684,6.613817
peak:raw_return,457,0.779386,7.372686
peak:raw_return,458,-0.944345,1.477487
peak:raw_return,459,-3.492925,3.014275
peak:raw_return,460,-2.756907,2.172366
peak:raw_return,461,-2.370119,3.886777
peak:raw_return,462,-4.920667,2.501793
peak:raw_return,463,-2.588792,3.029977
peak:raw_return,464,-3.953768,1.831339
peak:raw_return,465,-2.345208,2.942987
peak:raw_return,466,-0.881009,1.715078
peak:raw_return,467,0.340646,2.983918
peak:raw_return,468,-1.202943,3.242809
peak:raw_return,469,0.245412,4.023554
peak:raw_return,470,-4.230098,2.237696
peak:raw_return,471,-1.753767,4.367573
peak:raw_return,472,-2.061262,3.890245
peak:raw_return,473,-5.991572,0.595831
peak:raw_return,474,-3.557587,1.610349
peak:raw_return,475,-3.730957,2.043486
peak:raw_return,476,-2.735873,3.470600
peak:raw_return,477,-3.379914,1.777400
peak:raw_return,478,-3.582115,3.175324
peak:raw_return,479,-0.653842,4.720468
peak:raw_return,480,-2.473802,1.323180
peak:raw_return,481,-0.724868,3.986270
peak:raw_return,482,3.506378,6.491146
peak:raw_return,483,-2.981804,2.704950
peak:raw_return,484,1.281989,7.767747
peak:raw_return,485,-0.229677,4.326270
peak:raw_return,486,-1.672788,4.924316
peak:raw_return,487,-3.354231,1.699016
peak:raw_return,488,-1.336233,2.606613
peak:raw_return,489,-4.967618,1.418796
peak:raw_return,490,-2.198183,3.124959
peak:raw_return,491,-2.251069,3.118451
peak:raw_return,492,-0.842457,2.831720
peak:raw_return,493,-2.966199,4.031290
peak:raw_return,494,-1.130560,3.016401
peak:raw_return,495,-2.792685,2.152282
peak:raw_return,496,-3.038634,2.152834
peak:raw_return,497,-1.942294,3.016802
peak:raw_return,498,-6.275252,0.653428
peak:raw_return,499,-2.343827,3.170725
peak:quality_cost_critical,0,0.333333,0.047140
peak:quality_cost_critical,1,0.283333,0.023570
peak:quality_cost_critical,2,0.300000,0.081650
peak:quality_cost_critical,3,0.334524,0.097605
peak:quality_cost_critical,4,0.377778,0.031427
peak:quality_cost_critical,5,0.228571,0.040406
peak:quality_cost_critical,6,0.566667,0.205480
peak:quality_cost_critical,7,0.100000,0.081650
peak:quality_cost_critical,8,0.233333,0.169967
peak:quality_cost_critical,9,0.388889,0.291018
peak:quality_cost_critical,10,0.244444,0.109994
peak:quality_cost_critical,11,0.295238,0.081927
peak:quality_cost_critical,12,0.255556,0.062854
peak:quality_cost_critical,13,0.400000,0.163299
peak:quality_cost_critical,14,0.211111,0.095581
peak:quality_cost_critical,15,0.242857,0.137519
peak:quality_cost_critical,16,0.407407,0.154316
peak:quality_cost_critical,17,0.311111,0.083148
peak:quality_cost_critical,18,0.366667,0.047140
peak:quality_cost_critical,19,0.433333,0.124722
peak:quality_cost_critical,20,0.137037,0.123839
peak:quality_cost_critical,21,0.333333,0.094281
peak:quality_cost_critical,22,0.477778,0.228252
peak:quality_cost_critical,23,0.511111,0.206080
peak:quality_cost_critical,24,0.533333,0.188562
peak:quality_cost_critical,25,0.433333,0.262467
peak:quality_cost_critical,26,0.366667,0.047140
peak:quality_cost_critical,27,0.214286,0.064944
peak:quality_cost_critical,28,0.425000,0.127475
peak:quality_cost_critical,29,0.388889,0.177082
peak:quality_cost_critical,30,0.333333,0.094281
peak:quality_cost_critical,31,0.400000,0.163299
peak:quality_cost_critical,32,0.466667,0.249444
peak:quality_cost_critical,33,0.333333,0.047140
peak:quality_cost_critical,34,0.461111,0.242034
peak:quality_cost_critical,35,0.244444,0.062854
peak:quality_cost_critical,36,0.444444,0.113312
peak:quality_cost_critical,37,0.433333,0.124722
peak:quality_cost_critical,38,0.433333,0.047140
peak:quality_cost_critical,39,0.433333,0.094281
peak:quality_cost_critical,40,0.355556,0.139665
peak:quality_cost_critical,41,0.477778,0.109994
peak:quality_cost_critical,42,0.433333,0.047140
peak:quality_cost_critical,43,0.444444,0.257241
peak:quality_cost_critical,44,0.300000,0.081650
peak:quality_cost_critical,45,0.444444,0.113312
peak:quality_cost_critical,46,0.400000,0.163299
peak:quality_cost_critical,47,0.500000,0.081650
peak:quality_cost_critical,48,0.400000,0.000000
peak:quality_cost_critical,49,0.225397,0.079808
peak:quality_cost_critical,50,0.433333,0.124722
peak:quality_cost_critical,51,0.600000,0.163299
peak:quality_cost_critical,52,0.400000,0.163299
peak:quality_cost_critical,53,0.266667,0.249444
peak:quality_cost_critical,54,0.433333,0.124722
peak:quality_cost_critical,55,0.466667,0.124722
peak:quality_cost_critical,56,0.433333,0.124722
peak:quality_cost_critical,57,0.377778,0.166296
peak:quality_cost_critical,58,0.400000,0.141421
peak:quality_cost_critical,59,0.411111,0.068493
peak:quality_cost_critical,60,0.411111,0.068493
peak:quality_cost_critical,61,0.333333,0.094281
peak:quality_cost_critical,62,0.355556,0.031427
peak:quality_cost_critical,63,0.500000,0.081650
peak:quality_cost_critical,64,0.444444,0.113312
peak:quality_cost_critical,65,0.262963,0.099519
peak:quality_cost_critical,66,0.377778,0.031427
peak:quality_cost_critical,67,0.322222,0.109994
peak:quality_cost_critical,68,0.300000,0.081650
peak:quality_cost_critical,69,0.395238,0.087547
peak:quality_cost_critical,70,0.422222,0.185259
peak:quality_cost_critical,71,0.355556,0.139665
peak:quality_cost_critical,72,0.366667,0.124722
peak:quality_cost_critical,73,0.466667,0.094281
peak:quality_cost_critical,74,0.355556,0.031427
peak:quality_cost_critical,75,0.428571,0.129887
peak:quality_cost_critical,76,0.500000,0.216025
peak:quality_cost_critical,77,0.233333,0.124722
peak:quality_cost_critical,78,0.300000,0.081650
peak:quality_cost_critical,79,0.400000,0.000000
peak:quality_cost_critical,80,0.322222,0.109994
peak:quality_cost_critical,81,0.444444,0.113312
peak:quality_cost_critical,82,0.366667,0.124722
peak:quality_cost_critical,83,0.333333,0.094281
peak:quality_cost_critical,84,0.244444,0.062854
peak:quality_cost_critical,85,0.444444,0.113312
peak:quality_cost_critical,86,0.644444,0.219989
peak:quality_cost_critical,87,0.311111,0.083148
peak:quality_cost_critical,88,0.437037,0.282454
peak:quality_cost_critical,89,0.340741,0.083805
peak:quality_cost_critical,90,0.511111,0.206080
peak:quality_cost_critical,91,0.433333,0.047140
peak:quality_cost_critical,92,0.322222,0.136987
peak:quality_cost_critical,93,0.344444,0.041574
peak:quality_cost_critical,94,0.419444,0.282215
peak:quality_cost_critical,95,0.355556,0.139665
peak:quality_cost_critical,96,0.333333,0.136083
peak:quality_cost_critical,97,0.344444,0.122726
peak:quality_cost_critical,98,0.500000,0.216025
peak:quality_cost_critical,99,0.240741,0.042873
peak:quality_cost_critical,100,0.533333,0.094281
peak:quality_cost_critical,101,0.196296,0.022831
peak:quality_cost_critical,102,0.241667,0.116070
peak:quality_cost_critical,103,0.533333,0.047140
peak:quality_cost_critical,104,0.433333,0.047140
peak:quality_cost_critical,105,0.222222,0.157135
peak:quality_cost_critical,106,0.375000,0.194722
peak:quality_cost_critical,107,0.408333,0.204464
peak:quality_cost_critical,108,0.533333,0.188562
peak:quality_cost_critical,109,0.508333,0.283088
peak:quality_cost_critical,110,0.500000,0.141421
peak:quality_cost_critical,111,0.285185,0.046555
peak:quality_cost_critical,112,0.366667,0.124722
peak:quality_cost_critical,113,0.333333,0.094281
peak:quality_cost_critical,114,0.433333,0.124722
peak:quality_cost_critical,115,0.500000,0.141421
peak:quality_cost_critical,116,0.233333,0.124722
peak:quality_cost_critical,117,0.633333,0.124722
peak:quality_cost_critical,118,0.466667,0.047140
peak:quality_cost_critical,119,0.466667,0.094281
peak:quality_cost_critical,120,0.666667,0.188562
peak:quality_cost_critical,121,0.466667,0.094281
peak:quality_cost_critical,122,0.388889,0.177082
peak:quality_cost_critical,123,0.466667,0.188562
peak:quality_cost_critical,124,0.400000,0.163299
peak:quality_cost_critical,125,0.233333,0.169967
peak:quality_cost_critical,126,0.344444,0.041574
peak:quality_cost_critical,127,0.300000,0.141421
peak:quality_cost_critical,128,0.361905,0.097822
peak:quality_cost_critical,129,0.377778,0.166296
peak:quality_cost_critical,130,0.288889,0.062854
peak:quality_cost_critical,131,0.203704,0.138877
peak:quality_cost_critical,132,0.407407,0.277753
peak:quality_cost_critical,133,0.344444,0.041574
peak:quality_cost_critical,134,0.344444,0.041574
peak:quality_cost_critical,135,0.566667,0.329983
peak:quality_cost_critical,136,0.322222,0.109994
peak:quality_cost_critical,137,0.366667,0.047140
peak:quality_cost_critical,138,0.350000,0.070711
peak:quality_cost_critical,139,0.255556,0.103040
peak:quality_cost_critical,140,0.311111,0.083148
peak:quality_cost_critical,141,0.311111,0.083148
peak:quality_cost_critical,142,0.366667,0.205480
peak:quality_cost_critical,143,0.533333,0.188562
peak:quality_cost_critical,144,0.211111,0.149897
peak:quality_cost_critical,145,0.344444,0.041574
peak:quality_cost_critical,146,0.228571,0.040406
peak:quality_cost_critical,147,0.339683,0.046872
