policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,average_reward,seed,benchmark_policy,variant_kind
lyapunov_greedy,nominal_patrol,1,12,0.0,0.0,0.318,0.395668,0.333266,0.18122,85.85,0.0,0.0,0.501999,0.82,0.82,0.82,0.82,2.57314,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.070584,1,lyapunov_greedy,heuristic
ppo,nominal_patrol,1,12,0.833333,0.0,0.83609,0.935465,0.204203,9.000028,1075.727968,128.906993,128.906993,0.008929,0.82,0.82,0.82,0.82,0.099133,36.952878,3990.945499,0.0,0.0,858.418076,5.5484,0.127268,0.0,0.0,0.166667,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.833333,0.0,-2.846348,1,proposed_two_timescale_ppo,rl
always_cache,nominal_patrol,1,12,0.0,0.0,0.44076,0.50745,0.239511,0.197813,85.85,0.0,0.0,0.37424,0.815,0.815,0.76,0.82,2.148444,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.722056,2,always_cache,heuristic
always_semantic_token,nominal_patrol,1,12,0.0,0.0,0.391057,0.634442,0.428735,2.98255,371.384881,1.12298,1.12298,0.378943,0.77,0.77,0.76,0.82,2.333973,8.456381,1219.299649,0.0,0.0,329.416289,2.178679,0.055436,0.0,0.993983,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.99731,2,always_semantic_token,heuristic
always_image,nominal_patrol,1,12,0.0,0.0,0.072476,0.099099,0.378707,5.772635,546.868604,186.620515,186.620515,0.697524,0.77,0.77,0.76,0.82,4.221524,18.918596,1939.691273,0.0,0.0,329.416289,2.178679,0.055436,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.246516,2,always_image,heuristic
semantic_greedy,nominal_patrol,1,12,0.0,0.0,0.072476,0.099099,0.378707,5.772635,546.868604,186.620515,186.620515,0.697524,0.77,0.77,0.76,0.82,4.221524,18.918596,1939.691273,0.0,0.0,329.416289,2.178679,0.055436,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.246516,2,semantic_greedy,heuristic
lyapunov_greedy,nominal_patrol,1,12,0.0,0.0,0.44076,0.50745,0.239511,0.197813,85.85,0.0,0.0,0.37424,0.815,0.815,0.76,0.82,2.148444,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.722056,2,lyapunov_greedy,heuristic
ppo,nominal_patrol,1,12,0.0,0.0,0.586335,0.732675,0.300579,17.267813,2520.493168,0.663227,0.663227,0.228665,0.815,0.815,0.76,0.82,1.413534,93.952342,13409.500155,0.5,0.0,2454.744138,16.23508,0.025524,0.0,0.0,1.0,0.916667,0.25,0.0,0.0,0.0,0.0,0.166667,0.833333,0.0,0.0,-6.027907,2,proposed_two_timescale_ppo,rl
always_cache,disaster_hotspot,1,10,0.1,0.1,0.2558,0.370783,0.613399,0.238509,85.85,0.0,0.0,0.585,0.84,0.84,0.84,0.84,2.681964,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.892379,0,always_cache,heuristic
always_semantic_token,disaster_hotspot,1,10,0.0,0.0,0.355225,0.615385,0.454021,1.565284,150.726209,1.188401,1.188401,0.484775,0.84,0.84,0.84,0.84,2.666262,1.722713,51.27073,0.0,0.0,115.829654,0.766069,0.147531,1.0,0.993781,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.535724,0,always_semantic_token,heuristic
always_image,disaster_hotspot,1,10,0.0,0.0,0.0,0.0,0.391401,4.321504,324.89764,191.093224,191.093224,0.84,0.84,0.84,0.84,0.84,4.62,10.558077,292.268534,0.0,0.0,115.829654,0.766069,0.147531,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.976446,0,always_image,heuristic
semantic_greedy,disaster_hotspot,1,10,0.0,0.0,0.0,0.0,0.391401,4.321504,324.89764,191.093224,191.093224,0.84,0.84,0.84,0.84,0.84,4.62,10.558077,292.268534,0.0,0.0,115.829654,0.766069,0.147531,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.976446,0,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,1,10,0.1,0.1,0.2558,0.370783,0.613399,0.238509,85.85,0.0,0.0,0.585,0.84,0.84,0.84,0.84,2.681964,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.892379,0,lyapunov_greedy,heuristic
ppo,disaster_hotspot,1,10,0.0,0.0,0.434193,0.661539,0.434655,4.16437,556.845046,0.950721,0.950721,0.405807,0.84,0.84,0.84,0.84,1.916066,15.491551,1783.386826,0.0,0.0,527.357776,3.487816,0.565847,0.8,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,-3.577513,0,proposed_two_timescale_ppo,rl
always_cache,disaster_hotspot,1,10,0.0,0.0,0.237579,0.323077,0.371153,0.218226,85.85,0.0,0.0,0.602421,0.84,0.84,0.84,0.84,2.968014,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.877985,1,always_cache,heuristic
always_semantic_token,disaster_hotspot,1,10,0.1,0.1,0.54918,0.868594,0.603874,1.595187,158.308914,1.167787,1.167787,0.296923,0.84,0.84,0.84,0.84,1.040593,4.28753,57.217344,0.0,0.0,123.412322,0.816219,0.157104,1.0,0.994352,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.05032,1,always_semantic_token,heuristic
always_image,disaster_hotspot,1,10,0.0,0.0,0.771898,1.0,0.391401,4.327991,327.287315,206.76863,206.76863,0.068102,0.84,0.84,0.84,0.84,0.374561,16.965202,303.590455,0.0,0.0,118.20829,0.781801,0.152775,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.21005,1,always_image,heuristic
semantic_greedy,disaster_hotspot,1,10,0.0,0.0,0.771898,1.0,0.391401,4.327991,327.287315,206.76863,206.76863,0.068102,0.84,0.84,0.84,0.84,0.374561,16.965202,303.590455,0.0,0.0,118.20829,0.781801,0.152775,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.21005,1,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,1,10,0.0,0.0,0.237579,0.323077,0.371153,0.218226,85.85,0.0,0.0,0.602421,0.84,0.84,0.84,0.84,2.968014,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.877985,1,lyapunov_greedy,heuristic
ppo,disaster_hotspot,1,10,0.1,0.1,0.54918,0.868594,0.603874,1.660506,168.184977,1.167787,1.167787,0.296923,0.84,0.84,0.84,0.84,1.040593,4.728434,81.907505,0.0,0.0,133.288384,0.881537,0.157566,1.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.067334,1,proposed_two_timescale_ppo,rl
always_cache,disaster_hotspot,1,10,0.0,0.0,0.327937,0.356857,0.109124,0.244733,85.85,0.0,0.0,0.512063,0.84,0.84,0.84,0.84,2.605282,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.381071,2,always_cache,heuristic
always_semantic_token,disaster_hotspot,1,10,0.0,0.0,0.355225,0.615385,0.454021,1.609935,156.528262,1.188401,1.188401,0.484775,0.84,0.84,0.84,0.84,2.666262,4.621294,65.775788,0.0,0.0,121.631652,0.804442,0.146677,1.0,0.993781,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.726975,2,always_semantic_token,heuristic
always_image,disaster_hotspot,1,10,0.0,0.0,0.0,0.0,0.391401,4.374818,330.708356,191.093224,191.093224,0.84,0.84,0.84,0.84,0.84,4.62,17.364542,319.846513,0.0,0.0,121.631652,0.804442,0.146677,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.989433,2,always_image,heuristic
semantic_greedy,disaster_hotspot,1,10,0.0,0.0,0.0,0.0,0.391401,4.374818,330.708356,191.093224,191.093224,0.84,0.84,0.84,0.84,0.84,4.62,17.364542,319.846513,0.0,0.0,121.631652,0.804442,0.146677,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.989433,2,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,1,10,0.0,0.0,0.327937,0.356857,0.109124,0.244733,85.85,0.0,0.0,0.512063,0.84,0.84,0.84,0.84,2.605282,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.381071,2,lyapunov_greedy,heuristic
ppo,disaster_hotspot,1,10,0.0,0.0,0.434193,0.661539,0.434655,4.081765,543.407209,0.950721,0.950721,0.405807,0.84,0.84,0.84,0.84,1.916066,20.567624,1716.197548,0.0,0.0,513.919893,3.398941,0.562524,0.8,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,-3.735617,2,proposed_two_timescale_ppo,rl
always_cache,low_snr_blockage,1,12,0.083333,0.083333,0.459306,0.518901,0.214464,0.187676,85.85,0.0,0.0,0.210744,0.660833,0.65,0.65,0.65,1.083788,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.695382,0,always_cache,heuristic
always_semantic_token,low_snr_blockage,1,12,0.0,0.0,0.167003,0.201814,0.085006,13.069729,1849.585413,1.029653,1.029653,0.612997,0.78,0.78,0.78,0.78,3.984481,62.101504,10575.115972,0.5,0.0,1814.346466,11.999646,0.134049,0.0,0.972444,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.355839,0,always_semantic_token,heuristic
always_image,low_snr_blockage,1,12,0.0,0.0,0.0,0.0,0.051937,27.84876,2035.770585,37.365826,37.365826,0.78,0.78,0.78,0.78,0.78,5.07,193.658971,11820.989961,0.833333,0.0,1814.346466,11.999646,0.134049,0.0,0.0,1.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.458792,0,always_image,heuristic
semantic_greedy,low_snr_blockage,1,12,0.083333,0.083333,0.415799,0.559442,0.295825,13.913284,1573.296277,43.763925,43.763925,0.254251,0.660833,0.65,0.65,0.65,1.575802,65.744702,8036.517869,0.0,0.0,1333.530638,8.776658,0.134405,0.0,-0.171229,0.916667,0.916667,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.916667,0.0,-5.039677,0,semantic_greedy,heuristic
lyapunov_greedy,low_snr_blockage,1,12,0.083333,0.083333,0.459306,0.518901,0.214464,0.187676,85.85,0.0,0.0,0.210744,0.660833,0.65,0.65,0.65,1.083788,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.695382,0,lyapunov_greedy,heuristic
ppo,low_snr_blockage,1,12,0.083333,0.083333,0.404477,0.518901,0.272763,12.365459,137.92342,0.48485,0.48485,0.265573,0.660833,0.65,0.65,0.65,1.330517,43.647697,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.916667,0.666667,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,0.0,0.0,-3.819404,0,proposed_two_timescale_ppo,rl
always_cache,low_snr_blockage,1,12,0.0,0.0,0.318592,0.340451,0.081876,0.166008,85.85,0.0,0.0,0.501408,0.82,0.82,0.82,0.82,3.071358,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.067542,1,always_cache,heuristic
always_semantic_token,low_snr_blockage,1,12,1.0,0.0,0.868356,0.90777,0.093569,10.130365,1449.360354,1.061296,1.061296,0.0,0.82,0.0,0.0,0.0,0.0,56.421098,7972.858968,0.0,0.0,1414.393914,9.354457,0.071898,0.0,0.98108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.60794,1,always_semantic_token,heuristic
always_image,low_snr_blockage,1,12,1.0,0.0,0.928016,0.958185,0.083645,15.39869,1626.034819,56.093443,56.093443,0.0,0.82,0.0,0.0,0.0,0.0,97.87371,9128.628104,0.083333,0.0,1414.393914,9.354457,0.071898,0.0,0.0,0.0,1.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.842339,1,always_image,heuristic
semantic_greedy,low_snr_blockage,1,12,1.0,0.0,0.868356,0.90777,0.093569,10.130365,1449.360354,1.061296,1.061296,0.0,0.82,0.0,0.0,0.0,0.0,56.421098,7972.858968,0.0,0.0,1414.393914,9.354457,0.071898,0.0,0.98108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.60794,1,semantic_greedy,heuristic
lyapunov_greedy,low_snr_blockage,1,12,0.0,0.0,0.318592,0.340451,0.081876,0.166008,85.85,0.0,0.0,0.501408,0.82,0.82,0.82,0.82,3.071358,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.067542,1,lyapunov_greedy,heuristic
ppo,low_snr_blockage,1,12,1.0,0.0,0.922467,0.953737,0.084805,223.254905,506.851578,37.48726,37.48726,0.0,0.82,0.0,0.0,0.0,0.0,1456.186241,147.547086,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-45.928696,1,proposed_two_timescale_ppo,rl
always_cache,low_snr_blockage,1,12,0.0,0.0,0.318592,0.340451,0.081876,0.193418,85.85,0.0,0.0,0.461408,0.78,0.78,0.78,0.78,2.811358,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.073024,2,always_cache,heuristic
always_semantic_token,low_snr_blockage,1,12,1.0,0.0,0.857066,0.897983,0.095204,12.491011,1770.805586,1.031491,1.031491,0.0,0.78,0.0,0.0,0.0,0.0,58.152144,10062.83809,0.25,0.0,1735.630492,11.479038,0.081084,0.0,0.973544,0.0,1.0,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.208587,2,always_semantic_token,heuristic
always_image,low_snr_blockage,1,12,1.0,0.0,0.923201,0.95433,0.084656,25.087311,1954.808027,38.989121,38.989121,0.0,0.78,0.0,0.0,0.0,0.0,168.223135,11287.225605,0.833333,0.0,1735.630492,11.479038,0.081084,0.0,0.0,0.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.877364,2,always_image,heuristic
semantic_greedy,low_snr_blockage,1,12,1.0,0.0,0.857066,0.897983,0.095204,12.491011,1770.805586,1.031491,1.031491,0.0,0.78,0.0,0.0,0.0,0.0,58.152144,10062.83809,0.25,0.0,1735.630492,11.479038,0.081084,0.0,0.973544,0.0,1.0,0.166667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-4.208587,2,semantic_greedy,heuristic
lyapunov_greedy,low_snr_blockage,1,12,0.0,0.0,0.318592,0.340451,0.081876,0.193418,85.85,0.0,0.0,0.461408,0.78,0.78,0.78,0.78,2.811358,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.073024,2,lyapunov_greedy,heuristic
ppo,low_snr_blockage,1,12,1.0,0.0,0.922467,0.953737,0.084805,425.737755,709.307017,37.48726,37.48726,0.0,0.78,0.0,0.0,0.0,0.0,2759.381279,1388.515966,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-86.506248,2,proposed_two_timescale_ppo,rl
always_cache,edge_overload,1,12,0.0,0.0,0.099993,0.208333,0.698584,0.371698,85.85,0.0,0.0,0.540007,0.64,0.64,0.64,0.64,3.610037,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.108679,0,always_cache,heuristic
always_semantic_token,edge_overload,1,4,0.75,0.75,0.689656,0.912644,0.390931,6.080142,985.080099,0.873112,0.873112,0.032475,0.625,0.64,0.64,0.64,0.1299,0.0,1227.033702,0.0,0.0,918.359554,4.555355,0.330094,0.291667,0.994607,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.713481,0,always_semantic_token,heuristic
always_image,edge_overload,1,12,0.0,0.0,0.5101,1.0,0.79495,5.209628,458.853478,161.893799,161.893799,0.1299,0.64,0.64,0.64,0.64,0.84435,1.539856,1516.829568,6.5,0.0,249.798797,1.239081,0.054891,0.666667,0.0,1.0,0.166667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.715921,0,always_image,heuristic
semantic_greedy,edge_overload,1,12,0.0,0.0,0.5101,1.0,0.79495,5.209628,458.853478,161.893799,161.893799,0.1299,0.64,0.64,0.64,0.64,0.84435,1.539856,1516.829568,6.5,0.0,249.798797,1.239081,0.054891,0.666667,0.0,1.0,0.166667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.715921,0,semantic_greedy,heuristic
lyapunov_greedy,edge_overload,1,12,0.0,0.0,0.099993,0.208333,0.698584,0.371698,85.85,0.0,0.0,0.540007,0.64,0.64,0.64,0.64,3.610037,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.108679,0,lyapunov_greedy,heuristic
ppo,edge_overload,1,5,0.8,0.6,0.700482,0.910115,0.371421,4.642929,722.448372,0.857519,0.857519,0.02598,0.624,0.64,0.64,0.64,0.1299,3.141321,1821.872378,0.0,0.0,667.388913,3.078318,0.085012,0.333333,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44095,0,proposed_two_timescale_ppo,rl
always_cache,edge_overload,1,12,0.0,0.0,0.281891,0.458333,0.732191,0.352887,85.85,0.0,0.0,0.358109,0.64,0.64,0.64,0.64,2.489607,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.104917,1,always_cache,heuristic
always_semantic_token,edge_overload,1,12,0.75,0.166667,0.663407,0.848794,0.367678,5.288271,869.395319,0.845276,0.845276,0.084841,0.625,0.64,0.64,0.64,0.933251,4.989087,2279.670294,0.0,0.0,802.674784,3.981522,0.26942,0.208333,0.994779,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.610228,1,always_semantic_token,heuristic
always_image,edge_overload,1,12,0.0,0.0,0.0,0.0,0.79495,5.109873,439.821765,161.893799,161.893799,0.64,0.64,0.64,0.64,0.64,4.16,9.517819,1356.905202,6.5,0.0,230.753557,1.144611,0.045813,0.333333,0.0,1.0,0.416667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.938358,1,always_image,heuristic
semantic_greedy,edge_overload,1,12,0.0,0.0,0.0,0.0,0.79495,5.109873,439.821765,161.893799,161.893799,0.64,0.64,0.64,0.64,0.64,4.16,9.517819,1356.905202,6.5,0.0,230.753557,1.144611,0.045813,0.333333,0.0,1.0,0.416667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.938358,1,semantic_greedy,heuristic
lyapunov_greedy,edge_overload,1,12,0.0,0.0,0.281891,0.458333,0.732191,0.352887,85.85,0.0,0.0,0.358109,0.64,0.64,0.64,0.64,2.489607,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.104917,1,lyapunov_greedy,heuristic
ppo,edge_overload,1,4,0.75,0.75,0.619003,0.790769,0.358288,1.222321,127.351022,0.660618,0.660618,0.084841,0.625,0.64,0.64,0.64,0.339364,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.083333,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,1.657796,1,proposed_two_timescale_ppo,rl
always_cache,edge_overload,1,12,0.0,0.0,0.281891,0.458333,0.732191,0.37929,85.85,0.0,0.0,0.358109,0.64,0.64,0.64,0.64,2.489607,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.110198,2,always_cache,heuristic
always_semantic_token,edge_overload,1,6,0.666667,0.333333,0.64887,0.845059,0.376972,5.866289,952.044725,0.846398,0.846398,0.064858,0.623333,0.63,0.62,0.64,0.347662,2.272123,1549.322649,0.0,0.0,881.788148,4.373949,0.263624,0.611111,0.994772,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.548983,2,always_semantic_token,heuristic
always_image,edge_overload,1,12,0.0,0.0,0.0,0.0,0.79495,5.033542,420.011364,161.893799,161.893799,0.64,0.64,0.64,0.64,0.64,4.16,0.886394,1190.51215,6.5,0.0,210.947645,1.046367,0.044874,0.666667,0.0,1.0,0.083333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.581834,2,always_image,heuristic
