episode,quality_cost,deadline_cost,lambda_quality,lambda_deadline
40.0,0.775,0.35,1.6512499999999999,0.5924999999999999
41.0,0.725,0.25,1.6874999999999998,0.6049999999999999
42.0,0.975,0.125,1.7362499999999998,0.6112499999999998
43.0,0.775,0.2,1.775,0.6212499999999999
44.0,0.975,0.1,1.82375,0.6262499999999999
45.0,0.925,0.05,1.8699999999999999,0.6287499999999998
46.0,0.975,0.05,1.91875,0.6312499999999998
47.0,0.975,0.05,1.9675,0.6337499999999997
48.0,0.925,0.075,2.01375,0.6374999999999997
49.0,0.775,0.2,2.0524999999999998,0.6474999999999997
50.0,0.8,0.175,2.0925,0.6562499999999998
51.0,0.9,0.25,2.1374999999999997,0.6687499999999997
52.0,0.975,0.1,2.18625,0.6737499999999997
53.0,0.85,0.175,2.22875,0.6824999999999998
54.0,0.975,0.025,2.2775,0.6837499999999997
55.0,0.95,0.025,2.3249999999999997,0.6849999999999997
56.0,1.0,0.0,2.3749999999999996,0.6849999999999997
57.0,0.975,0.0,2.4237499999999996,0.6849999999999997
58.0,0.975,0.0,2.4724999999999997,0.6849999999999997
59.0,0.975,0.0,2.5212499999999998,0.6849999999999997
60.0,1.0,0.0,2.5712499999999996,0.6849999999999997
61.0,1.0,0.0,2.6212499999999994,0.6849999999999997
62.0,1.0,0.0,2.6712499999999992,0.6849999999999997
63.0,0.975,0.0,2.7199999999999993,0.6849999999999997
64.0,0.975,0.0,2.7687499999999994,0.6849999999999997
65.0,1.0,0.0,2.818749999999999,0.6849999999999997
66.0,0.975,0.0,2.8674999999999993,0.6849999999999997
67.0,0.975,0.0,2.9162499999999993,0.6849999999999997
68.0,1.0,0.0,2.966249999999999,0.6849999999999997
69.0,0.95,0.025,3.013749999999999,0.6862499999999997
70.0,1.0,0.0,3.063749999999999,0.6862499999999997
71.0,1.0,0.025,3.1137499999999987,0.6874999999999997
72.0,1.0,0.0,3.1637499999999985,0.6874999999999997
73.0,0.975,0.0,3.2124999999999986,0.6874999999999997
74.0,0.975,0.025,3.2612499999999986,0.6887499999999996
75.0,0.975,0.025,3.3099999999999987,0.6899999999999996
76.0,0.975,0.0,3.358749999999999,0.6899999999999996
77.0,0.95,0.05,3.4062499999999987,0.6924999999999996
78.0,0.95,0.05,3.4537499999999985,0.6949999999999995
79.0,0.975,0.0,3.5024999999999986,0.6949999999999995
80.0,0.975,0.0,3.5512499999999987,0.6949999999999995
81.0,1.0,0.0,3.6012499999999985,0.6949999999999995
82.0,1.0,0.0,3.6512499999999983,0.6949999999999995
83.0,0.975,0.0,3.6999999999999984,0.6949999999999995
84.0,0.95,0.0,3.7474999999999983,0.6949999999999995
85.0,0.975,0.0,3.7962499999999983,0.6949999999999995
86.0,1.0,0.0,3.846249999999998,0.6949999999999995
87.0,0.975,0.0,3.8949999999999982,0.6949999999999995
88.0,0.95,0.0,3.942499999999998,0.6949999999999995
89.0,0.975,0.0,3.991249999999998,0.6949999999999995
90.0,1.0,0.0,4.041249999999998,0.6949999999999995
91.0,0.975,0.025,4.089999999999998,0.6962499999999995
92.0,0.975,0.0,4.138749999999998,0.6962499999999995
93.0,0.975,0.0,4.187499999999998,0.6962499999999995
94.0,0.975,0.0,4.236249999999998,0.6962499999999995
95.0,0.95,0.0,4.283749999999999,0.6962499999999995
96.0,0.95,0.0,4.331249999999999,0.6962499999999995
97.0,0.975,0.0,4.379999999999999,0.6962499999999995
98.0,0.95,0.0,4.427499999999999,0.6962499999999995
99.0,1.0,0.0,4.477499999999999,0.6962499999999995
100.0,0.95,0.0,4.5249999999999995,0.6962499999999995
101.0,0.95,0.0,4.5725,0.6962499999999995
102.0,0.975,0.0,4.62125,0.6962499999999995
103.0,1.0,0.0,4.67125,0.6962499999999995
104.0,0.95,0.0,4.71875,0.6962499999999995
105.0,1.0,0.0,4.76875,0.6962499999999995
106.0,0.975,0.0,4.8175,0.6962499999999995
107.0,0.975,0.0,4.86625,0.6962499999999995
108.0,1.0,0.0,4.91625,0.6962499999999995
109.0,0.975,0.0,4.965,0.6962499999999995
110.0,1.0,0.0,5.015,0.6962499999999995
111.0,1.0,0.0,5.0649999999999995,0.6962499999999995
112.0,1.0,0.0,5.114999999999999,0.6962499999999995
113.0,0.975,0.0,5.163749999999999,0.6962499999999995
114.0,1.0,0.0,5.213749999999999,0.6962499999999995
115.0,1.0,0.0,5.263749999999999,0.6962499999999995
116.0,0.975,0.0,5.312499999999999,0.6962499999999995
117.0,0.95,0.0,5.359999999999999,0.6962499999999995
118.0,0.95,0.0,5.4075,0.6962499999999995
119.0,1.0,0.0,5.4575,0.6962499999999995
