scenario,seed,step,task_id,semantic_path,feasible,deadline_feasible,semantic_feasible,energy_feasible,utm_feasible,joint_feasible,resource_feasible,accuracy_lcb,accuracy_mean,quality_gap,payload_kb,delay_s,energy_j,deadline_slack_s,tx_delay_s,queue_delay_s,infer_delay_s,load_delay_s,arrival_delay_s,bottleneck_type,required_deadline_reduction_s,required_rate_mbps,required_bandwidth_hz,edge_queue_pressure,model_cache_hit,cache_eligible,utm_constraint_violation,utm_conflict_violation,service_level
normal_patrol,0,2,0000289_04601_d_0000834_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.16167,79.61,2.83833,0.0,0.10167,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.14265307625,1,0,0,0,0
normal_patrol,0,2,0000289_04601_d_0000834_6,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.869619,1131.873826,-4.869619,0.00081,0.10167,0.272,0.04,7.255139,mobility,4.869619,9504808.0,790847122127.8169,0.14265307625,1,0,0,0,1
normal_patrol,0,2,0000289_04601_d_0000834_6,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,10.532857,1306.096619,-7.532857,0.140937,0.10167,2.255111,0.38,7.255139,mobility,7.532857,1654149040.0,137633396472026.69,0.14265307625,0,0,0,0,2
normal_patrol,0,2,0000289_04601_d_0000834_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.14265307625,1,0,0,0,0
normal_patrol,0,2,0000289_04601_d_0000834_6,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.869619,1131.873826,-4.869619,0.00081,0.10167,0.272,0.04,7.255139,mobility,4.869619,9504808.0,790847122127.8169,0.14265307625,1,0,0,0,1
normal_patrol,0,3,0000289_04601_d_0000834_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.134731,79.61,1.865269,0.0,0.074731,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.10322449956249999,1,0,0,0,0
normal_patrol,0,3,0000289_04601_d_0000834_6,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.842673,1131.873819,-5.842673,0.000803,0.074731,0.272,0.04,7.255139,mobility,5.842673,9504808.0,784142851026.1012,0.10322449956249999,1,0,0,0,1
normal_patrol,0,3,0000289_04601_d_0000834_6,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,10.504723,1306.095424,-8.504723,0.139742,0.074731,2.255111,0.38,7.255139,mobility,8.504723,1654149040.0,136466632913330.62,0.10322449956249999,0,0,0,0,2
normal_patrol,0,3,0000289_04601_d_0000834_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.10322449956249999,1,0,0,0,0
normal_patrol,0,3,0000289_04601_d_0000834_6,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.842673,1131.873819,-5.842673,0.000803,0.074731,0.272,0.04,7.255139,mobility,5.842673,9504808.0,784142851026.1012,0.10322449956249999,1,0,0,0,1
normal_patrol,0,4,0000289_04601_d_0000834_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.11722,79.61,0.88278,0.0,0.05722,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.077595924715625,1,0,0,0,0
normal_patrol,0,4,0000289_04601_d_0000834_6,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.825175,1131.873831,-6.825175,0.000816,0.05722,0.272,0.04,7.255139,mobility,6.825175,9504808.0,796466616690.6239,0.077595924715625,1,0,0,0,1
normal_patrol,0,4,0000289_04601_d_0000834_6,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,10.489408,1306.097621,-9.489408,0.141938,0.05722,2.255111,0.38,7.255139,mobility,9.489408,1654149040.0,138611373253499.02,0.077595924715625,0,0,0,0,2
normal_patrol,0,4,0000289_04601_d_0000834_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.077595924715625,1,0,0,0,0
normal_patrol,0,4,0000289_04601_d_0000834_6,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,7.825175,1131.873831,-6.825175,0.000816,0.05722,0.272,0.04,7.255139,mobility,6.825175,9504808.0,796466616690.6239,0.077595924715625,1,0,0,0,1
normal_patrol,0,5,0000280_03201_d_0000628_2,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.105838,79.61,1.894162,0.0,0.045838,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.060937351065156256,1,0,0,0,0
normal_patrol,0,5,0000280_03201_d_0000628_2,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,5.404366,767.593203,-3.4043659999999996,0.000652,0.045838,0.272,0.04,4.845877,mobility,3.4043659999999996,9504808.0,636577241552.2887,0.060937351065156256,1,0,0,0,1
normal_patrol,0,5,0000280_03201_d_0000628_2,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,8.04027,941.788662,-6.04027,0.113444,0.045838,2.255111,0.38,4.845877,mobility,6.04027,1654149040.0,110785365995774.6,0.060937351065156256,0,0,0,0,2
normal_patrol,0,5,0000280_03201_d_0000628_2,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.060937351065156256,1,0,0,0,0
normal_patrol,0,5,0000280_03201_d_0000628_2,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,5.404366,767.593203,-3.4043659999999996,0.000652,0.045838,0.272,0.04,4.845877,mobility,3.4043659999999996,9504808.0,636577241552.2887,0.060937351065156256,1,0,0,0,1
normal_patrol,0,6,0000280_03201_d_0000628_2,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.09844,79.61,0.90156,0.0,0.03844,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.050109278192351565,1,0,0,0,0
normal_patrol,0,6,0000280_03201_d_0000628_2,token,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,5.396969,767.593204,-4.396969,0.000653,0.03844,0.272,0.04,4.845877,mobility,4.396969,9504808.0,637349730282.6296,0.050109278192351565,1,0,0,0,1
normal_patrol,0,6,0000280_03201_d_0000628_2,image,0,0,1,1,1,0,1,0.771898,1.0,0.0,206.76863,8.033009,941.7888,-7.033009,0.113582,0.03844,2.255111,0.38,4.845877,mobility,7.033009,1654149040.0,110919804428587.17,0.050109278192351565,0,0,0,0,2
normal_patrol,0,6,0000280_03201_d_0000628_2,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.050109278192351565,1,0,0,0,0
normal_patrol,0,6,0000280_03201_d_0000628_2,cache_update,0,0,1,1,1,0,1,0.771898,1.0,0.0,1.188101,5.396969,767.593204,-4.396969,0.000653,0.03844,0.272,0.04,4.845877,mobility,4.396969,9504808.0,637349730282.6296,0.050109278192351565,1,0,0,0,1
normal_patrol,0,7,0000360_03137_d_0000729_10,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.093631,79.61,1.906369,0.0,0.033631,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.043071030825028514,1,0,0,0,0
normal_patrol,0,7,0000360_03137_d_0000729_10,token,0,0,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,7.04155,1016.973772,-5.04155,0.0007,0.033631,0.272,0.04,6.495219,semantic_quality,5.04155,9507207.999999998,683623789788.7375,0.043071030825028514,1,0,0,0,1
normal_patrol,0,7,0000360_03137_d_0000729_10,image,0,0,0,1,1,0,1,0.0,0.0,0.76,191.093224,9.676525,1191.168303,-7.676525,0.112564,0.033631,2.255111,0.38,6.495219,semantic_quality,7.676525,1528745792.0,109925752329245.92,0.043071030825028514,0,0,0,0,2
normal_patrol,0,7,0000360_03137_d_0000729_10,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.043071030825028514,1,0,0,0,0
normal_patrol,0,7,0000360_03137_d_0000729_10,cache_update,0,0,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,7.04155,1016.973772,-5.04155,0.0007,0.033631,0.272,0.04,6.495219,semantic_quality,5.04155,9507207.999999998,683623789788.7375,0.043071030825028514,1,0,0,0,1
normal_patrol,0,8,0000360_03137_d_0000729_10,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.090505,79.61,0.9094949999999999,0.0,0.030505,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.03849617003626853,1,0,0,0,0
normal_patrol,0,8,0000360_03137_d_0000729_10,token,0,0,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,7.038431,1016.97378,-6.038431,0.000707,0.030505,0.272,0.04,6.495219,semantic_quality,6.038431,9507207.999999998,690877793099.5991,0.03849617003626853,1,0,0,0,1
normal_patrol,0,8,0000360_03137_d_0000729_10,image,0,0,0,1,1,0,1,0.0,0.0,0.76,191.093224,9.674593,1191.169497,-8.674593,0.113758,0.030505,2.255111,0.38,6.495219,semantic_quality,8.674593,1528745792.0,111092185948520.22,0.03849617003626853,0,0,0,0,2
normal_patrol,0,8,0000360_03137_d_0000729_10,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.03849617003626853,1,0,0,0,0
normal_patrol,0,8,0000360_03137_d_0000729_10,cache_update,0,0,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,7.038431,1016.97378,-6.038431,0.000707,0.030505,0.272,0.04,6.495219,semantic_quality,6.038431,9507207.999999998,690877793099.5991,0.03849617003626853,1,0,0,0,1
normal_patrol,0,9,0000244_00001_d_0000001_11,cache,0,1,0,1,1,0,1,0.0,0.0,0.65,0.0,0.088473,79.61,0.911527,0.0,0.028473,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.03552251052357455,1,0,0,0,0
normal_patrol,0,9,0000244_00001_d_0000001_11,token,0,0,1,1,1,0,1,0.743786,0.9,0.0,0.79515,12.87224,1859.438451,-11.87224,0.001326,0.028473,0.816,0.04,11.78644,mobility,11.87224,6361200.0,582661577176.1877,0.03552251052357455,1,0,0,0,1
normal_patrol,0,9,0000244_00001_d_0000001_11,image,0,0,0,1,1,0,1,0.555517,0.733333,0.09448299999999998,154.00179,15.610646,2041.46152,-14.610646,0.116304,0.028473,2.899429,0.38,11.78644,semantic_quality,14.610646,1232014320.0,113577834436970.72,0.03552251052357455,0,0,0,0,2
normal_patrol,0,9,0000244_00001_d_0000001_11,defer,0,0,1,1,1,0,1,0.0,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.03552251052357455,1,0,0,0,0
normal_patrol,0,9,0000244_00001_d_0000001_11,cache_update,0,0,1,1,1,0,1,0.743786,0.9,0.0,0.79515,12.87224,1859.438451,-11.87224,0.001326,0.028473,0.816,0.04,11.78644,mobility,11.87224,6361200.0,582661577176.1877,0.03552251052357455,1,0,0,0,1
normal_patrol,1,0,0000316_00801_d_0000523_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.212513,79.61,4.787487,0.0,0.152513,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.23988749999999998,1,0,0,0,0
normal_patrol,1,0,0000316_00801_d_0000523_6,token,0,1,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,4.956807,683.796713,0.04319299999999959,0.000626,0.152513,0.272,0.04,4.291667,semantic_quality,0.0,0.21696542595678087,1000000.0,0.23988749999999998,1,0,0,0,1
normal_patrol,1,0,0000316_00801_d_0000523_6,image,0,0,0,1,1,0,1,0.0,0.0,0.76,191.093224,7.579991,857.979452,-2.5799909999999997,0.100699,0.152513,2.255111,0.38,4.291667,semantic_quality,2.5799909999999997,1528745792.0,98339294303059.53,0.23988749999999998,0,0,0,0,2
normal_patrol,1,0,0000316_00801_d_0000523_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.23988749999999998,1,0,0,0,0
normal_patrol,1,0,0000316_00801_d_0000523_6,cache_update,0,1,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,4.956807,683.796713,0.04319299999999959,0.000626,0.152513,0.272,0.04,4.291667,semantic_quality,0.0,0.21696542595678087,1000000.0,0.23988749999999998,1,0,0,0,1
normal_patrol,1,1,0000316_00801_d_0000523_6,cache,0,1,0,1,1,0,1,0.0,0.0,0.76,0.0,0.233684,79.61,3.7663159999999998,0.0,0.173684,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.25217687499999997,1,0,0,0,0
normal_patrol,1,1,0000316_00801_d_0000523_6,token,0,1,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,3.97795,532.596685,0.022050000000000125,0.000599,0.173684,0.272,0.04,3.291667,semantic_quality,0.0,0.41976281513532754,1000000.0,0.25217687499999997,1,0,0,0,1
normal_patrol,1,1,0000316_00801_d_0000523_6,image,0,0,0,1,1,0,1,0.0,0.0,0.76,191.093224,6.596745,706.775036,-2.5967450000000003,0.096283,0.173684,2.255111,0.38,3.291667,semantic_quality,2.5967450000000003,1528745792.0,94026780746042.36,0.25217687499999997,0,0,0,0,2
normal_patrol,1,1,0000316_00801_d_0000523_6,defer,0,0,1,1,1,0,1,0.0,0.0,0.76,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.25217687499999997,1,0,0,0,0
normal_patrol,1,1,0000316_00801_d_0000523_6,cache_update,0,1,0,1,1,0,1,0.355225,0.615385,0.404775,1.188401,3.97795,532.596685,0.022050000000000125,0.000599,0.173684,0.272,0.04,3.291667,semantic_quality,0.0,0.41976281513532754,1000000.0,0.25217687499999997,1,0,0,0,1
normal_patrol,1,2,0000216_00520_d_0000001_2,cache,0,1,0,1,1,0,1,0.0,0.0,0.82,0.0,0.247444,79.61,2.7525560000000002,0.0,0.187444,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.26016496875,1,0,0,0,0
normal_patrol,1,2,0000216_00520_d_0000001_2,token,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,2.17916,258.54337,0.82084,0.00057,0.187444,0.272,0.04,1.479146,semantic_quality,0.0,0.011571332221424134,1000000.0,0.26016496875,1,0,0,0,1
normal_patrol,1,2,0000216_00520_d_0000001_2,image,0,0,0,1,1,0,1,0.771898,1.0,0.04810199999999998,206.76863,4.800965,432.72473,-1.8009649999999997,0.099264,0.187444,2.255111,0.38,1.479146,semantic_quality,1.8009649999999997,1654149040.0,96937356742396.6,0.26016496875,0,0,0,0,2
normal_patrol,1,2,0000216_00520_d_0000001_2,defer,0,0,1,1,1,0,1,0.0,0.0,0.82,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.26016496875,1,0,0,0,0
normal_patrol,1,2,0000216_00520_d_0000001_2,cache_update,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,2.17916,258.54337,0.82084,0.00057,0.187444,0.272,0.04,1.479146,semantic_quality,0.0,0.011571332221424134,1000000.0,0.26016496875,1,0,0,0,1
normal_patrol,1,3,0000216_00520_d_0000001_2,cache,0,1,0,1,1,0,1,0.0,0.0,0.82,0.0,0.256389,79.61,1.743611,0.0,0.196389,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.26535722968750003,1,0,0,0,0
normal_patrol,1,3,0000216_00520_d_0000001_2,token,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,1.188093,107.343359,0.8119069999999999,0.000559,0.196389,0.272,0.04,0.479146,semantic_quality,0.0,0.011698714776987593,1000000.0,0.26535722968750003,1,0,0,0,1
normal_patrol,1,3,0000216_00520_d_0000001_2,image,0,0,0,1,1,0,1,0.771898,1.0,0.04810199999999998,206.76863,3.807943,281.522764,-1.8079429999999999,0.097297,0.196389,2.255111,0.38,0.479146,semantic_quality,1.8079429999999999,1654149040.0,95017086599754.02,0.26535722968750003,0,0,0,0,2
normal_patrol,1,3,0000216_00520_d_0000001_2,defer,0,0,1,1,1,0,1,0.0,0.0,0.82,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.26535722968750003,1,0,0,0,0
normal_patrol,1,3,0000216_00520_d_0000001_2,cache_update,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,1.188093,107.343359,0.8119069999999999,0.000559,0.196389,0.272,0.04,0.479146,semantic_quality,0.0,0.011698714776987593,1000000.0,0.26535722968750003,1,0,0,0,1
normal_patrol,1,4,0000216_00520_d_0000001_2,cache,0,1,0,1,1,0,1,0.0,0.0,0.82,0.0,0.262203,79.61,0.737797,0.0,0.202203,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.268732199296875,1,0,0,0,0
normal_patrol,1,4,0000216_00520_d_0000001_2,token,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,0.714762,34.896559,0.285238,0.000559,0.202203,0.272,0.04,0.0,semantic_quality,0.0,0.033257200040588256,1000000.0,0.268732199296875,1,0,0,0,1
normal_patrol,1,4,0000216_00520_d_0000001_2,image,0,0,0,1,1,0,1,0.771898,1.0,0.04810199999999998,206.76863,3.334671,209.076024,-2.334671,0.097357,0.202203,2.255111,0.38,0.0,semantic_quality,2.334671,1654149040.0,95075150882279.98,0.268732199296875,0,0,0,0,2
normal_patrol,1,4,0000216_00520_d_0000001_2,defer,0,0,1,1,1,0,1,0.0,0.0,0.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.268732199296875,1,0,0,0,0
normal_patrol,1,4,0000216_00520_d_0000001_2,cache_update,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,0.714762,34.896559,0.285238,0.000559,0.202203,0.272,0.04,0.0,semantic_quality,0.0,0.033257200040588256,1000000.0,0.268732199296875,1,0,0,0,1
normal_patrol,1,5,0000069_00483_d_0000002_10,cache,0,1,0,1,1,0,1,0.0,0.0,0.82,0.0,0.265982,79.61,1.734018,0.0,0.205982,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.27092592954296874,1,0,0,0,0
normal_patrol,1,5,0000069_00483_d_0000002_10,token,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,1.737609,188.977662,0.26239100000000004,0.000573,0.205982,0.272,0.04,1.019055,semantic_quality,0.0,0.03614490196376691,1000000.0,0.27092592954296874,1,0,0,0,1
normal_patrol,1,5,0000069_00483_d_0000002_10,image,0,0,0,1,1,0,1,0.771898,1.0,0.04810199999999998,206.76863,4.359795,363.159404,-2.359795,0.099647,0.205982,2.255111,0.38,1.019055,semantic_quality,2.359795,1654149040.0,97311951890105.53,0.27092592954296874,0,0,0,0,2
normal_patrol,1,5,0000069_00483_d_0000002_10,defer,0,0,1,1,1,0,1,0.0,0.0,0.82,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.27092592954296874,1,0,0,0,0
normal_patrol,1,5,0000069_00483_d_0000002_10,cache_update,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,1.737609,188.977662,0.26239100000000004,0.000573,0.205982,0.272,0.04,1.019055,semantic_quality,0.0,0.03614490196376691,1000000.0,0.27092592954296874,1,0,0,0,1
normal_patrol,1,6,0000069_00483_d_0000002_10,cache,0,1,0,1,1,0,1,0.0,0.0,0.82,0.0,0.268438,79.61,0.731562,0.0,0.208438,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.27235185420292973,1,0,0,0,0
normal_patrol,1,6,0000069_00483_d_0000002_10,token,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,0.740063,37.777659,0.259937,0.00057,0.208438,0.272,0.04,0.019055,semantic_quality,0.0,0.03648580652343316,1000000.0,0.27235185420292973,1,0,0,0,1
normal_patrol,1,6,0000069_00483_d_0000002_10,image,0,0,0,1,1,0,1,0.771898,1.0,0.04810199999999998,206.76863,3.361756,211.958908,-2.361756,0.099152,0.208438,2.255111,0.38,0.019055,semantic_quality,2.361756,1654149040.0,96827750932058.75,0.27235185420292973,0,0,0,0,2
normal_patrol,1,6,0000069_00483_d_0000002_10,defer,0,0,1,1,1,0,1,0.0,0.0,0.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.27235185420292973,1,0,0,0,0
normal_patrol,1,6,0000069_00483_d_0000002_10,cache_update,0,1,0,1,1,0,1,0.771898,1.0,0.04810199999999998,1.188101,0.740063,37.777659,0.259937,0.00057,0.208438,0.272,0.04,0.019055,semantic_quality,0.0,0.03648580652343316,1000000.0,0.27235185420292973,1,0,0,0,1
normal_patrol,1,7,0000356_02353_d_0000641_5,cache,0,1,0,1,1,0,1,0.0,0.0,0.82,0.0,0.270035,79.61,0.729965,0.0,0.210035,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.27327870523190434,1,0,0,0,0
normal_patrol,1,7,0000356_02353_d_0000641_5,token,0,0,0,1,1,0,1,0.743786,0.9,0.076214,0.79515,11.78791,1668.037733,-10.78791,0.001313,0.210035,0.816,0.04,10.520563,semantic_quality,10.78791,6361200.0,576800782141.0062,0.27327870523190434,1,0,0,0,1
normal_patrol,1,7,0000356_02353_d_0000641_5,image,0,0,0,1,1,0,1,0.555517,0.733333,0.2644829999999999,154.00179,14.525152,1850.059632,-13.525152,0.115126,0.210035,2.899429,0.38,10.520563,semantic_quality,13.525152,1232014320.0,112428089065007.97,0.27327870523190434,0,0,0,0,2
normal_patrol,1,7,0000356_02353_d_0000641_5,defer,0,0,1,1,1,0,1,0.0,0.0,0.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.27327870523190434,1,0,0,0,0
normal_patrol,1,7,0000356_02353_d_0000641_5,cache_update,0,0,0,1,1,0,1,0.743786,0.9,0.076214,0.79515,11.78791,1668.037733,-10.78791,0.001313,0.210035,0.816,0.04,10.520563,semantic_quality,10.78791,6361200.0,576800782141.0062,0.27327870523190434,1,0,0,0,1
normal_patrol,1,8,0000335_03921_d_0000063_4,cache,0,1,0,1,1,0,1,0.0,0.0,0.65,0.0,0.205168,79.61,0.794832,0.0,0.145168,0.02,0.04,0.0,semantic_quality,0.0,0.0,50000.0,0.18813115840073782,1,0,0,0,0
normal_patrol,1,8,0000335_03921_d_0000063_4,token,0,0,1,1,1,0,1,0.760952,0.850575,0.0,0.745409,8.345521,1157.393572,-7.345521,0.001066,0.145168,0.816,0.04,7.143287,mobility,7.345521,5963271.999999999,468479302464.0675,0.18813115840073782,1,0,0,0,1
normal_patrol,1,8,0000335_03921_d_0000063_4,image,0,0,1,1,1,0,1,0.760952,0.850575,0.0,165.924681,11.07526,1339.407844,-10.07526,0.107376,0.145168,2.899429,0.38,7.143287,mobility,10.07526,1327397447.9999998,104859667018964.42,0.18813115840073782,0,0,0,0,2
normal_patrol,1,8,0000335_03921_d_0000063_4,defer,0,0,1,1,1,0,1,0.0,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,tx_delay,0.0,0.0,1000000.0,0.18813115840073782,1,0,0,0,0
normal_patrol,1,8,0000335_03921_d_0000063_4,cache_update,0,0,1,1,1,0,1,0.760952,0.850575,0.0,0.745409,8.345521,1157.393572,-7.345521,0.001066,0.145168,0.816,0.04,7.143287,mobility,7.345521,5963271.999999999,468479302464.0675,0.18813115840073782,1,0,0,0,1
