policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,cache_eligible_ratio,joint_feasible_selection_ratio,deadline_infeasible_selection_ratio,utm_infeasible_selection_ratio,average_selected_path_deadline_slack_s,average_q_defer,average_q_cache_stale,expert_path_agreement_rate,expert_path_cache_ratio,expert_path_token_ratio,expert_path_image_ratio,expert_path_defer_ratio,expert_path_cache_update_ratio,expert_mobility_agreement_rate,mobility_stay_ratio,mobility_serve_task_ratio,mobility_reposition_ratio,mobility_avoid_conflict_ratio,mobility_return_base_ratio,utm_safe_service_ratio,oracle_path_feasible_ratio,oracle_mobility_feasible_ratio,infeasible_oracle_ratio,selected_mobility_deadline_infeasible_ratio,selected_mobility_utm_infeasible_ratio,bottleneck_none_ratio,bottleneck_semantic_quality_ratio,bottleneck_queue_delay_ratio,bottleneck_tx_delay_ratio,bottleneck_resource_ratio,bottleneck_mobility_ratio,bottleneck_utm_ratio,bottleneck_expired_ratio,average_defer_count,bc_loss,average_reward,seed,benchmark_policy,variant_kind
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.416184,0.508435,0.347595,0.192458,85.85,0.0,0.0,0.34678,0.762964,0.762964,0.65,0.82,1.666749,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147623,0.0,5.465726,0.0,0.0,1.0,0.0,0.0,0.0,0.975806,1.0,0.0,0.0,0.0,0.0,0.0,0.014113,0.467742,0.532258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072832,1,lyapunov_greedy,heuristic
ppo,normal_patrol,50,495,0.276768,0.276768,0.601218,0.749351,0.334084,0.524803,99.788924,0.590192,0.590192,0.172265,0.75097,0.77486,0.65,0.82,0.95815,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.043854,0.0,0.723232,0.0,0.0,0.0,0.0,0.0,0.0,0.389899,0.610101,0.0,0.0,0.389899,0.610101,0.0,0.0,0.0,0.09899,0.064646,0.577778,0.0,-2.384919,0.0,2.056566,0.606061,0.092929,0.907071,0.0,0.0,0.0,0.963636,1.0,0.0,0.0,0.0,0.0,1.0,0.113131,0.317172,0.682828,0.2,0.0,0.064646,0.521212,0.0,0.0,0.0,0.414141,0.0,0.0,0.0,0.036838,0.55061,1,semantic_path_two_timescale_ppo,rl
always_cache,normal_patrol,50,496,0.0,0.0,0.415484,0.507838,0.348276,0.192439,85.85,0.0,0.0,0.346976,0.76246,0.76246,0.65,0.82,1.6649,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149658,0.0,5.465726,0.0,0.0,1.0,0.0,0.0,0.0,0.975806,1.0,0.0,0.0,0.0,0.0,0.0,0.014113,0.475806,0.524194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072828,2,always_cache,heuristic
always_semantic_token,normal_patrol,50,496,0.395161,0.060484,0.601842,0.81474,0.375756,5.199298,704.28048,1.078997,1.078997,0.180501,0.759577,0.789367,0.65,0.82,1.139653,7.738002,1255.731006,0.0,0.0,658.519233,4.355286,0.068361,0.07925,0.994408,0.604839,0.764113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052419,0.066532,0.764113,0.0,-2.933169,0.0,0.0,0.959677,0.038306,0.959677,0.0,0.002016,0.0,0.237903,0.0,1.0,0.0,0.0,0.0,1.0,0.104839,0.393145,0.606855,0.764113,0.0,0.066532,0.399194,0.0,0.0,0.0,0.534274,0.0,0.0,0.0,0.0,-2.220907,2,always_semantic_token,heuristic
always_image,normal_patrol,50,496,0.441532,0.002016,0.474792,0.598865,0.365966,7.181898,761.921297,192.955277,192.955277,0.30955,0.76248,0.781805,0.65,0.82,1.958425,15.126121,1505.207939,0.0,0.0,545.037527,3.604746,0.057509,0.080004,0.0,0.558468,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002016,0.997984,0.0,-4.923833,0.0,0.0,0.0,0.0,0.989919,0.0,0.010081,0.0,0.066532,0.0,1.0,0.0,0.0,0.0,1.0,0.183468,0.471774,0.528226,0.997984,0.0,0.002016,0.391129,0.0,0.0,0.268145,0.33871,0.0,0.0,0.0,0.0,-3.508107,2,always_image,heuristic
semantic_greedy,normal_patrol,50,496,0.425403,0.060484,0.460318,0.572015,0.351716,6.8643,805.249725,115.864686,115.864686,0.323528,0.760181,0.788386,0.65,0.82,2.031284,15.428051,1691.047904,0.0,0.0,652.965249,4.317513,0.067787,0.081257,0.399526,0.574597,0.939516,0.0,0.0,0.0,0.0,0.0,0.002016,0.389113,0.608871,0.0,0.002016,0.389113,0.608871,0.0,0.0,0.044355,0.058468,0.939516,0.0,-4.604058,0.0,0.018145,0.370968,0.034274,0.96371,0.0,0.002016,0.0,0.084677,0.002016,0.997984,0.0,0.0,0.0,1.0,0.110887,0.399194,0.600806,0.939516,0.0,0.058468,0.439516,0.002016,0.0,0.052419,0.447581,0.0,0.0,0.0,0.0,-3.071851,2,semantic_greedy,heuristic
lyapunov_greedy,normal_patrol,50,496,0.0,0.0,0.415484,0.507838,0.348276,0.192439,85.85,0.0,0.0,0.346976,0.76246,0.76246,0.65,0.82,1.6649,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.149658,0.0,5.465726,0.0,0.0,1.0,0.0,0.0,0.0,0.975806,1.0,0.0,0.0,0.0,0.0,0.0,0.014113,0.475806,0.524194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072828,2,lyapunov_greedy,heuristic
ppo,normal_patrol,50,495,0.272727,0.272727,0.592505,0.740503,0.331925,0.558112,102.181045,0.594842,0.594842,0.178968,0.751313,0.772194,0.65,0.82,0.962186,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.044196,0.0,0.727273,0.0,0.0,0.0,0.0,0.0,0.0,0.393939,0.606061,0.0,0.0,0.393939,0.606061,0.0,0.0,0.0,0.113131,0.046465,0.573737,0.0,-2.348249,0.0,2.092929,0.551515,0.107071,0.892929,0.0,0.0,0.0,0.965657,1.0,0.0,0.0,0.0,0.0,1.0,0.127273,0.335354,0.664646,0.181818,0.0,0.046465,0.537374,0.0,0.0,0.0,0.416162,0.0,0.0,0.0,0.040099,0.504263,2,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886478,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.933333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493333,0.506667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.901471,0,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.605526,0.803054,0.352997,3.306427,412.049599,1.172096,1.172096,0.246273,0.84,0.84,0.84,0.84,0.49427,3.545874,59.154678,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.99387,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.164294,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.133333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.38,0.62,1.0,0.0,0.0,0.426667,0.0,0.0,0.0,0.573333,0.0,0.0,0.0,0.0,-3.396449,0,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.466416,0.568517,0.326068,5.987717,586.228303,191.190907,191.190907,0.394751,0.84,0.84,0.84,0.84,0.787775,8.684881,288.090112,0.0,0.0,377.153006,2.494398,0.469227,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.845584,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.086667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.266667,0.733333,1.0,0.0,0.0,0.426667,0.0,0.0,0.38,0.193333,0.0,0.0,0.0,0.0,-4.382417,0,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.326667,0.133333,0.570114,0.675839,0.329149,4.793995,497.840793,131.299876,131.299876,0.282751,0.84,0.84,0.84,0.84,0.558175,6.465523,207.400631,0.0,0.0,349.268704,2.241195,0.423877,0.866667,0.313253,0.673333,0.866667,0.0,0.0,0.0,0.0,0.0,0.133333,0.193333,0.673333,0.0,0.133333,0.193333,0.673333,0.0,0.0,0.0,0.0,0.866667,0.0,-3.641195,0.0,0.273333,0.193333,0.0,1.0,0.0,0.0,0.0,0.166667,0.133333,0.866667,0.0,0.0,0.0,1.0,0.0,0.313333,0.686667,0.866667,0.0,0.0,0.426667,0.0,0.0,0.233333,0.34,0.0,0.0,0.0,0.0,-3.748535,0,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.133333,0.133333,0.460959,0.53209,0.305044,0.335655,85.85,0.0,0.0,0.380107,0.84,0.84,0.84,0.84,0.710911,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.886478,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.933333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493333,0.506667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.901471,0,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.293333,0.106667,0.658746,0.786385,0.332875,1.559538,171.882464,0.482505,0.482505,0.191024,0.84,0.84,0.84,0.84,0.34814,0.015023,0.0,0.0,0.0,156.92495,1.037863,-0.099837,0.268667,0.0,0.706667,0.7,0.0,0.0,0.0,0.0,0.0,0.586667,0.413333,0.0,0.0,0.586667,0.413333,0.0,0.0,0.0,0.153333,0.073333,0.413333,0.0,-0.835706,0.0,0.993333,0.406667,0.153333,0.846667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.153333,0.446667,0.553333,0.873333,0.0,0.073333,0.553333,0.0,0.0,0.0,0.373333,0.0,0.0,0.0,0.077371,-2.066333,0,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887355,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.901296,1,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.608284,0.808471,0.357391,3.305925,412.106066,1.172496,1.172496,0.243514,0.84,0.84,0.84,0.84,0.49154,3.544698,59.212607,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.993874,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.163792,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.133333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.386667,0.613333,1.0,0.0,0.0,0.42,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,-3.384373,1,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.471562,0.575184,0.330595,5.987573,586.285126,191.387117,191.387117,0.389605,0.84,0.84,0.84,0.84,0.782629,8.684489,288.187475,0.0,0.0,377.209472,2.494772,0.469132,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.845439,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.093333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.266667,0.733333,1.0,0.0,0.0,0.42,0.0,0.0,0.386667,0.193333,0.0,0.0,0.0,0.0,-4.370803,1,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.313333,0.12,0.563954,0.671017,0.333557,4.865252,503.804525,133.952289,133.952289,0.288805,0.84,0.84,0.84,0.84,0.581029,6.617503,211.828148,0.0,0.0,352.548813,2.269767,0.428804,0.88,0.300098,0.686667,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.193333,0.686667,0.0,0.12,0.193333,0.686667,0.0,0.0,0.0,0.0,0.88,0.0,-3.713519,0.0,0.24,0.193333,0.0,1.0,0.0,0.0,0.0,0.166667,0.12,0.88,0.0,0.0,0.0,1.0,0.0,0.313333,0.686667,0.88,0.0,0.0,0.42,0.0,0.0,0.24,0.34,0.0,0.0,0.0,0.0,-3.782477,1,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.12,0.12,0.457299,0.529319,0.308907,0.334779,85.85,0.0,0.0,0.383661,0.84,0.84,0.84,0.84,0.716263,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887355,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.901296,1,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.28,0.1,0.659223,0.788742,0.336884,1.560368,171.981339,0.490426,0.490426,0.19044,0.84,0.84,0.84,0.84,0.349354,0.015021,0.0,0.0,0.0,156.92495,1.037863,-0.099795,0.273,0.0,0.72,0.7,0.0,0.0,0.0,0.0,0.0,0.58,0.42,0.0,0.0,0.58,0.42,0.0,0.0,0.0,0.153333,0.073333,0.42,0.0,-0.860674,0.0,0.986667,0.413333,0.153333,0.846667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.153333,0.453333,0.546667,0.873333,0.0,0.073333,0.546667,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.080287,-2.054554,1,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.449527,0.520088,0.312123,0.33469,85.85,0.0,0.0,0.391433,0.84,0.84,0.84,0.84,0.735692,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887444,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.901278,2,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.604794,0.808471,0.362771,3.304378,411.885906,1.172078,1.172078,0.247005,0.84,0.84,0.84,0.84,0.500267,3.545252,59.280454,0.0,0.0,376.989314,2.493316,0.469096,1.0,0.993857,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.162245,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.133333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.386667,0.613333,1.0,0.0,0.0,0.42,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,-3.383974,2,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.468071,0.575184,0.335975,5.985367,586.064308,190.788786,190.788786,0.393095,0.84,0.84,0.84,0.84,0.791356,8.681231,288.298277,0.0,0.0,376.989314,2.493316,0.469096,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.843234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.093333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.273333,0.726667,1.0,0.0,0.0,0.42,0.0,0.0,0.386667,0.193333,0.0,0.0,0.0,0.0,-4.369077,2,always_image,heuristic
