scenario,semantic_path,samples,joint_feasible_ratio,semantic_feasible_ratio,deadline_feasible_ratio,utm_feasible_ratio,avg_tx_delay_s,avg_queue_delay_s,avg_infer_delay_s,avg_load_delay_s,avg_arrival_delay_s,avg_required_rate_mbps,avg_required_bandwidth_hz,avg_required_deadline_reduction_s,avg_edge_queue_pressure,model_cache_hit_ratio,reject_feasible_ratio,oracle_task_success_ratio,oracle_reject_ratio,bottleneck_distribution,reject_reason_distribution,oracle_path_distribution
low_snr_blockage,reject,36,0.8888888888888888,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,deadline:0.083;expired:0.556;mixed:0.361,deadline:0.083;expired:0.556;mixed:0.361,
low_snr_blockage,token,36,0.0,0.25,0.0,1.0,1.0146526388888888,0.05317388888888889,0.136,0.017777777777777778,9.654122138888889,3585284.4444444445,630186129290756.1,9.22461536111111,0.15983990097222223,1.0,0.0,0.0,0.0,expired:0.556;mobility:0.250;semantic_quality:0.194,,
low_snr_soft,_oracle_action,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,:1.000,expired:0.167;mixed:0.500,cache:0.278;reject:0.667;token:0.056
low_snr_soft,cache,36,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,0.0,0.07559477777777777,0.016666666666666666,0.03333333333333333,0.0,0.0,208333.33333333334,0.0,0.12056930726831598,1.0,0.0,0.3333333333333333,0.0,expired:0.167;none:0.333;semantic_quality:0.500,,
low_snr_soft,cache_update,36,0.16666666666666666,0.5555555555555556,0.2222222222222222,1.0,0.006865388888888889,0.07559477777777777,0.4533333333333333,0.03333333333333333,5.178840194444445,3937763.718383425,3133555878976.6475,1.861151277777778,0.12056930726831598,1.0,0.0,0.16666666666666666,0.0,expired:0.167;mobility:0.389;none:0.167;semantic_quality:0.278,,
low_snr_soft,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.12056930726831598,1.0,0.0,0.0,0.0,expired:0.167;tx_delay:0.833,,
low_snr_soft,image,36,0.0,0.5555555555555556,0.0,1.0,0.31515455555555555,0.07559477777777777,2.147725,0.31666666666666665,5.178840194444445,479732981.77777773,307768064246382.7,4.042314388888889,0.12056930726831598,0.16666666666666666,0.0,0.0,0.0,expired:0.167;mobility:0.500;resource:0.056;semantic_quality:0.278,,
low_snr_soft,reject,36,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,deadline:0.222;expired:0.167;mixed:0.611,deadline:0.222;expired:0.167;mixed:0.611,
low_snr_soft,token,36,0.16666666666666666,0.5555555555555556,0.2222222222222222,1.0,0.006865388888888889,0.07559477777777777,0.4533333333333333,0.03333333333333333,5.178840194444445,3937763.718383425,3133555878976.6475,1.861151277777778,0.12056930726831598,1.0,0.0,0.16666666666666666,0.0,expired:0.167;mobility:0.389;none:0.167;semantic_quality:0.278,,
normal_patrol,_oracle_action,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,:1.000,expired:0.528;mixed:0.472,reject:1.000
normal_patrol,cache,36,0.0,0.0,0.4722222222222222,1.0,0.0,0.09232558333333334,0.009444444444444445,0.01888888888888889,0.0,0.0,551388.8888888889,0.0,0.2861303333333333,1.0,0.0,0.0,0.0,expired:0.528;semantic_quality:0.472,,
normal_patrol,cache_update,36,0.0,0.16666666666666666,0.027777777777777776,1.0,0.00034269444444444446,0.09232558333333334,0.15866666666666668,0.01888888888888889,2.50421625,4039060.6726934835,282124705915.6041,1.1200845,0.2861303333333333,1.0,0.0,0.0,0.0,expired:0.528;mobility:0.167;semantic_quality:0.306,,
normal_patrol,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.2861303333333333,1.0,0.0,0.0,0.0,expired:0.528;tx_delay:0.472,,
normal_patrol,image,36,0.0,0.16666666666666666,0.0,1.0,0.05261236111111111,0.09232558333333334,1.100708972222222,0.17944444444444443,2.50421625,735939573.1111112,51379271143823.72,2.3681966944444444,0.2861303333333333,0.5277777777777778,0.0,0.0,0.0,expired:0.528;mobility:0.167;semantic_quality:0.306,,
normal_patrol,reject,36,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,expired:0.528;mixed:0.472,expired:0.528;mixed:0.472,
normal_patrol,token,36,0.0,0.16666666666666666,0.027777777777777776,1.0,0.00034269444444444446,0.09232558333333334,0.15866666666666668,0.01888888888888889,2.50421625,4039060.6726934835,282124705915.6041,1.1200845,0.2861303333333333,1.0,0.0,0.0,0.0,expired:0.528;mobility:0.167;semantic_quality:0.306,,
utm_conflict,_oracle_action,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,:1.000,expired:0.600;mixed:0.400,reject:1.000
utm_conflict,cache,30,0.0,0.0,0.36666666666666664,1.0,0.0,0.06599436666666667,0.008,0.016,0.0,0.0,620000.0,0.00046796666666666745,0.23035883333333332,1.0,0.0,0.0,0.0,expired:0.600;semantic_quality:0.400,,
utm_conflict,cache_update,30,0.0,0.0,0.0,0.8333333333333334,0.0003889,0.06599436666666667,0.10880000000000001,0.016,3.9676514333333333,3802403.1999999997,379734623972.5432,3.7258347333333335,0.23035883333333332,1.0,0.0,0.0,0.0,expired:0.600;semantic_quality:0.400,,
utm_conflict,defer,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.23035883333333332,1.0,0.0,0.0,0.0,expired:0.600;tx_delay:0.400,,
utm_conflict,image,30,0.0,0.0,0.0,0.8333333333333334,0.065082,0.06599436666666667,0.9020444,0.152,3.9676514333333333,636578966.4,63556599049635.05,4.7997722666666665,0.23035883333333332,0.6,0.0,0.0,0.0,expired:0.600;semantic_quality:0.400,,
utm_conflict,reject,30,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,expired:0.600;mixed:0.400,expired:0.600;mixed:0.400,
utm_conflict,token,30,0.0,0.0,0.0,0.8333333333333334,0.0003889,0.06599436666666667,0.10880000000000001,0.016,3.9676514333333333,3802403.1999999997,379734623972.5432,3.7258347333333335,0.23035883333333332,1.0,0.0,0.0,0.0,expired:0.600;semantic_quality:0.400,,
utm_conflict_soft,_oracle_action,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,:1.000,expired:0.417;mixed:0.250,cache:0.333;reject:0.667
utm_conflict_soft,cache,36,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.0,0.0,0.04857316666666667,0.011666666666666667,0.023333333333333334,0.0,0.0,445833.3333333333,0.0,0.09672710964288195,1.0,0.0,0.3333333333333333,0.0,expired:0.417;none:0.333;semantic_quality:0.250,,
utm_conflict_soft,cache_update,36,0.0,0.16666666666666666,0.0,1.0,0.0006229444444444444,0.04857316666666667,0.24933333333333332,0.023333333333333334,6.111332861111111,4881863.555555555,484530994504.44855,3.4065290277777778,0.09672710964288195,1.0,0.0,0.0,0.0,expired:0.417;mobility:0.167;semantic_quality:0.417,,
utm_conflict_soft,defer,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.09672710964288195,1.0,0.0,0.0,0.0,expired:0.417;tx_delay:0.583,,
utm_conflict_soft,image,36,0.0,0.1388888888888889,0.0,1.0,0.07660758333333333,0.04857316666666667,1.42286775,0.22166666666666668,6.111332861111111,752669319.111111,74812081350278.14,4.971048027777778,0.09672710964288195,0.4166666666666667,0.0,0.0,0.0,expired:0.417;mobility:0.139;semantic_quality:0.444,,
utm_conflict_soft,reject,36,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,deadline:0.028;expired:0.417;mixed:0.556,deadline:0.028;expired:0.417;mixed:0.556,
utm_conflict_soft,token,36,0.0,0.16666666666666666,0.0,1.0,0.0006229444444444444,0.04857316666666667,0.24933333333333332,0.023333333333333334,6.111332861111111,4881863.555555555,484530994504.44855,3.4065290277777778,0.09672710964288195,1.0,0.0,0.0,0.0,expired:0.417;mobility:0.167;semantic_quality:0.417,,
