scenario,benchmark_policy,seeds,runs,episodes_per_seed,tasks_total,variant_kind,semantic_success_rate_mean,semantic_success_rate_std,task_success_rate_mean,task_success_rate_std,average_accuracy_mean,average_accuracy_std,average_accuracy_mean_mean,average_accuracy_mean_std,average_uncertainty_mean,average_uncertainty_std,average_semantic_quality_gap_mean,average_semantic_quality_gap_std,average_epsilon_k_mean,average_epsilon_k_std,failed_epsilon_k_mean_mean,failed_epsilon_k_mean_std,failed_epsilon_k_min_mean,failed_epsilon_k_min_std,failed_epsilon_k_max_mean,failed_epsilon_k_max_std,average_q_quality_mean,average_q_quality_std,average_q_deadline_mean,average_q_deadline_std,average_q_energy_mean,average_q_energy_std,average_q_utm_mean,average_q_utm_std,average_mobility_energy_j_mean,average_mobility_energy_j_std,average_arrival_delay_s_mean,average_arrival_delay_s_std,average_coverage_gain_mean,average_coverage_gain_std,average_utm_conflict_risk_mean,average_utm_conflict_risk_std,average_delay_mean,average_delay_std,average_energy_mean,average_energy_std,average_payload_kb_mean,average_payload_kb_std,deadline_violation_rate_mean,deadline_violation_rate_std,utm_conflict_violation_rate_mean,utm_conflict_violation_rate_std,service_level_0_ratio_mean,service_level_0_ratio_std,service_level_1_ratio_mean,service_level_1_ratio_std,service_level_2_ratio_mean,service_level_2_ratio_std,semantic_path_cache_ratio_mean,semantic_path_cache_ratio_std,semantic_path_token_ratio_mean,semantic_path_token_ratio_std,semantic_path_image_ratio_mean,semantic_path_image_ratio_std,semantic_path_defer_ratio_mean,semantic_path_defer_ratio_std,semantic_path_cache_update_ratio_mean,semantic_path_cache_update_ratio_std,cache_eligible_ratio_mean,cache_eligible_ratio_std,joint_feasible_selection_ratio_mean,joint_feasible_selection_ratio_std,deadline_infeasible_selection_ratio_mean,deadline_infeasible_selection_ratio_std,utm_infeasible_selection_ratio_mean,utm_infeasible_selection_ratio_std,average_selected_path_deadline_slack_s_mean,average_selected_path_deadline_slack_s_std,average_q_defer_mean,average_q_defer_std,average_q_cache_stale_mean,average_q_cache_stale_std
edge_overload,semantic_greedy,"0,1,2",3,50,1500,heuristic,0.08,0.003464,0.0,0.0,0.325545,0.003918,0.587974,0.005395,0.74928,0.002052,0.325019,0.003395,0.63836,6.9e-05,0.639957,1e-06,0.62,0.0,0.64,0.0,1.90065,0.024461,6.759248,0.075818,1903.164979,2.148605,0.0,0.0,565.170562,1.966082,2.803425,0.009752,0.065067,0.000174,0.403219,0.004438,6.589366,0.000807,763.798865,1.509083,149.007902,0.558252,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.003464,0.92,0.003464,0.0,0.0,0.08,0.003464,0.92,0.003464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.574766,0.019136,0.0,0.0,0.0,0.0
edge_overload,semantic_path_two_timescale_ppo,"0,1,2",3,50,1500,rl,0.499333,0.024194,0.080667,0.011372,0.562579,0.012777,0.772291,0.015486,0.438506,0.002716,0.135886,0.009024,0.627293,0.000101,0.634584,0.000546,0.62,0.0,0.64,0.0,1.016974,0.047163,1.258195,0.04588,853.561667,22.48427,0.0,0.0,336.448408,20.437282,1.598732,0.120446,0.007458,0.003469,0.189508,0.00594,2.576238,0.116911,366.467698,19.437032,0.714894,0.022518,0.656667,0.007572,0.0,0.0,0.208,0.027495,0.792,0.027495,0.0,0.0,0.208,0.027495,0.772667,0.01222,0.0,0.0,0.0,0.0,0.019333,0.016773,0.059333,0.00611,0.113333,0.00611,0.711333,0.046361,0.0,0.0,-2.37263,0.184993,0.0,0.0,1.433333,0.125369
low_snr_blockage,always_cache,"0,1,2",3,50,1191,heuristic,0.344249,0.01018,0.344249,0.01018,0.524923,0.005246,0.5482,0.005192,0.089778,8.9e-05,0.271605,0.004637,0.775735,0.00021,0.763503,0.000563,0.65,0.0,0.82,0.0,1.109346,0.024933,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185317,0.000288,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130982,0.0,0.130982,0.0,0.0,0.0,0.0,0.0,2.132047,0.011817,0.0,0.0,3.438287,0.0
low_snr_blockage,always_image,"0,1,2",3,50,1191,heuristic,0.650714,0.009537,0.0,0.0,0.606726,0.007914,0.641033,0.008084,0.096598,9.4e-05,0.248847,0.006987,0.778732,5.8e-05,0.777664,0.0003,0.65,0.0,0.82,0.0,1.197981,0.035908,209.740206,2.171756,9642.196784,75.737505,0.0,0.0,2480.480638,9.286989,16.405295,0.061422,0.01507,0.001261,0.115848,0.000147,54.720768,0.879998,2731.167739,9.949856,36.863845,0.092303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.355164,0.004363,0.0,0.0,1.0,0.0,0.0,0.0,-52.92589,0.874832,0.0,0.0,0.0,0.0
low_snr_blockage,always_semantic_token,"0,1,2",3,50,1191,heuristic,0.650714,0.009537,0.0,0.0,0.612769,0.006108,0.662909,0.006076,0.112802,0.000136,0.202812,0.005685,0.778732,5.8e-05,0.777664,0.0003,0.65,0.0,0.82,0.0,0.955259,0.028534,59.092732,0.488149,8723.13013,76.017097,0.0,0.0,2480.480638,9.286989,16.405295,0.061422,0.01507,0.001261,0.115848,0.000147,18.243136,0.092574,2522.087397,9.302287,0.985814,0.00031,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355164,0.004363,0.0,0.0,1.0,0.0,0.0,0.0,-16.448258,0.088222,0.0,0.0,0.0,0.0
low_snr_blockage,lyapunov_greedy,"0,1,2",3,50,1191,heuristic,0.344249,0.01018,0.344249,0.01018,0.524923,0.005246,0.5482,0.005192,0.089778,8.9e-05,0.271605,0.004637,0.775735,0.00021,0.763503,0.000563,0.65,0.0,0.82,0.0,1.109346,0.024933,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185317,0.000288,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130982,0.0,0.130982,0.0,0.0,0.0,0.0,0.0,2.132047,0.011817,0.0,0.0,3.438287,0.0
low_snr_blockage,semantic_greedy,"0,1,2",3,50,1191,heuristic,0.946263,0.001454,0.234257,0.006665,0.820933,0.000446,0.866327,0.000548,0.107145,7.4e-05,0.012574,0.000423,0.77843,5.8e-05,0.657972,0.000212,0.65,0.0,0.82,0.0,0.013548,0.000423,43.216381,0.476628,6228.660489,119.473851,0.0,0.0,1848.09054,19.144377,12.09591,0.130147,0.013263,0.001527,0.087435,0.001403,14.737389,0.229267,1893.655154,18.817004,2.433422,0.039731,0.765743,0.006665,0.0,0.0,0.246012,0.007271,0.700252,0.008726,0.053737,0.001454,0.246012,0.007271,0.700252,0.008726,0.053737,0.001454,0.0,0.0,0.0,0.0,0.287154,0.004362,0.041981,0.001454,0.753988,0.007271,0.0,0.0,-12.798732,0.224363,0.0,0.0,0.896726,0.035265
low_snr_blockage,semantic_path_two_timescale_ppo,"0,1,2",3,50,1191,rl,0.824517,0.006339,0.276239,0.013873,0.752959,0.003967,0.791122,0.003635,0.10146,0.000861,0.071944,0.003221,0.776834,0.001079,0.731524,0.002272,0.65,0.0,0.82,0.0,0.208455,0.013917,46.734625,10.959045,0.0,0.0,0.0,0.0,78.397607,0.0,0.005229,0.0,-2.1e-05,0.0,0.066716,0.001125,14.213842,3.045494,111.243308,2.739841,0.562657,0.007883,0.608732,0.011904,0.0,0.0,0.429051,0.007695,0.570949,0.007695,0.0,0.0,0.429051,0.007695,0.570949,0.007695,0.0,0.0,0.0,0.0,0.0,0.0,0.277078,0.009082,0.047019,0.001454,0.589421,0.011543,0.0,0.0,-8.744232,0.223762,0.0,0.0,1.424853,0.056624
low_snr_soft,always_cache,"0,1,2",3,50,1650,heuristic,0.078788,0.00105,0.078788,0.00105,0.401332,0.002576,0.48884,0.002855,0.330556,0.001664,0.215343,0.002091,0.608345,0.00139,0.607455,0.001254,0.52,0.0,0.697,0.0,1.126428,0.009833,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175264,0.000213,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206061,0.0021,0.206061,0.0021,0.0,0.0,0.0,0.0,4.44716,0.013433,0.0,0.0,4.454545,0.0
low_snr_soft,always_image,"0,1,2",3,50,1650,heuristic,0.650909,0.009621,0.0,0.0,0.502436,0.007426,0.650909,0.009621,0.391401,0.0,0.219393,0.005762,0.629,0.000915,0.628484,0.000987,0.595,0.0,0.697,0.0,1.266592,0.039431,6.915386,0.12644,6759.401419,43.255219,0.0,0.0,1037.930607,6.060679,3.634211,0.021221,0.076107,0.0001,0.141676,0.0,7.281794,0.025793,1247.174049,6.065045,144.027315,1.279732,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.363636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.509067,0.025793,0.0,0.0,0.0,0.0
low_snr_soft,always_semantic_token,"0,1,2",3,50,1650,heuristic,0.544849,0.008198,0.058182,0.001818,0.550554,0.001884,0.770029,0.002987,0.408515,0.000493,0.156503,0.000949,0.625144,0.00106,0.636185,0.001298,0.52,0.0,0.697,0.0,1.044838,0.020162,0.654694,0.0156,6221.443451,27.078586,0.0,0.0,1116.464299,6.560114,3.909189,0.02297,0.077868,0.000176,0.131067,0.001819,4.671183,0.025314,1155.50424,6.71181,1.109053,0.002923,0.771515,0.013647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.069091,0.003149,0.771515,0.013647,0.0,0.0,-0.709971,0.043426,0.0,0.0,0.0,0.0
low_snr_soft,lyapunov_greedy,"0,1,2",3,50,1650,heuristic,0.078788,0.00105,0.078788,0.00105,0.401332,0.002576,0.48884,0.002855,0.330556,0.001664,0.215343,0.002091,0.608345,0.00139,0.607455,0.001254,0.52,0.0,0.697,0.0,1.126428,0.009833,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175264,0.000213,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206061,0.0021,0.206061,0.0021,0.0,0.0,0.0,0.0,4.44716,0.013433,0.0,0.0,4.454545,0.0
low_snr_soft,semantic_greedy,"0,1,2",3,50,1650,heuristic,0.71697,0.00105,0.135758,0.00105,0.549565,0.000881,0.691621,0.001227,0.368845,0.000106,0.181354,0.00076,0.623735,0.000964,0.643443,0.000199,0.52,0.0,0.697,0.0,0.863435,0.001491,1.352638,0.02647,5857.975201,23.992964,0.0,0.0,1068.964503,4.63212,3.724996,0.016045,0.064806,0.000292,0.095904,0.000869,5.26722,0.019664,1156.069588,4.787025,42.048773,0.254987,0.855151,0.00105,0.0,0.0,0.065455,0.001819,0.651515,0.002099,0.28303,0.00105,0.065455,0.001819,0.651515,0.002099,0.28303,0.00105,0.0,0.0,0.0,0.0,0.277576,0.002778,0.12303,0.00105,0.855151,0.00105,0.0,0.0,-0.931681,0.027801,0.0,0.0,0.185455,0.0
low_snr_soft,semantic_path_two_timescale_ppo,"0,1,2",3,50,1650,rl,0.287273,0.012728,0.21697,0.062887,0.290823,0.024569,0.354364,0.030232,0.142081,0.014904,0.34266,0.029501,0.590047,0.007897,0.593725,0.00818,0.52,0.0,0.697,0.0,1.640838,0.09516,2.300801,3.844852,1790.427621,3022.946001,0.0,0.0,344.209946,466.736352,1.104911,1.68912,0.016057,0.025393,0.040833,0.007939,1.347463,1.680081,354.048799,467.35135,0.254779,0.027687,0.091515,0.080295,0.0,0.0,0.709697,0.040261,0.290303,0.040261,0.0,0.0,0.174546,0.038869,0.290303,0.040261,0.0,0.0,0.535152,0.070426,0.0,0.0,0.281212,0.037321,0.275758,0.026618,0.724242,0.026618,0.0,0.0,2.410477,0.290108,2.47697,0.216733,0.440606,0.124613
normal_patrol,always_cache,"0,1,2",3,50,1488,heuristic,0.0,0.0,0.0,0.0,0.415964,0.000416,0.508303,0.000415,0.347912,0.000343,0.346832,0.000127,0.762796,0.000291,0.762796,0.000291,0.65,0.0,0.82,0.0,1.668054,0.003971,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192538,0.000155,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148215,0.001256,0.0,0.0,5.465726,0.0
normal_patrol,always_image,"0,1,2",3,50,1488,heuristic,0.432123,0.008394,0.002016,0.0,0.47377,0.002222,0.597497,0.003057,0.365668,0.000291,0.310803,0.002456,0.762816,0.000291,0.782162,0.00033,0.65,0.0,0.82,0.0,1.963027,0.027015,15.292806,0.144892,1515.440267,9.272462,0.0,0.0,548.262011,2.809768,3.626072,0.018583,0.057599,0.000324,0.080039,8.9e-05,7.204922,0.020063,765.28086,2.926063,192.81859,0.127329,0.997984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002016,0.0,0.997984,0.0,0.0,0.0,-4.948202,0.021221,0.0,0.0,0.0,0.0
normal_patrol,always_semantic_token,"0,1,2",3,50,1488,heuristic,0.386425,0.008148,0.05914,0.002328,0.601472,0.001246,0.814326,0.001478,0.375713,0.000306,0.181199,0.001365,0.760061,0.000474,0.789735,0.000351,0.65,0.0,0.82,0.0,1.142716,0.014526,7.796434,0.065336,1259.690726,8.548062,0.0,0.0,660.094735,2.556803,4.365706,0.01691,0.068295,0.000552,0.079173,0.000261,5.210493,0.018017,705.913014,2.655512,1.078509,0.001042,0.765457,0.002328,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051747,0.001164,0.065188,0.002328,0.765457,0.002328,0.0,0.0,-2.94638,0.018218,0.0,0.0,0.0,0.0
normal_patrol,lyapunov_greedy,"0,1,2",3,50,1488,heuristic,0.0,0.0,0.0,0.0,0.415964,0.000416,0.508303,0.000415,0.347912,0.000343,0.346832,0.000127,0.762796,0.000291,0.762796,0.000291,0.65,0.0,0.82,0.0,1.668054,0.003971,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192538,0.000155,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148215,0.001256,0.0,0.0,5.465726,0.0
normal_patrol,semantic_greedy,"0,1,2",3,50,1488,heuristic,0.416667,0.008148,0.05914,0.002328,0.459456,0.002398,0.570964,0.003418,0.351669,0.000495,0.324718,0.002519,0.760665,0.000474,0.788788,0.000379,0.65,0.0,0.82,0.0,2.035822,0.027101,15.605632,0.21032,1700.180781,16.647393,0.0,0.0,654.54075,2.556803,4.327933,0.01691,0.067721,0.000552,0.08118,0.000261,6.900021,0.039074,808.414674,3.900144,117.579335,1.591777,0.94086,0.002328,0.0,0.0,0.002016,0.0,0.380376,0.008148,0.617608,0.008148,0.002016,0.0,0.380376,0.008148,0.617608,0.008148,0.0,0.0,0.0,0.0,0.043683,0.001164,0.057124,0.002328,0.94086,0.002328,0.0,0.0,-4.641795,0.039885,0.0,0.0,0.018145,0.0
normal_patrol,semantic_path_two_timescale_ppo,"0,1,2",3,50,1484,rl,0.250792,0.039622,0.098238,0.170154,0.375429,0.224983,0.462365,0.256803,0.185878,0.116252,0.396323,0.221285,0.759483,0.00603,0.771906,0.005503,0.65,0.0,0.82,0.0,2.05384,1.101234,24.733997,21.422408,3844.362294,3329.663866,0.0,0.0,688.220115,529.441131,4.379763,3.798929,0.056341,0.048844,0.02514,0.006937,4.669012,3.681383,699.487397,525.871475,0.375879,0.026328,0.212366,0.184311,0.0,0.0,0.638583,0.075229,0.361417,0.075229,0.0,0.0,0.184282,0.319186,0.356041,0.079828,0.0,0.0,0.454301,0.393622,0.005377,0.004656,0.034553,0.059848,0.027701,0.023536,0.799534,0.322772,0.0,0.0,-0.433502,1.0214,2.272177,1.967952,1.022358,1.770775
utm_conflict,always_cache,"0,1,2",3,50,750,heuristic,0.0,0.0,0.0,0.0,0.387187,0.00161,0.482564,0.001695,0.373546,0.000109,0.432813,0.00161,0.82,0.0,0.82,0.0,0.82,0.0,0.82,0.0,1.147259,0.005154,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202739,0.000418,85.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175261,0.01136,0.0,0.0,3.0,0.0
