policy,scenario,episodes,tasks,semantic_success_rate,task_success_rate,average_accuracy,average_accuracy_mean,average_uncertainty,average_delay,average_energy,average_payload_kb,average_semantic_payload_kb,average_semantic_quality_gap,average_epsilon_k,failed_epsilon_k_mean,failed_epsilon_k_min,failed_epsilon_k_max,average_q_quality,average_q_deadline,average_q_energy,average_q_risk,average_q_utm,average_mobility_energy_j,average_arrival_delay_s,average_coverage_gain,average_utm_conflict_risk,payload_reduction_vs_always_image,quality_violation_rate,deadline_violation_rate,battery_violation_rate,resource_violation_rate,airspace_conflict_rate,utm_constraint_violation_rate,utm_conflict_violation_rate,service_level_0_ratio,service_level_1_ratio,service_level_2_ratio,service_level_3_ratio,semantic_path_cache_ratio,semantic_path_token_ratio,semantic_path_image_ratio,semantic_path_defer_ratio,semantic_path_cache_update_ratio,cache_eligible_ratio,joint_feasible_selection_ratio,deadline_infeasible_selection_ratio,utm_infeasible_selection_ratio,average_selected_path_deadline_slack_s,average_q_defer,average_q_cache_stale,average_reward,seed,benchmark_policy,variant_kind
ppo,disaster_hotspot,50,150,0.28,0.1,0.656135,0.773871,0.330535,1.54198,171.486961,0.452077,0.452077,0.193528,0.84,0.84,0.84,0.84,0.364486,0.014206,0.0,0.0,0.0,156.92495,1.037863,-0.099795,0.251333,0.0,0.72,0.7,0.0,0.0,0.0,0.0,0.0,0.613333,0.386667,0.0,0.0,0.613333,0.386667,0.0,0.0,0.0,0.153333,0.073333,0.386667,0.0,-0.71854,0.0,1.086667,-2.038602,1,semantic_path_two_timescale_ppo,rl
always_cache,disaster_hotspot,50,150,0.12,0.12,0.449527,0.520088,0.312123,0.33469,85.85,0.0,0.0,0.391433,0.84,0.84,0.84,0.84,0.735692,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887444,0.0,2.0,-1.901278,2,always_cache,heuristic
always_semantic_token,disaster_hotspot,50,150,0.193333,0.0,0.604794,0.808471,0.362771,3.304378,411.885906,1.172078,1.172078,0.247005,0.84,0.84,0.84,0.84,0.500267,3.545252,59.280454,0.0,0.0,376.989314,2.493316,0.469096,1.0,0.993857,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.162245,0.0,0.0,-3.383974,2,always_semantic_token,heuristic
always_image,disaster_hotspot,50,150,0.193333,0.0,0.468071,0.575184,0.335975,5.985367,586.064308,190.788786,190.788786,0.393095,0.84,0.84,0.84,0.84,0.791356,8.681231,288.298277,0.0,0.0,376.989314,2.493316,0.469096,1.0,0.0,0.806667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.843234,0.0,0.0,-4.369077,2,always_image,heuristic
semantic_greedy,disaster_hotspot,50,150,0.313333,0.12,0.560463,0.671017,0.338938,4.862974,503.583635,133.353957,133.353957,0.292295,0.84,0.84,0.84,0.84,0.589756,6.614299,211.939078,0.0,0.0,352.328655,2.268311,0.428767,0.88,0.301039,0.686667,0.88,0.0,0.0,0.0,0.0,0.0,0.12,0.193333,0.686667,0.0,0.12,0.193333,0.686667,0.0,0.0,0.0,0.0,0.88,0.0,-3.71124,0.0,0.24,-3.780736,2,semantic_greedy,heuristic
lyapunov_greedy,disaster_hotspot,50,150,0.12,0.12,0.449527,0.520088,0.312123,0.33469,85.85,0.0,0.0,0.391433,0.84,0.84,0.84,0.84,0.735692,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887444,0.0,2.0,-1.901278,2,lyapunov_greedy,heuristic
ppo,disaster_hotspot,50,150,0.26,0.093333,0.668545,0.798048,0.336756,1.555154,172.590774,0.499801,0.499801,0.180251,0.84,0.84,0.84,0.84,0.344226,0.021771,0.0,0.0,0.0,156.92495,1.037863,-0.099875,0.277333,0.0,0.74,0.726667,0.0,0.0,0.0,0.0,0.0,0.573333,0.426667,0.0,0.0,0.573333,0.426667,0.0,0.0,0.0,0.126667,0.033333,0.426667,0.0,-0.880222,0.0,1.086667,-2.194732,2,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_soft,50,550,0.08,0.08,0.401554,0.489498,0.332474,0.17551,85.85,0.0,0.0,0.216518,0.609629,0.608565,0.52,0.697,1.130704,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.203636,0.203636,0.0,0.0,4.462672,0.0,4.454545,-0.284671,0,always_cache,heuristic
always_semantic_token,low_snr_soft,50,550,0.552727,0.056364,0.549003,0.766667,0.408137,4.700412,1163.251384,1.105829,1.105829,0.157592,0.625382,0.637512,0.52,0.697,1.067693,0.668085,6252.175509,0.0,0.0,1124.031238,3.935684,0.077665,0.132758,0.992242,0.447273,0.787273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32,0.067273,0.787273,0.0,-0.758594,0.0,0.0,-2.380167,0,always_semantic_token,heuristic
always_image,low_snr_soft,50,550,0.643636,0.0,0.496822,0.643636,0.391401,7.310539,1253.927813,142.549617,142.549617,0.223905,0.628567,0.628306,0.595,0.697,1.291845,7.055635,6807.772636,0.0,0.0,1044.679503,3.657841,0.076006,0.141676,0.0,0.356364,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.363636,0.0,1.0,0.0,-3.537812,0.0,0.0,-3.605142,0,always_image,heuristic
semantic_greedy,low_snr_soft,50,550,0.716364,0.136364,0.548825,0.690471,0.368722,5.283596,1160.301996,41.776065,41.776065,0.181746,0.624291,0.643558,0.52,0.697,0.864249,1.377492,5865.750917,0.0,0.0,1073.139088,3.739117,0.064898,0.096569,0.706937,0.283636,0.854545,0.0,0.0,0.0,0.0,0.0,0.067273,0.649091,0.283636,0.0,0.067273,0.649091,0.283636,0.0,0.0,0.278182,0.123636,0.854545,0.0,-0.95276,0.0,0.185455,-2.331377,0,semantic_greedy,heuristic
lyapunov_greedy,low_snr_soft,50,550,0.08,0.08,0.401554,0.489498,0.332474,0.17551,85.85,0.0,0.0,0.216518,0.609629,0.608565,0.52,0.697,1.130704,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.203636,0.203636,0.0,0.0,4.462672,0.0,4.454545,-0.284671,0,lyapunov_greedy,heuristic
ppo,low_snr_soft,50,550,0.272727,0.241818,0.279391,0.338008,0.134502,0.220982,43.983159,0.228578,0.228578,0.349392,0.586938,0.590238,0.52,0.697,1.703994,0.0,0.0,0.0,0.0,35.029091,0.0,0.0,0.037593,0.0,0.727273,0.036364,0.0,0.0,0.0,0.0,0.0,0.738182,0.261818,0.0,0.0,0.187273,0.261818,0.0,0.550909,0.0,0.290909,0.28,0.72,0.0,2.53335,2.587273,0.470909,0.912249,0,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_soft,50,550,0.078182,0.078182,0.403789,0.491308,0.329694,0.175146,85.85,0.0,0.0,0.212929,0.608538,0.607704,0.52,0.697,1.115181,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.921818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.207273,0.207273,0.0,0.0,4.439399,0.0,4.454545,-0.273846,1,always_cache,heuristic
always_semantic_token,low_snr_soft,50,550,0.545455,0.058182,0.552651,0.772377,0.408335,4.656274,1151.816967,1.111529,1.111529,0.155854,0.626064,0.636124,0.52,0.697,1.029573,0.658432,6211.067941,0.0,0.0,1112.982787,3.896999,0.077963,0.131301,0.992322,0.454545,0.763636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32,0.067273,0.763636,0.0,-0.696274,0.0,0.0,-2.357191,1,always_semantic_token,heuristic
always_image,low_snr_soft,50,550,0.661818,0.0,0.510856,0.661818,0.391401,7.274173,1245.401776,144.770705,144.770705,0.212902,0.630051,0.629548,0.595,0.697,1.221156,6.880401,6745.99463,0.0,0.0,1036.159637,3.62801,0.076111,0.141676,0.0,0.338182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.363636,0.0,1.0,0.0,-3.501446,0.0,0.0,-3.580719,1,always_image,heuristic
semantic_greedy,low_snr_soft,50,550,0.716364,0.134545,0.54933,0.691479,0.368901,5.272653,1157.032449,42.088995,42.088995,0.181838,0.624291,0.643558,0.52,0.697,0.864342,1.355617,5877.115934,0.0,0.0,1069.773098,3.728324,0.06504,0.096222,0.709271,0.283636,0.856364,0.0,0.0,0.0,0.0,0.0,0.063636,0.652727,0.283636,0.0,0.063636,0.652727,0.283636,0.0,0.0,0.28,0.121818,0.856364,0.0,-0.942108,0.0,0.185455,-2.330879,1,semantic_greedy,heuristic
lyapunov_greedy,low_snr_soft,50,550,0.078182,0.078182,0.403789,0.491308,0.329694,0.175146,85.85,0.0,0.0,0.212929,0.608538,0.607704,0.52,0.697,1.115181,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.921818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.207273,0.207273,0.0,0.0,4.439399,0.0,4.454545,-0.273846,1,lyapunov_greedy,heuristic
ppo,low_snr_soft,50,550,0.296364,0.145455,0.274053,0.335834,0.13249,3.278531,891.58882,0.252014,0.252014,0.368213,0.599025,0.60307,0.52,0.697,1.687131,6.739457,5280.632611,0.049091,0.0,881.093745,3.04931,0.045333,0.035026,0.0,0.703636,0.183636,0.010909,0.0,0.0,0.0,0.0,0.727273,0.272727,0.0,0.0,0.130909,0.272727,0.0,0.596364,0.0,0.24,0.247273,0.752727,0.0,2.618929,2.616364,0.303636,-0.471868,1,semantic_path_two_timescale_ppo,rl
always_cache,low_snr_soft,50,550,0.078182,0.078182,0.398652,0.485713,0.329499,0.175136,85.85,0.0,0.0,0.216583,0.606869,0.606095,0.52,0.697,1.133398,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,1.0,0.921818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.207273,0.207273,0.0,0.0,4.43941,0.0,4.454545,-0.273311,2,always_cache,heuristic
always_semantic_token,low_snr_soft,50,550,0.536364,0.06,0.550009,0.771042,0.409073,4.656864,1151.444368,1.109801,1.109801,0.156063,0.623985,0.634918,0.52,0.697,1.037248,0.637565,6201.086904,0.0,0.0,1112.378873,3.894884,0.077975,0.129142,0.992334,0.463636,0.763636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32,0.072727,0.763636,0.0,-0.675045,0.0,0.0,-2.336272,2,always_semantic_token,heuristic
always_image,low_snr_soft,50,550,0.647273,0.0,0.499629,0.647273,0.391401,7.260671,1242.192558,144.761624,144.761624,0.221371,0.628382,0.627598,0.595,0.697,1.286776,6.810122,6724.43699,0.0,0.0,1032.952682,3.616781,0.076205,0.141676,0.0,0.352727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.363636,0.0,1.0,0.0,-3.487944,0.0,0.0,-3.591262,2,always_image,heuristic
