t,phase,avg_w,min_w,max_w,window_sec,window_n,util_pct,sm_mhz,temp_c
1783653204.0,vlm,107.3,60.47,124.22,2.46,119,50.0,2715.0,76.0
1783653208.1,vlm,108.14,61.07,124.74,2.5,119,87.0,2685.0,77.0
1783653212.1,vlm,107.73,61.25,124.15,2.5,119,99.0,2625.0,77.0
1783653216.1,vlm,109.92,61.21,124.45,2.46,119,94.0,2715.0,71.0
1783653220.2,vlm,106.16,60.76,123.51,2.46,119,45.0,2715.0,75.0
1783653224.3,vlm,107.19,60.97,123.62,2.46,119,48.0,2685.0,76.0
1783653228.3,vlm,108.55,61.19,122.65,2.5,119,99.0,2685.0,77.0
1783653232.4,vlm,108.47,61.1,124.75,2.47,119,99.0,2550.0,77.0
1783653236.4,vlm,109.36,60.95,123.77,2.48,119,99.0,2715.0,71.0
1783653240.4,vlm,106.81,60.58,123.19,2.46,119,75.0,2715.0,76.0
1783653244.5,vlm,107.66,60.56,124.48,2.5,119,48.0,2685.0,77.0
1783653248.5,vlm,107.58,60.73,124.74,2.46,119,98.0,2685.0,78.0
1783653252.6,vlm,109.56,61.3,124.29,2.48,119,99.0,2625.0,78.0
1783653256.6,vlm,108.4,60.66,123.02,2.52,119,95.0,2715.0,70.0
1783653260.7,vlm,107.06,60.87,124.8,2.5,119,58.0,2685.0,77.0
1783653264.7,vlm,107.89,61.29,123.38,2.46,119,99.0,2685.0,78.0
1783653268.8,vlm,107.25,61.18,123.86,2.5,119,98.0,2625.0,79.0
1783653272.8,vlm,110.23,60.84,122.73,2.48,119,99.0,2715.0,74.0
1783653276.8,vlm,107.8,61.09,123.62,2.46,119,95.0,2715.0,75.0
1783653280.9,vlm,107.29,61.18,123.46,2.44,119,66.0,2685.0,76.0
1783653284.9,vlm,107.79,60.84,124.13,2.48,119,99.0,2685.0,77.0
1783653288.9,vlm,107.17,61.3,124.05,2.5,119,99.0,2685.0,78.0
1783653293.0,vlm,109.6,60.5,123.01,2.48,119,99.0,2595.0,78.0
1783653297.0,vlm,107.74,61.34,122.98,2.48,119,99.0,2715.0,72.0
1783653301.1,vlm,107.98,61.39,124.34,2.48,119,66.0,2685.0,77.0
1783653305.1,vlm,107.63,61.38,123.59,2.48,119,99.0,2685.0,78.0
1783653309.1,vlm,106.8,61.02,123.11,2.46,119,99.0,2685.0,78.0
1783653313.2,,78.14,58.75,123.42,3.43,119,0.0,2460.0,64.0
1783653317.2,,58.76,56.46,119.06,6.16,119,0.0,2460.0,62.0
1783653321.2,,57.34,56.29,116.66,10.08,119,0.0,2460.0,61.0
1783653325.3,,56.59,56.15,60.38,13.11,119,0.0,2460.0,60.0
1783653329.3,,55.77,53.28,56.55,14.42,119,0.0,210.0,57.0
1783653333.4,idle_post,55.2,53.18,56.51,17.36,119,0.0,210.0,56.0
1783653337.4,idle_post,54.04,53.1,56.22,14.42,119,0.0,210.0,55.0
1783653341.5,idle_post,53.81,53.03,56.22,18.34,119,0.0,210.0,54.0
1783653345.5,idle_post,53.09,52.96,53.26,15.4,119,0.0,210.0,54.0
1783653349.5,idle_post,53.04,52.91,53.23,18.33,119,0.0,210.0,53.0
1783653353.6,idle_post,52.96,52.86,53.1,16.38,119,0.0,210.0,52.0
1783653357.6,idle_post,52.92,52.81,53.06,18.34,119,0.0,210.0,52.0
1783653361.6,idle_post,52.86,52.77,52.98,16.37,119,0.0,210.0,51.0
1783653365.7,idle_post,52.79,52.72,52.88,14.42,119,0.0,210.0,51.0
1783653369.7,idle_post,52.77,52.69,52.88,17.35,119,0.0,210.0,50.0
1783653373.8,idle_post,52.71,52.65,52.79,14.41,119,0.0,210.0,50.0
1783653377.8,idle_post,52.7,52.62,52.79,18.33,119,0.0,210.0,49.0
1783653381.8,idle_post,52.65,52.59,52.72,15.39,119,0.0,210.0,49.0
1783653385.9,idle_post,52.63,52.56,52.7,18.33,119,0.0,210.0,48.0
1783653389.9,idle_post,52.59,52.53,52.65,16.37,119,0.0,210.0,48.0
