question_type,service_level,channel_bin,snr_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,good,15dB,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,good,15dB,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,good,15dB,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,good,15dB,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,good,15dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,good,15dB,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,good,15dB,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,good,15dB,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,good,15dB,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,good,15dB,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,good,15dB,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,good,15dB,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,good,15dB,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,good,15dB,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,0,good,20dB,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,good,20dB,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,good,20dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,good,20dB,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,good,20dB,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,good,20dB,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,good,20dB,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,good,20dB,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,good,20dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,good,20dB,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,good,20dB,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,good,20dB,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,good,20dB,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,good,20dB,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,good,20dB,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,good,20dB,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,good,20dB,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,good,20dB,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,0,medium,10dB,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,medium,10dB,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,medium,10dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,medium,10dB,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,medium,10dB,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,medium,10dB,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,medium,10dB,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,medium,10dB,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,medium,10dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,medium,10dB,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,medium,10dB,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,medium,10dB,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,medium,10dB,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,medium,10dB,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,medium,10dB,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,medium,10dB,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,medium,10dB,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,medium,10dB,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,0,medium,5dB,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,medium,5dB,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,medium,5dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,medium,5dB,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,medium,5dB,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,medium,5dB,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,medium,5dB,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,medium,5dB,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,medium,5dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,medium,5dB,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,medium,5dB,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,medium,5dB,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,medium,5dB,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,medium,5dB,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,medium,5dB,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,medium,5dB,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,medium,5dB,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,medium,5dB,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,1,bad,-5dB,good,expired,critical,0.75,4,0.424352,902.5,0.881348
counting,1,bad,-5dB,good,expired,normal,0.666667,30,0.16869,743.267,0.725846
counting,1,bad,-5dB,good,fresh,critical,0.75,4,0.424352,902.5,0.881348
counting,1,bad,-5dB,good,fresh,normal,0.666667,30,0.16869,743.267,0.725846
counting,1,bad,-5dB,good,stale,critical,0.75,4,0.424352,902.5,0.881348
counting,1,bad,-5dB,good,stale,normal,0.666667,30,0.16869,743.267,0.725846
counting,1,bad,-5dB,medium,expired,critical,0.076923,13,0.144854,1060.231,1.035382
counting,1,bad,-5dB,medium,expired,normal,0.432432,37,0.159633,744.73,0.727275
counting,1,bad,-5dB,medium,fresh,critical,0.076923,13,0.144854,1060.231,1.035382
counting,1,bad,-5dB,medium,fresh,normal,0.432432,37,0.159633,744.73,0.727275
counting,1,bad,-5dB,medium,stale,critical,0.076923,13,0.144854,1060.231,1.035382
counting,1,bad,-5dB,medium,stale,normal,0.432432,37,0.159633,744.73,0.727275
counting,1,bad,-5dB,poor,expired,critical,0.201814,441,0.03746,1054.365,1.029653
counting,1,bad,-5dB,poor,expired,normal,0.433809,491,0.043838,736.214,0.718959
counting,1,bad,-5dB,poor,fresh,critical,0.201814,441,0.03746,1054.365,1.029653
counting,1,bad,-5dB,poor,fresh,normal,0.433809,491,0.043838,736.214,0.718959
counting,1,bad,-5dB,poor,stale,critical,0.201814,441,0.03746,1054.365,1.029653
counting,1,bad,-5dB,poor,stale,normal,0.433809,491,0.043838,736.214,0.718959
counting,1,bad,0dB,good,expired,critical,0.5,4,0.49,1011.25,0.987549
counting,1,bad,0dB,good,expired,normal,0.8,30,0.143138,753.933,0.736263
counting,1,bad,0dB,good,fresh,critical,0.5,4,0.49,1011.25,0.987549
counting,1,bad,0dB,good,fresh,normal,0.8,30,0.143138,753.933,0.736263
counting,1,bad,0dB,good,stale,critical,0.5,4,0.49,1011.25,0.987549
counting,1,bad,0dB,good,stale,normal,0.8,30,0.143138,753.933,0.736263
counting,1,bad,0dB,medium,expired,critical,0.230769,13,0.229035,1110.615,1.084585
counting,1,bad,0dB,medium,expired,normal,0.486486,37,0.161052,776.108,0.757918
counting,1,bad,0dB,medium,fresh,critical,0.230769,13,0.229035,1110.615,1.084585
counting,1,bad,0dB,medium,fresh,normal,0.486486,37,0.161052,776.108,0.757918
counting,1,bad,0dB,medium,stale,critical,0.230769,13,0.229035,1110.615,1.084585
counting,1,bad,0dB,medium,stale,normal,0.486486,37,0.161052,776.108,0.757918
counting,1,bad,0dB,poor,expired,critical,0.226757,441,0.039082,1108.583,1.0826
counting,1,bad,0dB,poor,expired,normal,0.454175,491,0.044041,759.532,0.74173
counting,1,bad,0dB,poor,fresh,critical,0.226757,441,0.039082,1108.583,1.0826
counting,1,bad,0dB,poor,fresh,normal,0.454175,491,0.044041,759.532,0.74173
counting,1,bad,0dB,poor,stale,critical,0.226757,441,0.039082,1108.583,1.0826
counting,1,bad,0dB,poor,stale,normal,0.454175,491,0.044041,759.532,0.74173
counting,1,good,15dB,good,expired,critical,0.75,4,0.424352,1164.25,1.136963
counting,1,good,15dB,good,expired,normal,0.866667,30,0.121644,795.733,0.777083
counting,1,good,15dB,good,fresh,critical,0.75,4,0.424352,1164.25,1.136963
counting,1,good,15dB,good,fresh,normal,0.866667,30,0.121644,795.733,0.777083
counting,1,good,15dB,good,stale,critical,0.75,4,0.424352,1164.25,1.136963
counting,1,good,15dB,good,stale,normal,0.866667,30,0.121644,795.733,0.777083
counting,1,good,15dB,medium,expired,critical,0.615385,13,0.264467,1201.462,1.173302
counting,1,good,15dB,medium,expired,normal,0.72973,37,0.143099,807.838,0.788904
counting,1,good,15dB,medium,fresh,critical,0.615385,13,0.264467,1201.462,1.173302
counting,1,good,15dB,medium,fresh,normal,0.72973,37,0.143099,807.838,0.788904
counting,1,good,15dB,medium,stale,critical,0.615385,13,0.264467,1201.462,1.173302
counting,1,good,15dB,medium,stale,normal,0.72973,37,0.143099,807.838,0.788904
counting,1,good,15dB,poor,expired,critical,0.369615,441,0.045052,1184.138,1.156385
counting,1,good,15dB,poor,expired,normal,0.509165,491,0.044219,803.843,0.785003
counting,1,good,15dB,poor,fresh,critical,0.369615,441,0.045052,1184.138,1.156385
counting,1,good,15dB,poor,fresh,normal,0.509165,491,0.044219,803.843,0.785003
counting,1,good,15dB,poor,stale,critical,0.369615,441,0.045052,1184.138,1.156385
counting,1,good,15dB,poor,stale,normal,0.509165,491,0.044219,803.843,0.785003
counting,1,good,20dB,good,expired,critical,0.75,4,0.424352,1184.5,1.156738
counting,1,good,20dB,good,expired,normal,0.9,30,0.107354,814.233,0.79515
counting,1,good,20dB,good,fresh,critical,0.75,4,0.424352,1184.5,1.156738
counting,1,good,20dB,good,fresh,normal,0.9,30,0.107354,814.233,0.79515
counting,1,good,20dB,good,stale,critical,0.75,4,0.424352,1184.5,1.156738
counting,1,good,20dB,good,stale,normal,0.9,30,0.107354,814.233,0.79515
counting,1,good,20dB,medium,expired,critical,0.461538,13,0.270998,1216.923,1.188401
counting,1,good,20dB,medium,expired,normal,0.72973,37,0.143099,814.973,0.795872
counting,1,good,20dB,medium,fresh,critical,0.461538,13,0.270998,1216.923,1.188401
counting,1,good,20dB,medium,fresh,normal,0.72973,37,0.143099,814.973,0.795872
counting,1,good,20dB,medium,stale,critical,0.461538,13,0.270998,1216.923,1.188401
counting,1,good,20dB,medium,stale,normal,0.72973,37,0.143099,814.973,0.795872
counting,1,good,20dB,poor,expired,critical,0.401361,441,0.04575,1186.027,1.15823
counting,1,good,20dB,poor,expired,normal,0.533605,491,0.044127,807.065,0.78815
counting,1,good,20dB,poor,fresh,critical,0.401361,441,0.04575,1186.027,1.15823
counting,1,good,20dB,poor,fresh,normal,0.533605,491,0.044127,807.065,0.78815
counting,1,good,20dB,poor,stale,critical,0.401361,441,0.04575,1186.027,1.15823
counting,1,good,20dB,poor,stale,normal,0.533605,491,0.044127,807.065,0.78815
counting,1,medium,10dB,good,expired,critical,0.25,4,0.424352,1086.5,1.061035
counting,1,medium,10dB,good,expired,normal,0.833333,30,0.133361,803.433,0.784603
counting,1,medium,10dB,good,fresh,critical,0.25,4,0.424352,1086.5,1.061035
counting,1,medium,10dB,good,fresh,normal,0.833333,30,0.133361,803.433,0.784603
counting,1,medium,10dB,good,stale,critical,0.25,4,0.424352,1086.5,1.061035
counting,1,medium,10dB,good,stale,normal,0.833333,30,0.133361,803.433,0.784603
counting,1,medium,10dB,medium,expired,critical,0.307692,13,0.250895,1163.692,1.136418
counting,1,medium,10dB,medium,expired,normal,0.648649,37,0.153826,790.595,0.772065
counting,1,medium,10dB,medium,fresh,critical,0.307692,13,0.250895,1163.692,1.136418
counting,1,medium,10dB,medium,fresh,normal,0.648649,37,0.153826,790.595,0.772065
counting,1,medium,10dB,medium,stale,critical,0.307692,13,0.250895,1163.692,1.136418
counting,1,medium,10dB,medium,stale,normal,0.648649,37,0.153826,790.595,0.772065
counting,1,medium,10dB,poor,expired,critical,0.351474,441,0.04456,1175.995,1.148433
counting,1,medium,10dB,poor,expired,normal,0.503055,491,0.044226,796.517,0.777849
counting,1,medium,10dB,poor,fresh,critical,0.351474,441,0.04456,1175.995,1.148433
counting,1,medium,10dB,poor,fresh,normal,0.503055,491,0.044226,796.517,0.777849
counting,1,medium,10dB,poor,stale,critical,0.351474,441,0.04456,1175.995,1.148433
counting,1,medium,10dB,poor,stale,normal,0.503055,491,0.044226,796.517,0.777849
counting,1,medium,5dB,good,expired,critical,0.25,4,0.424352,1060.5,1.035645
counting,1,medium,5dB,good,expired,normal,0.866667,30,0.121644,791.9,0.77334
counting,1,medium,5dB,good,fresh,critical,0.25,4,0.424352,1060.5,1.035645
counting,1,medium,5dB,good,fresh,normal,0.866667,30,0.121644,791.9,0.77334
counting,1,medium,5dB,good,stale,critical,0.25,4,0.424352,1060.5,1.035645
counting,1,medium,5dB,good,stale,normal,0.866667,30,0.121644,791.9,0.77334
counting,1,medium,5dB,medium,expired,critical,0.538462,13,0.270998,1155.923,1.128831
counting,1,medium,5dB,medium,expired,normal,0.594595,37,0.158201,789.622,0.771115
counting,1,medium,5dB,medium,fresh,critical,0.538462,13,0.270998,1155.923,1.128831
counting,1,medium,5dB,medium,fresh,normal,0.594595,37,0.158201,789.622,0.771115
counting,1,medium,5dB,medium,stale,critical,0.538462,13,0.270998,1155.923,1.128831
counting,1,medium,5dB,medium,stale,normal,0.594595,37,0.158201,789.622,0.771115
counting,1,medium,5dB,poor,expired,critical,0.285714,441,0.042164,1152.596,1.125582
counting,1,medium,5dB,poor,expired,normal,0.488798,491,0.044216,787.006,0.768561
counting,1,medium,5dB,poor,fresh,critical,0.285714,441,0.042164,1152.596,1.125582
counting,1,medium,5dB,poor,fresh,normal,0.488798,491,0.044216,787.006,0.768561
counting,1,medium,5dB,poor,stale,critical,0.285714,441,0.042164,1152.596,1.125582
counting,1,medium,5dB,poor,stale,normal,0.488798,491,0.044216,787.006,0.768561
counting,2,bad,-5dB,good,expired,critical,0.0,4,0.0,30988.25,30.261963
counting,2,bad,-5dB,good,expired,normal,0.7,30,0.163985,31844.3,31.097949
counting,2,bad,-5dB,good,fresh,critical,0.0,4,0.0,30988.25,30.261963
counting,2,bad,-5dB,good,fresh,normal,0.7,30,0.163985,31844.3,31.097949
counting,2,bad,-5dB,good,stale,critical,0.0,4,0.0,30988.25,30.261963
counting,2,bad,-5dB,good,stale,normal,0.7,30,0.163985,31844.3,31.097949
counting,2,bad,-5dB,medium,expired,critical,0.0,13,0.0,39142.692,38.225285
counting,2,bad,-5dB,medium,expired,normal,0.513514,37,0.161052,33800.378,33.008182
counting,2,bad,-5dB,medium,fresh,critical,0.0,13,0.0,39142.692,38.225285
counting,2,bad,-5dB,medium,fresh,normal,0.513514,37,0.161052,33800.378,33.008182
counting,2,bad,-5dB,medium,stale,critical,0.0,13,0.0,39142.692,38.225285
counting,2,bad,-5dB,medium,stale,normal,0.513514,37,0.161052,33800.378,33.008182
counting,2,bad,-5dB,poor,expired,critical,0.0,441,0.0,38262.605,37.365826
counting,2,bad,-5dB,poor,expired,normal,0.462322,491,0.044101,35784.747,34.946042
counting,2,bad,-5dB,poor,fresh,critical,0.0,441,0.0,38262.605,37.365826
counting,2,bad,-5dB,poor,fresh,normal,0.462322,491,0.044101,35784.747,34.946042
counting,2,bad,-5dB,poor,stale,critical,0.0,441,0.0,38262.605,37.365826
counting,2,bad,-5dB,poor,stale,normal,0.462322,491,0.044101,35784.747,34.946042
counting,2,bad,0dB,good,expired,critical,0.0,4,0.0,46215.5,45.132324
counting,2,bad,0dB,good,expired,normal,0.733333,30,0.158245,47177.733,46.072005
counting,2,bad,0dB,good,fresh,critical,0.0,4,0.0,46215.5,45.132324
counting,2,bad,0dB,good,fresh,normal,0.733333,30,0.158245,47177.733,46.072005
counting,2,bad,0dB,good,stale,critical,0.0,4,0.0,46215.5,45.132324
counting,2,bad,0dB,good,stale,normal,0.733333,30,0.158245,47177.733,46.072005
counting,2,bad,0dB,medium,expired,critical,0.0,13,0.0,57862.462,56.50631
counting,2,bad,0dB,medium,expired,normal,0.540541,37,0.160581,50165.378,48.989627
counting,2,bad,0dB,medium,fresh,critical,0.0,13,0.0,57862.462,56.50631
counting,2,bad,0dB,medium,fresh,normal,0.540541,37,0.160581,50165.378,48.989627
counting,2,bad,0dB,medium,stale,critical,0.0,13,0.0,57862.462,56.50631
counting,2,bad,0dB,medium,stale,normal,0.540541,37,0.160581,50165.378,48.989627
counting,2,bad,0dB,poor,expired,critical,0.0,441,0.0,56728.243,55.398674
counting,2,bad,0dB,poor,expired,normal,0.478615,491,0.044186,53291.466,52.042448
counting,2,bad,0dB,poor,fresh,critical,0.0,441,0.0,56728.243,55.398674
counting,2,bad,0dB,poor,fresh,normal,0.478615,491,0.044186,53291.466,52.042448
counting,2,bad,0dB,poor,stale,critical,0.0,441,0.0,56728.243,55.398674
counting,2,bad,0dB,poor,stale,normal,0.478615,491,0.044186,53291.466,52.042448
counting,2,good,15dB,good,expired,critical,0.0,4,0.0,118651.25,115.870361
counting,2,good,15dB,good,expired,normal,0.7,30,0.163985,116392.0,113.664062
counting,2,good,15dB,good,fresh,critical,0.0,4,0.0,118651.25,115.870361
counting,2,good,15dB,good,fresh,normal,0.7,30,0.163985,116392.0,113.664062
counting,2,good,15dB,good,stale,critical,0.0,4,0.0,118651.25,115.870361
counting,2,good,15dB,good,stale,normal,0.7,30,0.163985,116392.0,113.664062
counting,2,good,15dB,medium,expired,critical,0.0,13,0.0,140360.154,137.070463
counting,2,good,15dB,medium,expired,normal,0.594595,37,0.158201,121059.568,118.222234
counting,2,good,15dB,medium,fresh,critical,0.0,13,0.0,140360.154,137.070463
counting,2,good,15dB,medium,fresh,normal,0.594595,37,0.158201,121059.568,118.222234
counting,2,good,15dB,medium,stale,critical,0.0,13,0.0,140360.154,137.070463
counting,2,good,15dB,medium,stale,normal,0.594595,37,0.158201,121059.568,118.222234
counting,2,good,15dB,poor,expired,critical,0.0,441,0.0,134895.073,131.733469
counting,2,good,15dB,poor,expired,normal,0.482688,491,0.0442,127209.092,124.227629
counting,2,good,15dB,poor,fresh,critical,0.0,441,0.0,134895.073,131.733469
counting,2,good,15dB,poor,fresh,normal,0.482688,491,0.0442,127209.092,124.227629
counting,2,good,15dB,poor,stale,critical,0.0,441,0.0,134895.073,131.733469
counting,2,good,15dB,poor,stale,normal,0.482688,491,0.0442,127209.092,124.227629
counting,2,good,20dB,good,expired,critical,0.0,4,0.0,165779.25,161.893799
counting,2,good,20dB,good,expired,normal,0.7,30,0.163985,157697.833,154.00179
counting,2,good,20dB,good,fresh,critical,0.0,4,0.0,165779.25,161.893799
counting,2,good,20dB,good,fresh,normal,0.7,30,0.163985,157697.833,154.00179
counting,2,good,20dB,good,stale,critical,0.0,4,0.0,165779.25,161.893799
counting,2,good,20dB,good,stale,normal,0.7,30,0.163985,157697.833,154.00179
counting,2,good,20dB,medium,expired,critical,0.0,13,0.0,195679.462,191.093224
counting,2,good,20dB,medium,expired,normal,0.594595,37,0.158201,168199.135,164.256968
counting,2,good,20dB,medium,fresh,critical,0.0,13,0.0,195679.462,191.093224
counting,2,good,20dB,medium,fresh,normal,0.594595,37,0.158201,168199.135,164.256968
counting,2,good,20dB,medium,stale,critical,0.0,13,0.0,195679.462,191.093224
counting,2,good,20dB,medium,stale,normal,0.594595,37,0.158201,168199.135,164.256968
counting,2,good,20dB,poor,expired,critical,0.0,441,0.0,188636.363,184.215198
counting,2,good,20dB,poor,expired,normal,0.490835,491,0.044219,179324.874,175.121947
counting,2,good,20dB,poor,fresh,critical,0.0,441,0.0,188636.363,184.215198
counting,2,good,20dB,poor,fresh,normal,0.490835,491,0.044219,179324.874,175.121947
counting,2,good,20dB,poor,stale,critical,0.0,441,0.0,188636.363,184.215198
counting,2,good,20dB,poor,stale,normal,0.490835,491,0.044219,179324.874,175.121947
counting,2,medium,10dB,good,expired,critical,0.0,4,0.0,83683.5,81.722168
counting,2,medium,10dB,good,expired,normal,0.7,30,0.163985,84845.233,82.856673
counting,2,medium,10dB,good,fresh,critical,0.0,4,0.0,83683.5,81.722168
counting,2,medium,10dB,good,fresh,normal,0.7,30,0.163985,84845.233,82.856673
counting,2,medium,10dB,good,stale,critical,0.0,4,0.0,83683.5,81.722168
counting,2,medium,10dB,good,stale,normal,0.7,30,0.163985,84845.233,82.856673
counting,2,medium,10dB,medium,expired,critical,0.0,13,0.0,101729.154,99.344877
counting,2,medium,10dB,medium,expired,normal,0.594595,37,0.158201,88297.0,86.227539
counting,2,medium,10dB,medium,fresh,critical,0.0,13,0.0,101729.154,99.344877
counting,2,medium,10dB,medium,fresh,normal,0.594595,37,0.158201,88297.0,86.227539
counting,2,medium,10dB,medium,stale,critical,0.0,13,0.0,101729.154,99.344877
counting,2,medium,10dB,medium,stale,normal,0.594595,37,0.158201,88297.0,86.227539
counting,2,medium,10dB,poor,expired,critical,0.0,441,0.0,98512.426,96.203541
counting,2,medium,10dB,poor,expired,normal,0.486762,491,0.044211,92769.544,90.595258
counting,2,medium,10dB,poor,fresh,critical,0.0,441,0.0,98512.426,96.203541
counting,2,medium,10dB,poor,fresh,normal,0.486762,491,0.044211,92769.544,90.595258
counting,2,medium,10dB,poor,stale,critical,0.0,441,0.0,98512.426,96.203541
counting,2,medium,10dB,poor,stale,normal,0.486762,491,0.044211,92769.544,90.595258
counting,2,medium,5dB,good,expired,critical,0.0,4,0.0,60854.25,59.427979
counting,2,medium,5dB,good,expired,normal,0.7,30,0.163985,61574.3,60.131152
counting,2,medium,5dB,good,fresh,critical,0.0,4,0.0,60854.25,59.427979
counting,2,medium,5dB,good,fresh,normal,0.7,30,0.163985,61574.3,60.131152
counting,2,medium,5dB,good,stale,critical,0.0,4,0.0,60854.25,59.427979
counting,2,medium,5dB,good,stale,normal,0.7,30,0.163985,61574.3,60.131152
counting,2,medium,5dB,medium,expired,critical,0.0,13,0.0,75005.923,73.247972
counting,2,medium,5dB,medium,expired,normal,0.540541,37,0.160581,64971.757,63.448981
counting,2,medium,5dB,medium,fresh,critical,0.0,13,0.0,75005.923,73.247972
counting,2,medium,5dB,medium,fresh,normal,0.540541,37,0.160581,64971.757,63.448981
counting,2,medium,5dB,medium,stale,critical,0.0,13,0.0,75005.923,73.247972
counting,2,medium,5dB,medium,stale,normal,0.540541,37,0.160581,64971.757,63.448981
counting,2,medium,5dB,poor,expired,critical,0.0,441,0.0,73351.546,71.63237
counting,2,medium,5dB,poor,expired,normal,0.482688,491,0.0442,69021.399,67.40371
counting,2,medium,5dB,poor,fresh,critical,0.0,441,0.0,73351.546,71.63237
counting,2,medium,5dB,poor,fresh,normal,0.482688,491,0.0442,69021.399,67.40371
counting,2,medium,5dB,poor,stale,critical,0.0,441,0.0,73351.546,71.63237
counting,2,medium,5dB,poor,stale,normal,0.482688,491,0.0442,69021.399,67.40371
presence,0,bad,-5dB,good,expired,critical,0.25,4,0.424352,0.0,0.0
presence,0,bad,-5dB,good,expired,normal,0.34375,64,0.116365,0.0,0.0
presence,0,bad,-5dB,good,fresh,critical,0.5,4,0.49,0.0,0.0
presence,0,bad,-5dB,good,fresh,normal,0.671875,64,0.115035,0.0,0.0
presence,0,bad,-5dB,good,stale,critical,0.0,4,0.0,0.0,0.0
presence,0,bad,-5dB,good,stale,normal,0.46875,64,0.122261,0.0,0.0
presence,0,bad,-5dB,medium,expired,critical,0.230769,13,0.229035,0.0,0.0
presence,0,bad,-5dB,medium,expired,normal,0.390805,87,0.102531,0.0,0.0
presence,0,bad,-5dB,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
presence,0,bad,-5dB,medium,fresh,normal,0.758621,87,0.089921,0.0,0.0
