question_type,service_level,channel_bin,snr_bin,view_quality_bin,freshness_bin,risk_level,sample_count,accuracy_mean,accuracy_ci_low,accuracy_ci_high,accuracy_lcb,payload_kb,uncertainty,raw_accuracy_mean,raw_accuracy_ci_low,raw_accuracy_ci_high,raw_payload_kb,payload_bytes,calibration_note
counting,0,bad,0dB,good,fresh,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,medium,5dB,good,fresh,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,medium,10dB,good,fresh,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,good,15dB,good,fresh,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,good,20dB,good,fresh,critical,4,0.5,0.314271,0.685729,0.314271,0.0,0.735729,0.5,0.150036,0.849964,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,bad,-5dB,good,fresh,normal,30,0.566667,0.493628,0.63692,0.493628,0.0,0.25422,0.566667,0.39197,0.726228,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,good,fresh,normal,30,0.566667,0.493628,0.63692,0.493628,0.0,0.25422,0.566667,0.39197,0.726228,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,good,fresh,normal,30,0.566667,0.493628,0.63692,0.493628,0.0,0.25422,0.566667,0.39197,0.726228,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,good,fresh,normal,30,0.566667,0.493628,0.63692,0.493628,0.0,0.25422,0.566667,0.39197,0.726228,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,good,fresh,normal,30,0.566667,0.493628,0.63692,0.493628,0.0,0.25422,0.566667,0.39197,0.726228,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,good,fresh,normal,30,0.566667,0.493628,0.63692,0.493628,0.0,0.25422,0.566667,0.39197,0.726228,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,good,stale,critical,4,0.25,0.119992,0.448998,0.119992,0.0,0.714503,0.25,0.045586,0.699364,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,bad,0dB,good,stale,critical,4,0.25,0.119992,0.448998,0.119992,0.0,0.714503,0.25,0.045586,0.699364,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,medium,5dB,good,stale,critical,4,0.25,0.119992,0.448998,0.119992,0.0,0.714503,0.25,0.045586,0.699364,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,medium,10dB,good,stale,critical,4,0.25,0.119992,0.448998,0.119992,0.0,0.714503,0.25,0.045586,0.699364,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,good,15dB,good,stale,critical,4,0.25,0.119992,0.448998,0.119992,0.0,0.714503,0.25,0.045586,0.699364,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,good,20dB,good,stale,critical,4,0.25,0.119992,0.448998,0.119992,0.0,0.714503,0.25,0.045586,0.699364,0.0,0.0,cache_snr_invariant;sparse_cell
counting,0,bad,-5dB,good,stale,normal,30,0.466667,0.395243,0.539484,0.395243,0.0,0.254694,0.466667,0.302321,0.63858,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,good,stale,normal,30,0.466667,0.395243,0.539484,0.395243,0.0,0.254694,0.466667,0.302321,0.63858,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,good,stale,normal,30,0.466667,0.395243,0.539484,0.395243,0.0,0.254694,0.466667,0.302321,0.63858,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,good,stale,normal,30,0.466667,0.395243,0.539484,0.395243,0.0,0.254694,0.466667,0.302321,0.63858,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,good,stale,normal,30,0.466667,0.395243,0.539484,0.395243,0.0,0.254694,0.466667,0.302321,0.63858,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,good,stale,normal,30,0.466667,0.395243,0.539484,0.395243,0.0,0.254694,0.466667,0.302321,0.63858,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,medium,expired,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,medium,expired,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,medium,expired,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,medium,expired,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,medium,expired,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,medium,expired,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,medium,expired,normal,37,0.432432,0.368958,0.498205,0.368958,0.0,0.229023,0.432432,0.286715,0.590861,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,medium,expired,normal,37,0.432432,0.368958,0.498205,0.368958,0.0,0.229023,0.432432,0.286715,0.590861,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,medium,expired,normal,37,0.432432,0.368958,0.498205,0.368958,0.0,0.229023,0.432432,0.286715,0.590861,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,medium,expired,normal,37,0.432432,0.368958,0.498205,0.368958,0.0,0.229023,0.432432,0.286715,0.590861,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,medium,expired,normal,37,0.432432,0.368958,0.498205,0.368958,0.0,0.229023,0.432432,0.286715,0.590861,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,medium,expired,normal,37,0.432432,0.368958,0.498205,0.368958,0.0,0.229023,0.432432,0.286715,0.590861,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,medium,fresh,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,medium,fresh,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,medium,fresh,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,medium,fresh,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,medium,fresh,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,medium,fresh,critical,13,0.615385,0.504426,0.715512,0.504426,0.0,0.382893,0.615385,0.355225,0.822906,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,medium,fresh,normal,37,0.567568,0.501795,0.631042,0.501795,0.0,0.229023,0.567568,0.409139,0.713285,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,medium,fresh,normal,37,0.567568,0.501795,0.631042,0.501795,0.0,0.229023,0.567568,0.409139,0.713285,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,medium,fresh,normal,37,0.567568,0.501795,0.631042,0.501795,0.0,0.229023,0.567568,0.409139,0.713285,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,medium,fresh,normal,37,0.567568,0.501795,0.631042,0.501795,0.0,0.229023,0.567568,0.409139,0.713285,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,medium,fresh,normal,37,0.567568,0.501795,0.631042,0.501795,0.0,0.229023,0.567568,0.409139,0.713285,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,medium,fresh,normal,37,0.567568,0.501795,0.631042,0.501795,0.0,0.229023,0.567568,0.409139,0.713285,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,medium,stale,critical,13,0.846154,0.750065,0.909746,0.750065,0.0,0.35719,0.846154,0.577648,0.956743,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,medium,stale,critical,13,0.846154,0.750065,0.909746,0.750065,0.0,0.35719,0.846154,0.577648,0.956743,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,medium,stale,critical,13,0.846154,0.750065,0.909746,0.750065,0.0,0.35719,0.846154,0.577648,0.956743,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,medium,stale,critical,13,0.846154,0.750065,0.909746,0.750065,0.0,0.35719,0.846154,0.577648,0.956743,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,medium,stale,critical,13,0.846154,0.750065,0.909746,0.750065,0.0,0.35719,0.846154,0.577648,0.956743,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,medium,stale,critical,13,0.846154,0.750065,0.909746,0.750065,0.0,0.35719,0.846154,0.577648,0.956743,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,medium,stale,normal,37,0.648649,0.583806,0.708435,0.583806,0.0,0.226713,0.648649,0.487587,0.781746,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,medium,stale,normal,37,0.648649,0.583806,0.708435,0.583806,0.0,0.226713,0.648649,0.487587,0.781746,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,medium,stale,normal,37,0.648649,0.583806,0.708435,0.583806,0.0,0.226713,0.648649,0.487587,0.781746,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,medium,stale,normal,37,0.648649,0.583806,0.708435,0.583806,0.0,0.226713,0.648649,0.487587,0.781746,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,medium,stale,normal,37,0.648649,0.583806,0.708435,0.583806,0.0,0.226713,0.648649,0.487587,0.781746,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,medium,stale,normal,37,0.648649,0.583806,0.708435,0.583806,0.0,0.226713,0.648649,0.487587,0.781746,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,poor,expired,critical,441,0.861678,0.847998,0.874309,0.847998,0.0,0.060775,0.861678,0.82632,0.890789,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,poor,expired,critical,441,0.861678,0.847998,0.874309,0.847998,0.0,0.060775,0.861678,0.82632,0.890789,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,poor,expired,critical,441,0.861678,0.847998,0.874309,0.847998,0.0,0.060775,0.861678,0.82632,0.890789,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,poor,expired,critical,441,0.861678,0.847998,0.874309,0.847998,0.0,0.060775,0.861678,0.82632,0.890789,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,poor,expired,critical,441,0.861678,0.847998,0.874309,0.847998,0.0,0.060775,0.861678,0.82632,0.890789,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,poor,expired,critical,441,0.861678,0.847998,0.874309,0.847998,0.0,0.060775,0.861678,0.82632,0.890789,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,poor,expired,normal,491,0.313646,0.297143,0.330634,0.297143,0.0,0.061875,0.313646,0.274186,0.355998,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,poor,expired,normal,491,0.313646,0.297143,0.330634,0.297143,0.0,0.061875,0.313646,0.274186,0.355998,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,poor,expired,normal,491,0.313646,0.297143,0.330634,0.297143,0.0,0.061875,0.313646,0.274186,0.355998,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,poor,expired,normal,491,0.313646,0.297143,0.330634,0.297143,0.0,0.061875,0.313646,0.274186,0.355998,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,poor,expired,normal,491,0.313646,0.297143,0.330634,0.297143,0.0,0.061875,0.313646,0.274186,0.355998,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,poor,expired,normal,491,0.313646,0.297143,0.330634,0.297143,0.0,0.061875,0.313646,0.274186,0.355998,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,poor,fresh,critical,441,0.922902,0.912114,0.932464,0.912114,0.0,0.057794,0.922902,0.894194,0.944307,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,poor,fresh,critical,441,0.922902,0.912114,0.932464,0.912114,0.0,0.057794,0.922902,0.894194,0.944307,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,poor,fresh,critical,441,0.922902,0.912114,0.932464,0.912114,0.0,0.057794,0.922902,0.894194,0.944307,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,poor,fresh,critical,441,0.922902,0.912114,0.932464,0.912114,0.0,0.057794,0.922902,0.894194,0.944307,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,poor,fresh,critical,441,0.922902,0.912114,0.932464,0.912114,0.0,0.057794,0.922902,0.894194,0.944307,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,poor,fresh,critical,441,0.922902,0.912114,0.932464,0.912114,0.0,0.057794,0.922902,0.894194,0.944307,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,poor,fresh,normal,491,0.608961,0.591208,0.62643,0.591208,0.0,0.06274,0.608961,0.565111,0.65112,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,poor,fresh,normal,491,0.608961,0.591208,0.62643,0.591208,0.0,0.06274,0.608961,0.565111,0.65112,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,poor,fresh,normal,491,0.608961,0.591208,0.62643,0.591208,0.0,0.06274,0.608961,0.565111,0.65112,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,poor,fresh,normal,491,0.608961,0.591208,0.62643,0.591208,0.0,0.06274,0.608961,0.565111,0.65112,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,poor,fresh,normal,491,0.608961,0.591208,0.62643,0.591208,0.0,0.06274,0.608961,0.565111,0.65112,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,poor,fresh,normal,491,0.608961,0.591208,0.62643,0.591208,0.0,0.06274,0.608961,0.565111,0.65112,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,poor,stale,critical,441,0.902494,0.8906,0.91322,0.8906,0.0,0.058929,0.902494,0.871233,0.926804,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,poor,stale,critical,441,0.902494,0.8906,0.91322,0.8906,0.0,0.058929,0.902494,0.871233,0.926804,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,poor,stale,critical,441,0.902494,0.8906,0.91322,0.8906,0.0,0.058929,0.902494,0.871233,0.926804,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,poor,stale,critical,441,0.902494,0.8906,0.91322,0.8906,0.0,0.058929,0.902494,0.871233,0.926804,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,poor,stale,critical,441,0.902494,0.8906,0.91322,0.8906,0.0,0.058929,0.902494,0.871233,0.926804,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,poor,stale,critical,441,0.902494,0.8906,0.91322,0.8906,0.0,0.058929,0.902494,0.871233,0.926804,0.0,0.0,cache_snr_invariant
counting,0,bad,-5dB,poor,stale,normal,491,0.448065,0.430186,0.466079,0.430186,0.0,0.063076,0.448065,0.40465,0.492287,0.0,0.0,cache_snr_invariant
counting,0,bad,0dB,poor,stale,normal,491,0.448065,0.430186,0.466079,0.430186,0.0,0.063076,0.448065,0.40465,0.492287,0.0,0.0,cache_snr_invariant
counting,0,medium,5dB,poor,stale,normal,491,0.448065,0.430186,0.466079,0.430186,0.0,0.063076,0.448065,0.40465,0.492287,0.0,0.0,cache_snr_invariant
counting,0,medium,10dB,poor,stale,normal,491,0.448065,0.430186,0.466079,0.430186,0.0,0.063076,0.448065,0.40465,0.492287,0.0,0.0,cache_snr_invariant
counting,0,good,15dB,poor,stale,normal,491,0.448065,0.430186,0.466079,0.430186,0.0,0.063076,0.448065,0.40465,0.492287,0.0,0.0,cache_snr_invariant
counting,0,good,20dB,poor,stale,normal,491,0.448065,0.430186,0.466079,0.430186,0.0,0.063076,0.448065,0.40465,0.492287,0.0,0.0,cache_snr_invariant
counting,1,bad,-5dB,good,expired,critical,4,0.75,0.300636,0.954414,0.300636,0.881348,0.876889,0.75,0.300636,0.954414,0.881348,902.5,raw;sparse_cell
counting,1,bad,0dB,good,expired,critical,4,0.75,0.300636,0.849964,0.300636,0.987549,0.824664,0.5,0.150036,0.849964,0.987549,1011.25,snr_monotonic_adjusted;sparse_cell
counting,1,medium,5dB,good,expired,critical,4,0.75,0.300636,0.75,0.300636,1.035645,0.774682,0.25,0.045586,0.699364,1.035645,1060.5,snr_monotonic_adjusted;sparse_cell
counting,1,medium,10dB,good,expired,critical,4,0.75,0.300636,0.75,0.300636,1.061035,0.774682,0.25,0.045586,0.699364,1.061035,1086.5,snr_monotonic_adjusted;sparse_cell
counting,1,good,15dB,good,expired,critical,4,0.75,0.300636,0.954414,0.300636,1.136963,0.876889,0.75,0.300636,0.954414,1.136963,1164.25,raw;sparse_cell
counting,1,good,20dB,good,expired,critical,4,0.75,0.300636,0.954414,0.300636,1.156738,0.876889,0.75,0.300636,0.954414,1.156738,1184.5,raw;sparse_cell
counting,1,bad,-5dB,good,expired,normal,30,0.666667,0.487797,0.807697,0.487797,0.725846,0.342524,0.666667,0.487797,0.807697,0.725846,743.266,raw
counting,1,bad,0dB,good,expired,normal,30,0.8,0.62694,0.90495,0.62694,0.736263,0.321579,0.8,0.62694,0.90495,0.736263,753.933,raw
counting,1,medium,5dB,good,expired,normal,30,0.866667,0.703183,0.946904,0.703183,0.77334,0.304435,0.866667,0.703183,0.946904,0.77334,791.9,raw
counting,1,medium,10dB,good,expired,normal,30,0.866667,0.703183,0.926636,0.703183,0.784603,0.294301,0.833333,0.664353,0.926636,0.784603,803.433,snr_monotonic_adjusted
counting,1,good,15dB,good,expired,normal,30,0.866667,0.703183,0.946904,0.703183,0.777083,0.304435,0.866667,0.703183,0.946904,0.777083,795.733,raw
counting,1,good,20dB,good,expired,normal,30,0.9,0.743786,0.965401,0.743786,0.79515,0.293382,0.9,0.743786,0.965401,0.79515,814.234,raw
counting,1,bad,-5dB,good,fresh,critical,4,0.75,0.300636,0.954414,0.300636,0.881348,0.876889,0.75,0.300636,0.954414,0.881348,902.5,raw;sparse_cell
counting,1,bad,0dB,good,fresh,critical,4,0.75,0.300636,0.849964,0.300636,0.987549,0.824664,0.5,0.150036,0.849964,0.987549,1011.25,snr_monotonic_adjusted;sparse_cell
counting,1,medium,5dB,good,fresh,critical,4,0.75,0.300636,0.75,0.300636,1.035645,0.774682,0.25,0.045586,0.699364,1.035645,1060.5,snr_monotonic_adjusted;sparse_cell
counting,1,medium,10dB,good,fresh,critical,4,0.75,0.300636,0.75,0.300636,1.061035,0.774682,0.25,0.045586,0.699364,1.061035,1086.5,snr_monotonic_adjusted;sparse_cell
counting,1,good,15dB,good,fresh,critical,4,0.75,0.300636,0.954414,0.300636,1.136963,0.876889,0.75,0.300636,0.954414,1.136963,1164.25,raw;sparse_cell
counting,1,good,20dB,good,fresh,critical,4,0.75,0.300636,0.954414,0.300636,1.156738,0.876889,0.75,0.300636,0.954414,1.156738,1184.5,raw;sparse_cell
counting,1,bad,-5dB,good,fresh,normal,30,0.666667,0.487797,0.807697,0.487797,0.725846,0.342524,0.666667,0.487797,0.807697,0.725846,743.266,raw
counting,1,bad,0dB,good,fresh,normal,30,0.8,0.62694,0.90495,0.62694,0.736263,0.321579,0.8,0.62694,0.90495,0.736263,753.933,raw
counting,1,medium,5dB,good,fresh,normal,30,0.866667,0.703183,0.946904,0.703183,0.77334,0.304435,0.866667,0.703183,0.946904,0.77334,791.9,raw
counting,1,medium,10dB,good,fresh,normal,30,0.866667,0.703183,0.926636,0.703183,0.784603,0.294301,0.833333,0.664353,0.926636,0.784603,803.433,snr_monotonic_adjusted
counting,1,good,15dB,good,fresh,normal,30,0.866667,0.703183,0.946904,0.703183,0.777083,0.304435,0.866667,0.703183,0.946904,0.777083,795.733,raw
counting,1,good,20dB,good,fresh,normal,30,0.9,0.743786,0.965401,0.743786,0.79515,0.293382,0.9,0.743786,0.965401,0.79515,814.234,raw
counting,1,bad,-5dB,good,stale,critical,4,0.75,0.300636,0.954414,0.300636,0.881348,0.876889,0.75,0.300636,0.954414,0.881348,902.5,raw;sparse_cell
counting,1,bad,0dB,good,stale,critical,4,0.75,0.300636,0.849964,0.300636,0.987549,0.824664,0.5,0.150036,0.849964,0.987549,1011.25,snr_monotonic_adjusted;sparse_cell
counting,1,medium,5dB,good,stale,critical,4,0.75,0.300636,0.75,0.300636,1.035645,0.774682,0.25,0.045586,0.699364,1.035645,1060.5,snr_monotonic_adjusted;sparse_cell
counting,1,medium,10dB,good,stale,critical,4,0.75,0.300636,0.75,0.300636,1.061035,0.774682,0.25,0.045586,0.699364,1.061035,1086.5,snr_monotonic_adjusted;sparse_cell
counting,1,good,15dB,good,stale,critical,4,0.75,0.300636,0.954414,0.300636,1.136963,0.876889,0.75,0.300636,0.954414,1.136963,1164.25,raw;sparse_cell
counting,1,good,20dB,good,stale,critical,4,0.75,0.300636,0.954414,0.300636,1.156738,0.876889,0.75,0.300636,0.954414,1.156738,1184.5,raw;sparse_cell
counting,1,bad,-5dB,good,stale,normal,30,0.666667,0.487797,0.807697,0.487797,0.725846,0.342524,0.666667,0.487797,0.807697,0.725846,743.266,raw
counting,1,bad,0dB,good,stale,normal,30,0.8,0.62694,0.90495,0.62694,0.736263,0.321579,0.8,0.62694,0.90495,0.736263,753.933,raw
counting,1,medium,5dB,good,stale,normal,30,0.866667,0.703183,0.946904,0.703183,0.77334,0.304435,0.866667,0.703183,0.946904,0.77334,791.9,raw
counting,1,medium,10dB,good,stale,normal,30,0.866667,0.703183,0.926636,0.703183,0.784603,0.294301,0.833333,0.664353,0.926636,0.784603,803.433,snr_monotonic_adjusted
counting,1,good,15dB,good,stale,normal,30,0.866667,0.703183,0.946904,0.703183,0.777083,0.304435,0.866667,0.703183,0.946904,0.777083,795.733,raw
counting,1,good,20dB,good,stale,normal,30,0.9,0.743786,0.965401,0.743786,0.79515,0.293382,0.9,0.743786,0.965401,0.79515,814.234,raw
counting,1,bad,-5dB,medium,expired,critical,13,0.076923,0.01371,0.333145,0.01371,1.035382,0.437068,0.076923,0.01371,0.333145,1.035382,1060.231,raw
counting,1,bad,0dB,medium,expired,critical,13,0.230769,0.081794,0.502569,0.081794,1.084585,0.487738,0.230769,0.081794,0.502569,1.084585,1110.615,raw
counting,1,medium,5dB,medium,expired,critical,13,0.538462,0.291434,0.767942,0.291434,1.128831,0.515604,0.538462,0.291434,0.767942,1.128831,1155.923,raw
counting,1,medium,10dB,medium,expired,critical,13,0.538462,0.291434,0.576311,0.291434,1.136418,0.419789,0.307692,0.126805,0.576311,1.136418,1163.692,snr_monotonic_adjusted
counting,1,good,15dB,medium,expired,critical,13,0.615385,0.355225,0.822906,0.355225,1.173302,0.511191,0.615385,0.355225,0.822906,1.173302,1201.461,raw
counting,1,good,20dB,medium,expired,critical,13,0.615385,0.355225,0.708566,0.355225,1.188401,0.454021,0.461538,0.232058,0.708566,1.188401,1216.923,snr_monotonic_adjusted
counting,1,bad,-5dB,medium,expired,normal,37,0.432432,0.286715,0.590861,0.286715,0.727275,0.316472,0.432432,0.286715,0.590861,0.727275,744.73,raw
counting,1,bad,0dB,medium,expired,normal,37,0.486486,0.334462,0.641054,0.334462,0.757918,0.317695,0.486486,0.334462,0.641054,0.757918,776.108,raw
counting,1,medium,5dB,medium,expired,normal,37,0.594595,0.434857,0.736537,0.434857,0.771115,0.315239,0.594595,0.434857,0.736537,0.771115,789.622,raw
counting,1,medium,10dB,medium,expired,normal,37,0.648649,0.487587,0.781746,0.487587,0.772065,0.311478,0.648649,0.487587,0.781746,0.772065,790.595,raw
counting,1,good,15dB,medium,expired,normal,37,0.72973,0.570215,0.846027,0.570215,0.788904,0.302305,0.72973,0.570215,0.846027,0.788904,807.838,raw
counting,1,good,20dB,medium,expired,normal,37,0.72973,0.570215,0.846027,0.570215,0.795872,0.302305,0.72973,0.570215,0.846027,0.795872,814.973,raw
counting,1,bad,-5dB,medium,fresh,critical,13,0.076923,0.01371,0.333145,0.01371,1.035382,0.437068,0.076923,0.01371,0.333145,1.035382,1060.231,raw
counting,1,bad,0dB,medium,fresh,critical,13,0.230769,0.081794,0.502569,0.081794,1.084585,0.487738,0.230769,0.081794,0.502569,1.084585,1110.615,raw
counting,1,medium,5dB,medium,fresh,critical,13,0.538462,0.291434,0.767942,0.291434,1.128831,0.515604,0.538462,0.291434,0.767942,1.128831,1155.923,raw
counting,1,medium,10dB,medium,fresh,critical,13,0.538462,0.291434,0.576311,0.291434,1.136418,0.419789,0.307692,0.126805,0.576311,1.136418,1163.692,snr_monotonic_adjusted
