question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci
counting,1,bad,poor,expired,normal,1.0,1,0.0
counting,1,bad,poor,fresh,normal,1.0,1,0.0
counting,1,bad,poor,stale,normal,1.0,1,0.0
counting,1,good,good,expired,critical,1.0,2,0.0
counting,1,good,good,expired,normal,0.0,1,0.0
counting,1,good,good,fresh,critical,1.0,2,0.0
counting,1,good,good,fresh,normal,0.0,1,0.0
counting,1,good,good,stale,critical,1.0,2,0.0
counting,1,good,good,stale,normal,0.0,1,0.0
counting,1,good,medium,expired,critical,1.0,1,0.0
counting,1,good,medium,expired,normal,0.0,1,0.0
counting,1,good,medium,fresh,critical,1.0,1,0.0
counting,1,good,medium,fresh,normal,0.0,1,0.0
counting,1,good,medium,stale,critical,1.0,1,0.0
counting,1,good,medium,stale,normal,0.0,1,0.0
counting,1,good,poor,expired,normal,0.0,1,0.0
counting,1,good,poor,fresh,normal,0.0,1,0.0
counting,1,good,poor,stale,normal,0.0,1,0.0
counting,1,medium,good,expired,critical,1.0,2,0.0
counting,1,medium,good,expired,normal,1.0,1,0.0
counting,1,medium,good,fresh,critical,1.0,2,0.0
counting,1,medium,good,fresh,normal,1.0,1,0.0
counting,1,medium,good,stale,critical,1.0,2,0.0
counting,1,medium,good,stale,normal,1.0,1,0.0
counting,1,medium,medium,expired,critical,1.0,1,0.0
counting,1,medium,medium,expired,normal,1.0,1,0.0
counting,1,medium,medium,fresh,critical,1.0,1,0.0
counting,1,medium,medium,fresh,normal,1.0,1,0.0
counting,1,medium,medium,stale,critical,1.0,1,0.0
counting,1,medium,medium,stale,normal,1.0,1,0.0
counting,1,medium,poor,expired,normal,1.0,1,0.0
counting,1,medium,poor,fresh,normal,1.0,1,0.0
counting,1,medium,poor,stale,normal,1.0,1,0.0
counting,2,bad,good,expired,critical,1.0,2,0.0
counting,2,bad,good,expired,normal,0.0,1,0.0
counting,2,bad,good,fresh,critical,1.0,2,0.0
counting,2,bad,good,fresh,normal,0.0,1,0.0
counting,2,bad,good,stale,critical,1.0,2,0.0
counting,2,bad,good,stale,normal,0.0,1,0.0
counting,2,bad,medium,expired,critical,1.0,1,0.0
counting,2,bad,medium,expired,normal,0.0,1,0.0
counting,2,bad,medium,fresh,critical,1.0,1,0.0
counting,2,bad,medium,fresh,normal,0.0,1,0.0
counting,2,bad,medium,stale,critical,1.0,1,0.0
counting,2,bad,medium,stale,normal,0.0,1,0.0
counting,2,bad,poor,expired,normal,1.0,1,0.0
counting,2,bad,poor,fresh,normal,1.0,1,0.0
counting,2,bad,poor,stale,normal,1.0,1,0.0
counting,2,good,good,expired,critical,1.0,2,0.0
counting,2,good,good,expired,normal,1.0,1,0.0
counting,2,good,good,fresh,critical,1.0,2,0.0
counting,2,good,good,fresh,normal,1.0,1,0.0
counting,2,good,good,stale,critical,1.0,2,0.0
counting,2,good,good,stale,normal,1.0,1,0.0
counting,2,good,medium,expired,critical,1.0,1,0.0
counting,2,good,medium,expired,normal,1.0,1,0.0
counting,2,good,medium,fresh,critical,1.0,1,0.0
counting,2,good,medium,fresh,normal,1.0,1,0.0
counting,2,good,medium,stale,critical,1.0,1,0.0
counting,2,good,medium,stale,normal,1.0,1,0.0
counting,2,good,poor,expired,normal,1.0,1,0.0
counting,2,good,poor,fresh,normal,1.0,1,0.0
counting,2,good,poor,stale,normal,1.0,1,0.0
counting,2,medium,good,expired,critical,1.0,2,0.0
counting,2,medium,good,expired,normal,1.0,1,0.0
counting,2,medium,good,fresh,critical,1.0,2,0.0
counting,2,medium,good,fresh,normal,1.0,1,0.0
counting,2,medium,good,stale,critical,1.0,2,0.0
counting,2,medium,good,stale,normal,1.0,1,0.0
counting,2,medium,medium,expired,critical,1.0,1,0.0
counting,2,medium,medium,expired,normal,1.0,1,0.0
counting,2,medium,medium,fresh,critical,1.0,1,0.0
counting,2,medium,medium,fresh,normal,1.0,1,0.0
counting,2,medium,medium,stale,critical,1.0,1,0.0
counting,2,medium,medium,stale,normal,1.0,1,0.0
counting,2,medium,poor,expired,normal,1.0,1,0.0
counting,2,medium,poor,fresh,normal,1.0,1,0.0
counting,2,medium,poor,stale,normal,1.0,1,0.0
presence,0,bad,good,expired,critical,0.333333,3,0.533444
presence,0,bad,good,expired,normal,0.5,2,0.692965
presence,0,bad,good,fresh,critical,0.666667,3,0.533444
presence,0,bad,good,fresh,normal,0.5,2,0.692965
presence,0,bad,good,stale,critical,1.0,3,0.0
presence,0,bad,good,stale,normal,0.0,2,0.0
presence,0,bad,medium,expired,critical,0.333333,3,0.533444
presence,0,bad,medium,expired,normal,0.666667,3,0.533444
presence,0,bad,medium,fresh,critical,0.666667,3,0.533444
presence,0,bad,medium,fresh,normal,0.333333,3,0.533444
presence,0,bad,medium,stale,critical,1.0,3,0.0
presence,0,bad,medium,stale,normal,0.666667,3,0.533444
presence,0,bad,poor,expired,normal,0.666667,3,0.533444
presence,0,bad,poor,fresh,normal,0.666667,3,0.533444
presence,0,bad,poor,stale,normal,0.0,3,0.0
presence,0,good,good,expired,critical,0.333333,3,0.533444
presence,0,good,good,expired,normal,0.0,2,0.0
presence,0,good,good,fresh,critical,0.333333,3,0.533444
presence,0,good,good,fresh,normal,0.0,2,0.0
presence,0,good,good,stale,critical,0.333333,3,0.533444
presence,0,good,good,stale,normal,0.5,2,0.692965
presence,0,good,medium,expired,critical,0.666667,3,0.533444
presence,0,good,medium,expired,normal,0.0,3,0.0
presence,0,good,medium,fresh,critical,0.666667,3,0.533444
presence,0,good,medium,fresh,normal,0.666667,3,0.533444
presence,0,good,medium,stale,critical,1.0,3,0.0
presence,0,good,medium,stale,normal,0.666667,3,0.533444
presence,0,good,poor,expired,normal,0.333333,3,0.533444
presence,0,good,poor,fresh,normal,1.0,3,0.0
presence,0,good,poor,stale,normal,0.333333,3,0.533444
presence,0,medium,good,expired,critical,0.666667,3,0.533444
presence,0,medium,good,expired,normal,0.5,2,0.692965
presence,0,medium,good,fresh,critical,1.0,3,0.0
presence,0,medium,good,fresh,normal,0.5,2,0.692965
presence,0,medium,good,stale,critical,0.666667,3,0.533444
presence,0,medium,good,stale,normal,0.5,2,0.692965
presence,0,medium,medium,expired,critical,1.0,3,0.0
presence,0,medium,medium,expired,normal,0.0,3,0.0
presence,0,medium,medium,fresh,critical,0.666667,3,0.533444
presence,0,medium,medium,fresh,normal,0.666667,3,0.533444
presence,0,medium,medium,stale,critical,0.0,3,0.0
presence,0,medium,medium,stale,normal,0.666667,3,0.533444
presence,0,medium,poor,expired,normal,0.333333,3,0.533444
presence,0,medium,poor,fresh,normal,1.0,3,0.0
presence,0,medium,poor,stale,normal,0.333333,3,0.533444
presence,1,bad,good,expired,critical,0.666667,3,0.533444
presence,1,bad,good,expired,normal,1.0,2,0.0
presence,1,bad,good,fresh,critical,0.666667,3,0.533444
presence,1,bad,good,fresh,normal,1.0,2,0.0
presence,1,bad,good,stale,critical,0.666667,3,0.533444
presence,1,bad,good,stale,normal,1.0,2,0.0
presence,1,bad,medium,expired,critical,1.0,3,0.0
presence,1,bad,medium,expired,normal,0.333333,3,0.533444
presence,1,bad,medium,fresh,critical,1.0,3,0.0
presence,1,bad,medium,fresh,normal,0.333333,3,0.533444
presence,1,bad,medium,stale,critical,1.0,3,0.0
presence,1,bad,medium,stale,normal,0.333333,3,0.533444
presence,1,bad,poor,expired,normal,0.666667,3,0.533444
presence,1,bad,poor,fresh,normal,0.666667,3,0.533444
presence,1,bad,poor,stale,normal,0.666667,3,0.533444
presence,1,good,good,expired,critical,1.0,3,0.0
presence,1,good,good,expired,normal,1.0,2,0.0
presence,1,good,good,fresh,critical,1.0,3,0.0
presence,1,good,good,fresh,normal,1.0,2,0.0
presence,1,good,good,stale,critical,1.0,3,0.0
presence,1,good,good,stale,normal,1.0,2,0.0
presence,1,good,medium,expired,critical,1.0,3,0.0
presence,1,good,medium,expired,normal,0.666667,3,0.533444
presence,1,good,medium,fresh,critical,1.0,3,0.0
presence,1,good,medium,fresh,normal,0.666667,3,0.533444
presence,1,good,medium,stale,critical,1.0,3,0.0
presence,1,good,medium,stale,normal,0.666667,3,0.533444
presence,1,good,poor,expired,normal,1.0,3,0.0
presence,1,good,poor,fresh,normal,1.0,3,0.0
presence,1,good,poor,stale,normal,1.0,3,0.0
presence,1,medium,good,expired,critical,0.666667,3,0.533444
presence,1,medium,good,expired,normal,1.0,2,0.0
presence,1,medium,good,fresh,critical,0.666667,3,0.533444
presence,1,medium,good,fresh,normal,1.0,2,0.0
presence,1,medium,good,stale,critical,0.666667,3,0.533444
presence,1,medium,good,stale,normal,1.0,2,0.0
presence,1,medium,medium,expired,critical,1.0,3,0.0
presence,1,medium,medium,expired,normal,0.666667,3,0.533444
presence,1,medium,medium,fresh,critical,1.0,3,0.0
presence,1,medium,medium,fresh,normal,0.666667,3,0.533444
presence,1,medium,medium,stale,critical,1.0,3,0.0
presence,1,medium,medium,stale,normal,0.666667,3,0.533444
presence,1,medium,poor,expired,normal,1.0,3,0.0
presence,1,medium,poor,fresh,normal,1.0,3,0.0
presence,1,medium,poor,stale,normal,1.0,3,0.0
presence,2,bad,good,expired,critical,0.666667,3,0.533444
presence,2,bad,good,expired,normal,1.0,2,0.0
presence,2,bad,good,fresh,critical,0.666667,3,0.533444
presence,2,bad,good,fresh,normal,1.0,2,0.0
presence,2,bad,good,stale,critical,0.666667,3,0.533444
presence,2,bad,good,stale,normal,1.0,2,0.0
presence,2,bad,medium,expired,critical,0.666667,3,0.533444
presence,2,bad,medium,expired,normal,0.333333,3,0.533444
presence,2,bad,medium,fresh,critical,0.666667,3,0.533444
presence,2,bad,medium,fresh,normal,0.333333,3,0.533444
presence,2,bad,medium,stale,critical,0.666667,3,0.533444
presence,2,bad,medium,stale,normal,0.333333,3,0.533444
presence,2,bad,poor,expired,normal,1.0,3,0.0
presence,2,bad,poor,fresh,normal,1.0,3,0.0
presence,2,bad,poor,stale,normal,1.0,3,0.0
presence,2,good,good,expired,critical,1.0,3,0.0
presence,2,good,good,expired,normal,1.0,2,0.0
presence,2,good,good,fresh,critical,1.0,3,0.0
presence,2,good,good,fresh,normal,1.0,2,0.0
presence,2,good,good,stale,critical,1.0,3,0.0
presence,2,good,good,stale,normal,1.0,2,0.0
presence,2,good,medium,expired,critical,1.0,3,0.0
presence,2,good,medium,expired,normal,1.0,3,0.0
presence,2,good,medium,fresh,critical,1.0,3,0.0
presence,2,good,medium,fresh,normal,1.0,3,0.0
presence,2,good,medium,stale,critical,1.0,3,0.0
presence,2,good,medium,stale,normal,1.0,3,0.0
presence,2,good,poor,expired,normal,1.0,3,0.0
presence,2,good,poor,fresh,normal,1.0,3,0.0
presence,2,good,poor,stale,normal,1.0,3,0.0
presence,2,medium,good,expired,critical,1.0,3,0.0
presence,2,medium,good,expired,normal,0.5,2,0.692965
presence,2,medium,good,fresh,critical,1.0,3,0.0
presence,2,medium,good,fresh,normal,0.5,2,0.692965
presence,2,medium,good,stale,critical,1.0,3,0.0
presence,2,medium,good,stale,normal,0.5,2,0.692965
presence,2,medium,medium,expired,critical,0.666667,3,0.533444
presence,2,medium,medium,expired,normal,1.0,3,0.0
presence,2,medium,medium,fresh,critical,0.666667,3,0.533444
presence,2,medium,medium,fresh,normal,1.0,3,0.0
presence,2,medium,medium,stale,critical,0.666667,3,0.533444
presence,2,medium,medium,stale,normal,1.0,3,0.0
presence,2,medium,poor,expired,normal,0.666667,3,0.533444
presence,2,medium,poor,fresh,normal,0.666667,3,0.533444
presence,2,medium,poor,stale,normal,0.666667,3,0.533444
