threshold,group,value,samples,accuracy,raw_accuracy,mean_payload_kb,mean_gt_count,mean_raw_count,mean_calibrated_count
0.25,target_class,tricycle,6,0.500000,0.500000,0.707682,2.500000,0.500000,0.500000
0.25,target_class,truck,15,0.333333,0.333333,0.718490,3.600000,0.866667,1.266667
0.30,channel_bin,bad,2973,0.542886,0.515641,0.796844,8.837201,3.161453,5.755802
0.30,channel_bin,good,2973,0.616885,0.614194,0.843164,8.837201,6.872519,7.231416
0.30,channel_bin,medium,2973,0.603767,0.602085,0.836788,8.837201,6.172553,6.554322
0.30,gt_count_bin,1,654,0.987768,0.987768,0.720702,1.000000,0.318043,0.318043
0.30,gt_count_bin,2-3,492,0.274390,0.296748,0.736806,2.420732,0.760163,0.908537
0.30,gt_count_bin,4-9,528,0.145833,0.147727,0.811651,6.210227,2.583333,3.958333
0.30,gt_count_bin,>=10,1374,0.280932,0.203785,1.106012,29.951965,19.711790,26.346434
0.30,overall,all,8919,0.587846,0.577307,0.825598,8.837201,5.402175,6.513847
0.30,presence_polarity,negative,2628,0.940259,0.940259,0.710729,0.000000,0.078387,0.078387
0.30,presence_polarity,positive,3243,0.471169,0.471169,0.836774,10.034228,5.842121,5.842121
0.30,question_type,counting,3048,0.408136,0.377297,0.912749,15.183071,9.524278,12.777231
0.30,question_type,presence,5871,0.681145,0.681145,0.780353,5.542667,3.262136,3.262136
0.30,target_class,awning-tricycle,591,0.560068,0.560068,0.729304,2.436548,0.209814,0.209814
0.30,target_class,bus,369,0.693767,0.693767,0.736611,1.959350,0.815718,0.815718
0.30,target_class,car,1320,0.343939,0.286364,1.103680,27.822727,19.720455,24.986364
0.30,target_class,motor,570,0.192982,0.170175,0.784754,8.005263,2.087719,5.121053
0.30,target_class,pedestrian,159,0.477987,0.446541,0.926457,16.792453,8.547170,16.276730
0.30,target_class,people,18,0.500000,0.500000,0.708984,4.833333,0.500000,0.500000
0.30,target_class,tricycle,6,0.500000,0.500000,0.707682,2.500000,0.500000,0.500000
0.30,target_class,truck,15,0.333333,0.333333,0.716667,3.600000,0.866667,1.266667
