channel,method,snr_db,qtype,split,accuracy,n,lcb,ucb,mean_payload_bytes,mean_channel_uses,cbr
rician,M1_image,15.0,presence,test,0.8159,239,0.7619,0.8599,138814.0,234012.4,0.081173
rician,M1_image,15.0,counting,test,0.435,177,0.3641,0.5087,142224.6,239761.9,0.083167
rician,M1_image,15.0,comparison,test,0.7857,56,0.6618,0.8729,148522.7,250379.2,0.08685
rician,M1_image,15.0,co_presence,test,0.6807,119,0.5924,0.7577,139430.9,235052.3,0.081534
rician,M1_image,15.0,threshold,test,0.4454,119,0.3592,0.535,139430.9,235052.3,0.081534
rician,M1_image,20.0,all,test,0.6352,710,0.5992,0.6698,140753.2,177210.1,0.06147
rician,M1_image,20.0,presence,test,0.8117,239,0.7574,0.8562,138912.8,174893.0,0.060666
rician,M1_image,20.0,counting,test,0.435,177,0.3641,0.5087,142357.9,179230.5,0.06217
rician,M1_image,20.0,comparison,test,0.7857,56,0.6618,0.8729,148733.4,187257.3,0.064955
rician,M1_image,20.0,co_presence,test,0.6723,119,0.5837,0.7501,139530.1,175670.2,0.060935
rician,M1_image,20.0,threshold,test,0.4706,119,0.3832,0.5598,139530.1,175670.2,0.060935
rician,M3_token,-5.0,all,test,0.7239,710,0.6899,0.7556,858.8,13740.9,0.004766
rician,M3_token,-5.0,presence,test,0.8117,239,0.7574,0.8562,801.3,12820.6,0.004447
rician,M3_token,-5.0,counting,test,0.6271,177,0.5539,0.695,856.9,13710.9,0.004756
rician,M3_token,-5.0,comparison,test,0.9107,56,0.8074,0.9613,850.6,13609.1,0.004721
rician,M3_token,-5.0,co_presence,test,0.7479,119,0.663,0.8173,920.9,14734.5,0.005111
rician,M3_token,-5.0,threshold,test,0.5798,119,0.49,0.6647,918.9,14702.5,0.0051
rician,M3_token,0.0,all,test,0.7225,710,0.6885,0.7542,858.9,13742.5,0.004767
rician,M3_token,0.0,presence,test,0.8117,239,0.7574,0.8562,801.4,12822.3,0.004448
rician,M3_token,0.0,counting,test,0.6215,177,0.5481,0.6896,857.0,13712.3,0.004756
rician,M3_token,0.0,comparison,test,0.9107,56,0.8074,0.9613,850.6,13609.7,0.004721
rician,M3_token,0.0,co_presence,test,0.7479,119,0.663,0.8173,921.0,14736.3,0.005112
rician,M3_token,0.0,threshold,test,0.5798,119,0.49,0.6647,919.0,14704.3,0.005101
rician,M3_token,5.0,all,test,0.7254,710,0.6914,0.7569,859.0,13743.3,0.004767
rician,M3_token,5.0,presence,test,0.8117,239,0.7574,0.8562,801.4,12822.2,0.004448
rician,M3_token,5.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M3_token,5.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M3_token,5.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M3_token,5.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M3_token,10.0,all,test,0.7254,710,0.6914,0.7569,859.0,13743.3,0.004767
rician,M3_token,10.0,presence,test,0.8117,239,0.7574,0.8562,801.4,12822.2,0.004448
rician,M3_token,10.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M3_token,10.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M3_token,10.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M3_token,10.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M3_token,15.0,all,test,0.7254,710,0.6914,0.7569,859.0,13743.3,0.004767
rician,M3_token,15.0,presence,test,0.8117,239,0.7574,0.8562,801.4,12822.2,0.004448
rician,M3_token,15.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M3_token,15.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M3_token,15.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M3_token,15.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M3_token,20.0,all,test,0.7254,710,0.6914,0.7569,859.0,13743.3,0.004767
rician,M3_token,20.0,presence,test,0.8117,239,0.7574,0.8562,801.4,12822.2,0.004448
rician,M3_token,20.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M3_token,20.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M3_token,20.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M3_token,20.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M4_adaptive,-5.0,all,test,0.7352,710,0.7016,0.7663,23158.1,481350.6,0.166968
rician,M4_adaptive,-5.0,presence,test,0.8452,239,0.7939,0.8856,67046.1,1401953.9,0.486302
rician,M4_adaptive,-5.0,counting,test,0.6271,177,0.5539,0.695,856.9,13710.9,0.004756
rician,M4_adaptive,-5.0,comparison,test,0.9107,56,0.8074,0.9613,850.6,13609.1,0.004721
rician,M4_adaptive,-5.0,co_presence,test,0.7479,119,0.663,0.8173,920.9,14734.5,0.005111
rician,M4_adaptive,-5.0,threshold,test,0.5798,119,0.49,0.6647,918.9,14702.5,0.0051
rician,M4_adaptive,0.0,all,test,0.7282,710,0.6943,0.7596,26114.8,226774.7,0.078662
rician,M4_adaptive,0.0,presence,test,0.8285,239,0.7756,0.871,75829.4,645679.5,0.22397
rician,M4_adaptive,0.0,counting,test,0.6215,177,0.5481,0.6896,857.0,13712.3,0.004756
rician,M4_adaptive,0.0,comparison,test,0.9107,56,0.8074,0.9613,850.6,13609.7,0.004721
rician,M4_adaptive,0.0,co_presence,test,0.7479,119,0.663,0.8173,921.0,14736.3,0.005112
rician,M4_adaptive,0.0,threshold,test,0.5798,119,0.49,0.6647,919.0,14704.3,0.005101
rician,M4_adaptive,5.0,all,test,0.7324,710,0.6986,0.7636,39272.7,171603.5,0.059525
rician,M4_adaptive,5.0,presence,test,0.8326,239,0.7801,0.8746,114917.6,481779.2,0.167117
rician,M4_adaptive,5.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M4_adaptive,5.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M4_adaptive,5.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M4_adaptive,5.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M4_adaptive,10.0,all,test,0.7282,710,0.6943,0.7596,45521.8,120848.3,0.041919
rician,M4_adaptive,10.0,presence,test,0.8201,239,0.7664,0.8636,133481.7,331000.0,0.114815
rician,M4_adaptive,10.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M4_adaptive,10.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M4_adaptive,10.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M4_adaptive,10.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M4_adaptive,15.0,all,test,0.7268,710,0.6928,0.7583,47316.7,88200.3,0.030594
rician,M4_adaptive,15.0,presence,test,0.8159,239,0.7619,0.8599,138814.0,234012.4,0.081173
rician,M4_adaptive,15.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M4_adaptive,15.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M4_adaptive,15.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M4_adaptive,15.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M4_adaptive,20.0,all,test,0.7254,710,0.6914,0.7569,859.0,13743.3,0.004767
rician,M4_adaptive,20.0,presence,test,0.8117,239,0.7574,0.8562,801.4,12822.2,0.004448
rician,M4_adaptive,20.0,counting,test,0.6271,177,0.5539,0.695,857.1,13713.1,0.004757
rician,M4_adaptive,20.0,comparison,test,0.9107,56,0.8074,0.9613,850.4,13606.0,0.00472
rician,M4_adaptive,20.0,co_presence,test,0.7479,119,0.663,0.8173,921.2,14739.2,0.005113
rician,M4_adaptive,20.0,threshold,test,0.5882,119,0.4984,0.6726,919.2,14707.2,0.005102
rician,M5_oracle,-5.0,all,test,0.8085,710,0.7779,0.8357,6694.2,136091.7,0.047207
rician,M5_oracle,-5.0,presence,test,0.9079,239,0.8646,0.9384,7959.8,162843.7,0.056486
rician,M5_oracle,-5.0,counting,test,0.678,177,0.606,0.7424,3714.6,73652.7,0.025548
rician,M5_oracle,-5.0,comparison,test,0.9643,56,0.8788,0.9902,4159.7,83006.9,0.028793
rician,M5_oracle,-5.0,co_presence,test,0.8571,119,0.7831,0.9089,8633.2,176499.9,0.061223
rician,M5_oracle,-5.0,threshold,test,0.6807,119,0.5924,0.7577,7837.9,159807.6,0.055433
rician,M5_oracle,0.0,all,test,0.8028,710,0.772,0.8304,6869.1,64457.8,0.022359
rician,M5_oracle,0.0,presence,test,0.8954,239,0.8501,0.9281,7021.6,65351.1,0.022669
rician,M5_oracle,0.0,counting,test,0.678,177,0.606,0.7424,5061.0,49202.1,0.017067
rician,M5_oracle,0.0,comparison,test,0.9464,56,0.8539,0.9816,3551.2,36409.3,0.012629
rician,M5_oracle,0.0,co_presence,test,0.8403,119,0.764,0.8953,7845.7,73091.3,0.025353
rician,M5_oracle,0.0,threshold,test,0.6975,119,0.6098,0.7728,9836.6,89920.5,0.031191
rician,M5_oracle,5.0,all,test,0.8099,710,0.7794,0.837,10412.8,53035.2,0.018397
rician,M5_oracle,5.0,presence,test,0.8996,239,0.8549,0.9316,10488.8,52718.5,0.018287
rician,M5_oracle,5.0,counting,test,0.6949,177,0.6235,0.758,8545.0,45358.8,0.015734
rician,M5_oracle,5.0,comparison,test,0.9464,56,0.8539,0.9816,4951.3,30489.5,0.010576
rician,M5_oracle,5.0,co_presence,test,0.8403,119,0.764,0.8953,11448.7,57915.9,0.02009
rician,M5_oracle,5.0,threshold,test,0.7059,119,0.6186,0.7803,14572.7,70817.8,0.024565
rician,M5_oracle,10.0,all,test,0.807,710,0.7764,0.8344,11670.0,39705.8,0.013773
rician,M5_oracle,10.0,presence,test,0.8996,239,0.8549,0.9316,12158.8,40161.3,0.013931
rician,M5_oracle,10.0,counting,test,0.6836,177,0.6118,0.7476,8355.7,31753.3,0.011014
rician,M5_oracle,10.0,comparison,test,0.9464,56,0.8539,0.9816,5493.6,24765.8,0.008591
rician,M5_oracle,10.0,co_presence,test,0.8487,119,0.7735,0.9021,14536.7,47306.4,0.016409
rician,M5_oracle,10.0,threshold,test,0.6975,119,0.6098,0.7728,15657.6,50049.2,0.017361
rician,M5_oracle,15.0,all,test,0.8042,710,0.7734,0.8317,11759.2,31260.3,0.010843
rician,M5_oracle,15.0,presence,test,0.8912,239,0.8454,0.9247,11447.9,29983.9,0.010401
rician,M5_oracle,15.0,counting,test,0.6836,177,0.6118,0.7476,8780.3,26483.0,0.009186
rician,M5_oracle,15.0,comparison,test,0.9464,56,0.8539,0.9816,5794.0,21564.9,0.00748
rician,M5_oracle,15.0,co_presence,test,0.8487,119,0.7735,0.9021,15166.8,37488.6,0.013004
rician,M5_oracle,15.0,threshold,test,0.6975,119,0.6098,0.7728,16214.7,39263.9,0.01362
rician,M5_oracle,20.0,all,test,0.8056,710,0.7749,0.8331,11995.6,26854.7,0.009315
rician,M5_oracle,20.0,presence,test,0.887,239,0.8406,0.9212,10824.9,24677.4,0.00856
rician,M5_oracle,20.0,counting,test,0.6836,177,0.6118,0.7476,8780.3,23084.0,0.008007
rician,M5_oracle,20.0,comparison,test,0.9464,56,0.8539,0.9816,5794.0,19443.9,0.006745
rician,M5_oracle,20.0,co_presence,test,0.8571,119,0.7831,0.9089,16735.1,33196.8,0.011515
rician,M5_oracle,20.0,threshold,test,0.7059,119,0.6186,0.7803,17308.2,33981.8,0.011787
rician,M2_analog,-5.0,all,test,0.4792,624,0.4402,0.5184,0.0,300000.0,0.104062
rician,M2_analog,-5.0,presence,test,0.5976,410,0.5494,0.6439,0.0,300000.0,0.104062
rician,M2_analog,-5.0,counting,test,0.2523,214,0.1989,0.3145,0.0,300000.0,0.104062
rician,M2_analog,0.0,all,test,0.524,624,0.4848,0.563,0.0,300000.0,0.104062
rician,M2_analog,0.0,presence,test,0.6634,410,0.6163,0.7075,0.0,300000.0,0.104062
rician,M2_analog,0.0,counting,test,0.257,214,0.2031,0.3195,0.0,300000.0,0.104062
rician,M2_analog,5.0,all,test,0.5545,624,0.5153,0.593,0.0,300000.0,0.104062
rician,M2_analog,5.0,presence,test,0.7122,410,0.6666,0.7539,0.0,300000.0,0.104062
rician,M2_analog,5.0,counting,test,0.2523,214,0.1989,0.3145,0.0,300000.0,0.104062
rician,M2_analog,10.0,all,test,0.5913,624,0.5523,0.6292,0.0,300000.0,0.104062
rician,M2_analog,10.0,presence,test,0.7537,410,0.7097,0.7929,0.0,300000.0,0.104062
rician,M2_analog,10.0,counting,test,0.2804,214,0.2245,0.344,0.0,300000.0,0.104062
rician,M2_analog,15.0,all,test,0.5946,624,0.5556,0.6324,0.0,300000.0,0.104062
rician,M2_analog,15.0,presence,test,0.7634,410,0.72,0.802,0.0,300000.0,0.104062
rician,M2_analog,15.0,counting,test,0.271,214,0.2159,0.3342,0.0,300000.0,0.104062
rician,M2_analog,20.0,all,test,0.5946,624,0.5556,0.6324,0.0,300000.0,0.104062
rician,M2_analog,20.0,presence,test,0.7537,410,0.7097,0.7929,0.0,300000.0,0.104062
rician,M2_analog,20.0,counting,test,0.2897,214,0.2331,0.3538,0.0,300000.0,0.104062
rician,M0_naive,-5.0,all,test,0.3686,1872,0.347,0.3907,16692.6,5320572.9,1.845569
rician,M0_naive,-5.0,presence,test,0.4488,1230,0.4212,0.4767,16728.7,5323500.2,1.846585
rician,M0_naive,-5.0,counting,test,0.215,642,0.1849,0.2484,16623.4,5314964.6,1.843624
rician,M0_naive,0.0,all,test,0.5449,1872,0.5222,0.5673,112036.9,5320572.9,1.845569
rician,M0_naive,0.0,presence,test,0.7122,1230,0.6863,0.7368,112078.2,5323500.2,1.846585
rician,M0_naive,0.0,counting,test,0.2243,642,0.1937,0.2582,111957.8,5314964.6,1.843624
rician,M0_naive,5.0,all,test,0.6122,1872,0.5899,0.634,283723.7,5320572.9,1.845569
rician,M0_naive,5.0,presence,test,0.7878,1230,0.7641,0.8097,283771.7,5323500.2,1.846585
rician,M0_naive,5.0,counting,test,0.2757,642,0.2425,0.3115,283631.7,5314964.6,1.843624
rician,M0_naive,10.0,all,test,0.5978,1872,0.5754,0.6197,324852.9,5320572.9,1.845569
rician,M0_naive,10.0,presence,test,0.7561,1230,0.7313,0.7793,325028.4,5323500.2,1.846585
rician,M0_naive,10.0,counting,test,0.2944,642,0.2604,0.3308,324516.6,5314964.6,1.843624
rician,M0_naive,15.0,all,test,0.6074,1872,0.5851,0.6293,331129.3,5320572.9,1.845569
rician,M0_naive,15.0,presence,test,0.7732,1230,0.7489,0.7957,331315.1,5323500.2,1.846585
rician,M0_naive,15.0,counting,test,0.2897,642,0.256,0.326,330773.3,5314964.6,1.843624
rician,M0_naive,20.0,all,test,0.6106,1872,0.5883,0.6324,332407.3,5320572.9,1.845569
rician,M0_naive,20.0,presence,test,0.778,1230,0.754,0.8004,332593.5,5323500.2,1.846585
rician,M0_naive,20.0,counting,test,0.2897,642,0.256,0.326,332050.5,5314964.6,1.843624
