channel,t_budget,snr_db,qtype,accuracy,n,mean_tokens_sent,mean_payload_bytes,mean_channel_uses
rician,3,5.0,threshold,0.5865,104,3.0,742.1,11874.2
rician,4,-5.0,all,0.5095,526,3.99,761.0,12176.0
rician,4,-5.0,co_presence,0.5962,104,3.99,761.3,12181.1
rician,4,-5.0,comparison,0.8173,104,3.99,767.7,12282.8
rician,4,-5.0,counting,0.2804,214,3.99,758.4,12134.7
rician,4,-5.0,threshold,0.5865,104,3.99,759.3,12149.1
rician,4,0.0,all,0.5095,526,3.99,760.9,12175.0
rician,4,0.0,co_presence,0.5962,104,3.99,761.4,12182.8
rician,4,0.0,comparison,0.8173,104,3.99,767.4,12277.8
rician,4,0.0,counting,0.2804,214,3.99,758.3,12133.1
rician,4,0.0,threshold,0.5865,104,3.99,759.4,12150.8
rician,4,10.0,all,0.5095,526,3.99,761.0,12176.0
rician,4,10.0,co_presence,0.5962,104,3.99,761.3,12181.1
rician,4,10.0,comparison,0.8173,104,3.99,767.7,12282.8
rician,4,10.0,counting,0.2804,214,3.99,758.4,12134.7
rician,4,10.0,threshold,0.5865,104,3.99,759.3,12149.1
rician,4,15.0,all,0.5095,526,3.99,761.0,12176.0
rician,4,15.0,co_presence,0.5962,104,3.99,761.3,12181.1
rician,4,15.0,comparison,0.8173,104,3.99,767.7,12282.8
rician,4,15.0,counting,0.2804,214,3.99,758.4,12134.7
rician,4,15.0,threshold,0.5865,104,3.99,759.3,12149.1
rician,4,20.0,all,0.5095,526,3.99,761.0,12176.0
rician,4,20.0,co_presence,0.5962,104,3.99,761.3,12181.1
rician,4,20.0,comparison,0.8173,104,3.99,767.7,12282.8
rician,4,20.0,counting,0.2804,214,3.99,758.4,12134.7
rician,4,20.0,threshold,0.5865,104,3.99,759.3,12149.1
rician,4,5.0,all,0.5095,526,3.99,761.0,12176.0
rician,4,5.0,co_presence,0.5962,104,3.99,761.3,12181.1
rician,4,5.0,comparison,0.8173,104,3.99,767.7,12282.8
rician,4,5.0,counting,0.2804,214,3.99,758.4,12134.7
rician,4,5.0,threshold,0.5865,104,3.99,759.3,12149.1
rician,6,-5.0,all,0.5076,526,5.96,795.5,12728.1
rician,6,-5.0,co_presence,0.6058,104,5.96,793.9,12702.6
rician,6,-5.0,comparison,0.8077,104,5.96,808.0,12928.8
rician,6,-5.0,counting,0.2757,214,5.96,791.9,12671.0
rician,6,-5.0,threshold,0.5865,104,5.96,791.9,12670.6
rician,6,0.0,all,0.5076,526,5.96,795.4,12727.2
rician,6,0.0,co_presence,0.6058,104,5.96,794.0,12704.3
rician,6,0.0,comparison,0.8077,104,5.96,807.7,12923.8
rician,6,0.0,counting,0.2757,214,5.96,791.8,12669.4
rician,6,0.0,threshold,0.5865,104,5.96,792.0,12672.3
rician,6,10.0,all,0.5076,526,5.96,795.5,12728.1
rician,6,10.0,co_presence,0.6058,104,5.96,793.9,12702.6
rician,6,10.0,comparison,0.8077,104,5.96,808.0,12928.8
rician,6,10.0,counting,0.2757,214,5.96,791.9,12671.0
rician,6,10.0,threshold,0.5865,104,5.96,791.9,12670.6
rician,6,15.0,all,0.5076,526,5.96,795.5,12728.1
rician,6,15.0,co_presence,0.6058,104,5.96,793.9,12702.6
rician,6,15.0,comparison,0.8077,104,5.96,808.0,12928.8
rician,6,15.0,counting,0.2757,214,5.96,791.9,12671.0
rician,6,15.0,threshold,0.5865,104,5.96,791.9,12670.6
rician,6,20.0,all,0.5076,526,5.96,795.5,12728.1
rician,6,20.0,co_presence,0.6058,104,5.96,793.9,12702.6
rician,6,20.0,comparison,0.8077,104,5.96,808.0,12928.8
rician,6,20.0,counting,0.2757,214,5.96,791.9,12671.0
rician,6,20.0,threshold,0.5865,104,5.96,791.9,12670.6
rician,6,5.0,all,0.5076,526,5.96,795.5,12728.1
rician,6,5.0,co_presence,0.6058,104,5.96,793.9,12702.6
rician,6,5.0,comparison,0.8077,104,5.96,808.0,12928.8
rician,6,5.0,counting,0.2757,214,5.96,791.9,12671.0
rician,6,5.0,threshold,0.5865,104,5.96,791.9,12670.6
rician,8,-5.0,all,0.5247,526,7.89,829.0,13263.5
rician,8,-5.0,co_presence,0.625,104,7.88,826.7,13227.8
rician,8,-5.0,comparison,0.8269,104,7.88,844.9,13518.0
rician,8,-5.0,counting,0.2944,214,7.89,824.4,13189.9
rician,8,-5.0,threshold,0.5962,104,7.88,824.7,13195.8
rician,8,0.0,all,0.5247,526,7.89,829.3,13268.3
rician,8,0.0,co_presence,0.625,104,7.88,827.3,13236.8
rician,8,0.0,comparison,0.8269,104,7.88,845.0,13520.5
rician,8,0.0,counting,0.2944,214,7.89,824.5,13191.9
rician,8,0.0,threshold,0.5962,104,7.88,825.3,13204.8
rician,8,10.0,all,0.5247,526,7.89,829.3,13269.2
rician,8,10.0,co_presence,0.625,104,7.88,827.2,13235.1
rician,8,10.0,comparison,0.8269,104,7.88,845.3,13525.2
rician,8,10.0,counting,0.2944,214,7.89,824.6,13193.4
rician,8,10.0,threshold,0.5962,104,7.88,825.2,13203.1
rician,8,15.0,all,0.5247,526,7.89,829.3,13269.2
rician,8,15.0,co_presence,0.625,104,7.88,827.2,13235.1
rician,8,15.0,comparison,0.8269,104,7.88,845.3,13525.2
rician,8,15.0,counting,0.2944,214,7.89,824.6,13193.4
rician,8,15.0,threshold,0.5962,104,7.88,825.2,13203.1
rician,8,20.0,all,0.5247,526,7.89,829.3,13269.2
rician,8,20.0,co_presence,0.625,104,7.88,827.2,13235.1
rician,8,20.0,comparison,0.8269,104,7.88,845.3,13525.2
rician,8,20.0,counting,0.2944,214,7.89,824.6,13193.4
rician,8,20.0,threshold,0.5962,104,7.88,825.2,13203.1
rician,8,5.0,all,0.5247,526,7.89,829.3,13269.2
rician,8,5.0,co_presence,0.625,104,7.88,827.2,13235.1
rician,8,5.0,comparison,0.8269,104,7.88,845.3,13525.2
rician,8,5.0,counting,0.2944,214,7.89,824.6,13193.4
rician,8,5.0,threshold,0.5962,104,7.88,825.2,13203.1
rician,12,-5.0,all,0.5532,526,11.6,892.2,14275.3
rician,12,-5.0,co_presence,0.6635,104,11.6,883.3,14133.2
rician,12,-5.0,comparison,0.8269,104,11.6,922.1,14754.2
rician,12,-5.0,counting,0.3271,214,11.61,887.3,14196.3
rician,12,-5.0,threshold,0.6346,104,11.6,881.3,14101.2
rician,12,0.0,all,0.5551,526,11.6,892.5,14280.4
rician,12,0.0,co_presence,0.6635,104,11.6,883.9,14142.5
rician,12,0.0,comparison,0.8269,104,11.6,922.3,14756.9
rician,12,0.0,counting,0.3318,214,11.61,887.4,14198.5
rician,12,0.0,threshold,0.6346,104,11.6,881.9,14110.5
rician,12,10.0,all,0.5551,526,11.6,892.6,14281.3
rician,12,10.0,co_presence,0.6635,104,11.6,883.8,14140.8
rician,12,10.0,comparison,0.8269,104,11.6,922.6,14761.7
rician,12,10.0,counting,0.3318,214,11.61,887.5,14200.0
rician,12,10.0,threshold,0.6346,104,11.6,881.8,14108.8
rician,12,15.0,all,0.5551,526,11.6,892.6,14281.3
rician,12,15.0,co_presence,0.6635,104,11.6,883.8,14140.8
rician,12,15.0,comparison,0.8269,104,11.6,922.6,14761.7
rician,12,15.0,counting,0.3318,214,11.61,887.5,14200.0
rician,12,15.0,threshold,0.6346,104,11.6,881.8,14108.8
rician,12,20.0,all,0.5551,526,11.6,892.6,14281.3
rician,12,20.0,co_presence,0.6635,104,11.6,883.8,14140.8
rician,12,20.0,comparison,0.8269,104,11.6,922.6,14761.7
rician,12,20.0,counting,0.3318,214,11.61,887.5,14200.0
rician,12,20.0,threshold,0.6346,104,11.6,881.8,14108.8
rician,12,5.0,all,0.5551,526,11.6,892.6,14281.3
rician,12,5.0,co_presence,0.6635,104,11.6,883.8,14140.8
rician,12,5.0,comparison,0.8269,104,11.6,922.6,14761.7
rician,12,5.0,counting,0.3318,214,11.61,887.5,14200.0
rician,12,5.0,threshold,0.6346,104,11.6,881.8,14108.8
rician,16,-5.0,all,0.5703,526,15.13,917.0,14672.1
rician,16,-5.0,co_presence,0.6731,104,15.12,906.3,14501.1
rician,16,-5.0,comparison,0.8269,104,15.12,952.6,15242.2
rician,16,-5.0,counting,0.3598,214,15.14,911.0,14576.7
rician,16,-5.0,threshold,0.6442,104,15.12,904.3,14469.1
rician,16,0.0,all,0.5684,526,15.13,917.2,14675.2
rician,16,0.0,co_presence,0.6731,104,15.12,906.4,14502.9
rician,16,0.0,comparison,0.8269,104,15.12,952.8,15244.0
rician,16,0.0,counting,0.3551,214,15.14,911.4,14581.7
rician,16,0.0,threshold,0.6442,104,15.12,904.4,14470.9
rician,16,10.0,all,0.5703,526,15.13,917.1,14673.5
rician,16,10.0,co_presence,0.6731,104,15.12,906.3,14501.2
rician,16,10.0,comparison,0.8269,104,15.12,952.6,15242.3
rician,16,10.0,counting,0.3598,214,15.14,911.3,14580.0
rician,16,10.0,threshold,0.6442,104,15.12,904.3,14469.2
rician,16,15.0,all,0.5703,526,15.13,917.1,14673.5
rician,16,15.0,co_presence,0.6731,104,15.12,906.3,14501.2
rician,16,15.0,comparison,0.8269,104,15.12,952.6,15242.3
rician,16,15.0,counting,0.3598,214,15.14,911.3,14580.0
rician,16,15.0,threshold,0.6442,104,15.12,904.3,14469.2
rician,16,20.0,all,0.5703,526,15.13,917.1,14673.5
rician,16,20.0,co_presence,0.6731,104,15.12,906.3,14501.2
rician,16,20.0,comparison,0.8269,104,15.12,952.6,15242.3
rician,16,20.0,counting,0.3598,214,15.14,911.3,14580.0
rician,16,20.0,threshold,0.6442,104,15.12,904.3,14469.2
rician,16,5.0,all,0.5703,526,15.13,917.1,14673.5
rician,16,5.0,co_presence,0.6731,104,15.12,906.3,14501.2
rician,16,5.0,comparison,0.8269,104,15.12,952.6,15242.3
rician,16,5.0,counting,0.3598,214,15.14,911.3,14580.0
rician,16,5.0,threshold,0.6442,104,15.12,904.3,14469.2
rician,24,-5.0,all,0.5684,526,21.52,940.1,15041.2
rician,24,-5.0,co_presence,0.6827,104,21.49,922.6,14761.4
rician,24,-5.0,comparison,0.8462,104,21.49,991.1,15857.1
rician,24,-5.0,counting,0.3364,214,21.56,933.3,14932.1
rician,24,-5.0,threshold,0.6538,104,21.49,920.6,14729.4
rician,24,0.0,all,0.5684,526,21.52,940.2,15042.9
rician,24,0.0,co_presence,0.6827,104,21.49,922.7,14763.1
rician,24,0.0,comparison,0.8462,104,21.49,991.2,15858.8
rician,24,0.0,counting,0.3364,214,21.56,933.4,14933.8
rician,24,0.0,threshold,0.6538,104,21.49,920.7,14731.1
rician,24,10.0,all,0.5684,526,21.52,940.1,15041.2
rician,24,10.0,co_presence,0.6827,104,21.49,922.6,14761.4
rician,24,10.0,comparison,0.8462,104,21.49,991.1,15857.1
rician,24,10.0,counting,0.3364,214,21.56,933.3,14932.2
rician,24,10.0,threshold,0.6538,104,21.49,920.6,14729.4
rician,24,15.0,all,0.5684,526,21.52,940.1,15041.2
rician,24,15.0,co_presence,0.6827,104,21.49,922.6,14761.4
rician,24,15.0,comparison,0.8462,104,21.49,991.1,15857.1
rician,24,15.0,counting,0.3364,214,21.56,933.3,14932.2
rician,24,15.0,threshold,0.6538,104,21.49,920.6,14729.4
rician,24,20.0,all,0.5684,526,21.52,940.1,15041.2
rician,24,20.0,co_presence,0.6827,104,21.49,922.6,14761.4
rician,24,20.0,comparison,0.8462,104,21.49,991.1,15857.1
rician,24,20.0,counting,0.3364,214,21.56,933.3,14932.2
rician,24,20.0,threshold,0.6538,104,21.49,920.6,14729.4
rician,24,5.0,all,0.5684,526,21.52,940.1,15041.2
rician,24,5.0,co_presence,0.6827,104,21.49,922.6,14761.4
rician,24,5.0,comparison,0.8462,104,21.49,991.1,15857.1
rician,24,5.0,counting,0.3364,214,21.56,933.3,14932.2
rician,24,5.0,threshold,0.6538,104,21.49,920.6,14729.4
rician,32,-5.0,all,0.597,526,27.08,954.2,15267.2
rician,32,-5.0,co_presence,0.7019,104,27.02,931.6,14904.9
rician,32,-5.0,comparison,0.8558,104,27.02,1013.6,16216.9
rician,32,-5.0,counting,0.3832,214,27.16,948.3,15173.4
rician,32,-5.0,threshold,0.6731,104,27.02,929.6,14872.9
rician,32,0.0,all,0.597,526,27.08,954.3,15268.9
rician,32,0.0,co_presence,0.7019,104,27.02,931.7,14906.6
rician,32,0.0,comparison,0.8558,104,27.02,1013.7,16218.6
rician,32,0.0,counting,0.3832,214,27.16,948.4,15175.1
rician,32,0.0,threshold,0.6731,104,27.02,929.7,14874.6
rician,32,10.0,all,0.597,526,27.08,954.2,15267.3
rician,32,10.0,co_presence,0.7019,104,27.02,931.6,14904.9
rician,32,10.0,comparison,0.8558,104,27.02,1013.6,16216.9
rician,32,10.0,counting,0.3832,214,27.16,948.3,15173.5
rician,32,10.0,threshold,0.6731,104,27.02,929.6,14872.9
rician,32,15.0,all,0.597,526,27.08,954.2,15267.3
rician,32,15.0,co_presence,0.7019,104,27.02,931.6,14904.9
rician,32,15.0,comparison,0.8558,104,27.02,1013.6,16216.9
rician,32,15.0,counting,0.3832,214,27.16,948.3,15173.5
rician,32,15.0,threshold,0.6731,104,27.02,929.6,14872.9
rician,32,20.0,all,0.597,526,27.08,954.2,15267.3
rician,32,20.0,co_presence,0.7019,104,27.02,931.6,14904.9
rician,32,20.0,comparison,0.8558,104,27.02,1013.6,16216.9
rician,32,20.0,counting,0.3832,214,27.16,948.3,15173.5
rician,32,20.0,threshold,0.6731,104,27.02,929.6,14872.9
rician,32,5.0,all,0.597,526,27.08,954.2,15267.3
rician,32,5.0,co_presence,0.7019,104,27.02,931.6,14904.9
rician,32,5.0,comparison,0.8558,104,27.02,1013.6,16216.9
rician,32,5.0,counting,0.3832,214,27.16,948.3,15173.5
rician,32,5.0,threshold,0.6731,104,27.02,929.6,14872.9
rician,48,-5.0,all,0.6141,526,35.4,970.5,15528.0
rician,48,-5.0,co_presence,0.6635,104,35.28,939.8,15036.0
rician,48,-5.0,comparison,0.8462,104,35.28,1047.8,16765.2
rician,48,-5.0,counting,0.4579,214,35.59,963.8,15420.6
rician,48,-5.0,threshold,0.6538,104,35.28,937.8,15004.0
rician,48,0.0,all,0.6103,526,35.4,970.4,15526.4
rician,48,0.0,co_presence,0.6538,104,35.28,939.6,15034.3
rician,48,0.0,comparison,0.8462,104,35.28,1047.7,16763.5
rician,48,0.0,counting,0.4533,214,35.59,963.7,15419.1
rician,48,0.0,threshold,0.6538,104,35.28,937.6,15002.3
rician,48,10.0,all,0.6103,526,35.4,970.3,15524.7
rician,48,10.0,co_presence,0.6538,104,35.28,939.5,15032.6
rician,48,10.0,comparison,0.8462,104,35.28,1047.6,16761.8
rician,48,10.0,counting,0.4533,214,35.59,963.6,15417.4
rician,48,10.0,threshold,0.6538,104,35.28,937.5,15000.6
rician,48,15.0,all,0.6103,526,35.4,970.3,15524.7
rician,48,15.0,co_presence,0.6538,104,35.28,939.5,15032.6
rician,48,15.0,comparison,0.8462,104,35.28,1047.6,16761.8
rician,48,15.0,counting,0.4533,214,35.59,963.6,15417.4
rician,48,15.0,threshold,0.6538,104,35.28,937.5,15000.6
rician,48,20.0,all,0.6103,526,35.4,970.3,15524.7
rician,48,20.0,co_presence,0.6538,104,35.28,939.5,15032.6
rician,48,20.0,comparison,0.8462,104,35.28,1047.6,16761.8
rician,48,20.0,counting,0.4533,214,35.59,963.6,15417.4
rician,48,20.0,threshold,0.6538,104,35.28,937.5,15000.6
rician,48,5.0,all,0.6103,526,35.4,970.3,15524.7
rician,48,5.0,co_presence,0.6538,104,35.28,939.5,15032.6
rician,48,5.0,comparison,0.8462,104,35.28,1047.6,16761.8
rician,48,5.0,counting,0.4533,214,35.59,963.6,15417.4
rician,48,5.0,threshold,0.6538,104,35.28,937.5,15000.6
rician,64,-5.0,all,0.6027,526,39.93,977.0,15632.0
rician,64,-5.0,co_presence,0.6635,104,39.8,942.4,15078.0
rician,64,-5.0,comparison,0.8462,104,39.8,1060.4,16966.5
rician,64,-5.0,counting,0.4439,214,40.12,971.1,15537.4
rician,64,-5.0,threshold,0.625,104,39.8,940.4,15046.0
rician,64,0.0,all,0.6008,526,39.93,977.0,15631.8
rician,64,0.0,co_presence,0.6538,104,39.8,942.3,15076.3
rician,64,0.0,comparison,0.8462,104,39.8,1060.8,16972.2
rician,64,0.0,counting,0.4439,214,40.12,971.0,15535.9
rician,64,0.0,threshold,0.625,104,39.8,940.3,15044.3
rician,64,10.0,all,0.6008,526,39.93,976.9,15630.1
rician,64,10.0,co_presence,0.6538,104,39.8,942.2,15074.6
rician,64,10.0,comparison,0.8462,104,39.8,1060.7,16970.5
rician,64,10.0,counting,0.4439,214,40.12,970.9,15534.2
rician,64,10.0,threshold,0.625,104,39.8,940.2,15042.6
rician,64,15.0,all,0.6008,526,39.93,976.9,15630.1
rician,64,15.0,co_presence,0.6538,104,39.8,942.2,15074.6
rician,64,15.0,comparison,0.8462,104,39.8,1060.7,16970.5
rician,64,15.0,counting,0.4439,214,40.12,970.9,15534.2
rician,64,15.0,threshold,0.625,104,39.8,940.2,15042.6
rician,64,20.0,all,0.6008,526,39.93,976.9,15630.1
rician,64,20.0,co_presence,0.6538,104,39.8,942.2,15074.6
rician,64,20.0,comparison,0.8462,104,39.8,1060.7,16970.5
rician,64,20.0,counting,0.4439,214,40.12,970.9,15534.2
rician,64,20.0,threshold,0.625,104,39.8,940.2,15042.6
rician,64,5.0,all,0.6008,526,39.93,976.9,15630.1
rician,64,5.0,co_presence,0.6538,104,39.8,942.2,15074.6
rician,64,5.0,comparison,0.8462,104,39.8,1060.7,16970.5
rician,64,5.0,counting,0.4439,214,40.12,970.9,15534.2
rician,64,5.0,threshold,0.625,104,39.8,940.2,15042.6
rician,full,-5.0,all,0.597,526,45.42,982.8,15724.4
rician,full,-5.0,co_presence,0.6635,104,45.28,945.9,15134.6
rician,full,-5.0,comparison,0.8462,104,45.28,1072.3,17156.8
rician,full,-5.0,counting,0.4439,214,45.62,976.1,15617.0
rician,full,-5.0,threshold,0.5962,104,45.28,943.9,15102.6
rician,full,0.0,all,0.597,526,45.42,982.7,15722.5
rician,full,0.0,co_presence,0.6635,104,45.28,945.7,15131.2
rician,full,0.0,comparison,0.8462,104,45.28,1072.5,17160.8
rician,full,0.0,counting,0.4439,214,45.62,975.9,15613.8
rician,full,0.0,threshold,0.5962,104,45.28,943.7,15099.2
rician,full,10.0,all,0.6008,526,45.42,982.6,15720.9
rician,full,10.0,co_presence,0.6635,104,45.28,945.6,15129.5
rician,full,10.0,comparison,0.8462,104,45.28,1072.4,17159.1
rician,full,10.0,counting,0.4533,214,45.62,975.8,15612.2
rician,full,10.0,threshold,0.5962,104,45.28,943.6,15097.5
rician,full,15.0,all,0.6008,526,45.42,982.6,15720.9
rician,full,15.0,co_presence,0.6635,104,45.28,945.6,15129.5
rician,full,15.0,comparison,0.8462,104,45.28,1072.4,17159.1
rician,full,15.0,counting,0.4533,214,45.62,975.8,15612.2
rician,full,15.0,threshold,0.5962,104,45.28,943.6,15097.5
rician,full,20.0,all,0.6008,526,45.42,982.6,15720.9
rician,full,20.0,co_presence,0.6635,104,45.28,945.6,15129.5
rician,full,20.0,comparison,0.8462,104,45.28,1072.4,17159.1
rician,full,20.0,counting,0.4533,214,45.62,975.8,15612.2
rician,full,20.0,threshold,0.5962,104,45.28,943.6,15097.5
rician,full,5.0,all,0.6008,526,45.42,982.6,15720.9
rician,full,5.0,co_presence,0.6635,104,45.28,945.6,15129.5
rician,full,5.0,comparison,0.8462,104,45.28,1072.4,17159.1
rician,full,5.0,counting,0.4533,214,45.62,975.8,15612.2
rician,full,5.0,threshold,0.5962,104,45.28,943.6,15097.5
awgn,1,-5.0,all,0.4639,526,1.0,702.9,11246.5
awgn,1,-5.0,co_presence,0.5769,104,1.0,705.4,11286.5
awgn,1,-5.0,comparison,0.75,104,1.0,703.3,11253.5
awgn,1,-5.0,counting,0.2103,214,1.0,701.2,11219.7
awgn,1,-5.0,threshold,0.5865,104,1.0,703.4,11254.5
awgn,1,0.0,all,0.4639,526,1.0,702.9,11246.5
awgn,1,0.0,co_presence,0.5769,104,1.0,705.4,11286.5
awgn,1,0.0,comparison,0.75,104,1.0,703.3,11253.5
awgn,1,0.0,counting,0.2103,214,1.0,701.2,11219.7
awgn,1,0.0,threshold,0.5865,104,1.0,703.4,11254.5
awgn,1,10.0,all,0.4639,526,1.0,702.9,11246.5
awgn,1,10.0,co_presence,0.5769,104,1.0,705.4,11286.5
awgn,1,10.0,comparison,0.75,104,1.0,703.3,11253.5
awgn,1,10.0,counting,0.2103,214,1.0,701.2,11219.7
awgn,1,10.0,threshold,0.5865,104,1.0,703.4,11254.5
awgn,1,15.0,all,0.4639,526,1.0,702.9,11246.5
awgn,1,15.0,co_presence,0.5769,104,1.0,705.4,11286.5
awgn,1,15.0,comparison,0.75,104,1.0,703.3,11253.5
awgn,1,15.0,counting,0.2103,214,1.0,701.2,11219.7
awgn,1,15.0,threshold,0.5865,104,1.0,703.4,11254.5
awgn,1,20.0,all,0.4639,526,1.0,702.9,11246.5
awgn,1,20.0,co_presence,0.5769,104,1.0,705.4,11286.5
awgn,1,20.0,comparison,0.75,104,1.0,703.3,11253.5
awgn,1,20.0,counting,0.2103,214,1.0,701.2,11219.7
awgn,1,20.0,threshold,0.5865,104,1.0,703.4,11254.5
awgn,1,5.0,all,0.4639,526,1.0,702.9,11246.5
awgn,1,5.0,co_presence,0.5769,104,1.0,705.4,11286.5
awgn,1,5.0,comparison,0.75,104,1.0,703.3,11253.5
awgn,1,5.0,counting,0.2103,214,1.0,701.2,11219.7
awgn,1,5.0,threshold,0.5865,104,1.0,703.4,11254.5
awgn,2,-5.0,all,0.4848,526,2.0,722.7,11563.1
awgn,2,-5.0,co_presence,0.6058,104,2.0,725.2,11602.6
awgn,2,-5.0,comparison,0.7885,104,2.0,723.6,11578.2
