channel,snr_assumed_db,snr_true_db,qtype,accuracy,n,mean_payload_bytes,mean_channel_uses
awgn,5.0,-5.0,counting,0.4533,214,975.8,15612.2
awgn,5.0,-5.0,presence,0.7195,410,198929.9,4014636.9
awgn,5.0,-5.0,threshold,0.5962,104,198819.8,4012416.8
awgn,5.0,0.0,all,0.6741,936,85741.4,689510.0
awgn,5.0,0.0,co_presence,0.6635,104,945.6,15129.5
awgn,5.0,0.0,comparison,0.8462,104,1072.4,17159.1
awgn,5.0,0.0,counting,0.4533,214,975.8,15612.2
awgn,5.0,0.0,presence,0.7537,410,155372.9,1242983.0
awgn,5.0,0.0,threshold,0.6538,104,155119.3,1240954.4
awgn,5.0,5.0,all,0.6848,936,107940.7,425140.2
awgn,5.0,5.0,co_presence,0.6635,104,945.6,15129.5
awgn,5.0,5.0,comparison,0.8462,104,1072.4,17159.1
awgn,5.0,5.0,counting,0.4533,214,975.8,15612.2
awgn,5.0,5.0,presence,0.7854,410,195759.2,761200.5
awgn,5.0,5.0,threshold,0.625,104,195697.6,760961.2
awgn,5.0,10.0,all,0.6806,936,139795.3,329402.0
awgn,5.0,10.0,co_presence,0.6635,104,945.6,15129.5
awgn,5.0,10.0,comparison,0.8462,104,1072.4,17159.1
awgn,5.0,10.0,counting,0.4533,214,975.8,15612.2
awgn,5.0,10.0,presence,0.7756,410,253777.8,586865.8
awgn,5.0,10.0,threshold,0.625,104,253662.2,586598.5
awgn,5.0,15.0,all,0.6741,936,153841.0,251229.5
awgn,5.0,15.0,co_presence,0.6635,104,945.6,15129.5
awgn,5.0,15.0,comparison,0.8462,104,1072.4,17159.1
awgn,5.0,15.0,counting,0.4533,214,975.8,15612.2
awgn,5.0,15.0,presence,0.7732,410,279322.9,444444.9
awgn,5.0,15.0,threshold,0.5769,104,279365.9,444513.3
awgn,5.0,20.0,all,0.6784,936,155078.4,192950.0
awgn,5.0,20.0,co_presence,0.6635,104,945.6,15129.5
awgn,5.0,20.0,comparison,0.8462,104,1072.4,17159.1
awgn,5.0,20.0,counting,0.4533,214,975.8,15612.2
awgn,5.0,20.0,presence,0.7805,410,281582.4,338327.9
awgn,5.0,20.0,threshold,0.5865,104,281595.5,338343.7
awgn,10.0,-5.0,all,0.6528,936,109676.5,2211529.4
awgn,10.0,-5.0,co_presence,0.6635,104,945.6,15129.5
awgn,10.0,-5.0,comparison,0.8462,104,1072.4,17159.1
awgn,10.0,-5.0,counting,0.4533,214,975.8,15612.2
awgn,10.0,-5.0,presence,0.7195,410,198929.9,4014636.9
awgn,10.0,-5.0,threshold,0.5962,104,198819.8,4012416.8
awgn,10.0,0.0,all,0.6741,936,85741.4,689510.0
awgn,10.0,0.0,co_presence,0.6635,104,945.6,15129.5
awgn,10.0,0.0,comparison,0.8462,104,1072.4,17159.1
awgn,10.0,0.0,counting,0.4533,214,975.8,15612.2
awgn,10.0,0.0,presence,0.7537,410,155372.9,1242983.0
awgn,10.0,0.0,threshold,0.6538,104,155119.3,1240954.4
awgn,10.0,5.0,all,0.6848,936,107940.7,425140.2
awgn,10.0,5.0,co_presence,0.6635,104,945.6,15129.5
awgn,10.0,5.0,comparison,0.8462,104,1072.4,17159.1
awgn,10.0,5.0,counting,0.4533,214,975.8,15612.2
awgn,10.0,5.0,presence,0.7854,410,195759.2,761200.5
awgn,10.0,5.0,threshold,0.625,104,195697.6,760961.2
awgn,10.0,10.0,all,0.6806,936,139795.3,329402.0
awgn,10.0,10.0,co_presence,0.6635,104,945.6,15129.5
awgn,10.0,10.0,comparison,0.8462,104,1072.4,17159.1
awgn,10.0,10.0,counting,0.4533,214,975.8,15612.2
awgn,10.0,10.0,presence,0.7756,410,253777.8,586865.8
awgn,10.0,10.0,threshold,0.625,104,253662.2,586598.5
awgn,10.0,15.0,all,0.6741,936,153841.0,251229.5
awgn,10.0,15.0,co_presence,0.6635,104,945.6,15129.5
awgn,10.0,15.0,comparison,0.8462,104,1072.4,17159.1
awgn,10.0,15.0,counting,0.4533,214,975.8,15612.2
awgn,10.0,15.0,presence,0.7732,410,279322.9,444444.9
awgn,10.0,15.0,threshold,0.5769,104,279365.9,444513.3
awgn,10.0,20.0,all,0.6784,936,155078.4,192950.0
awgn,10.0,20.0,co_presence,0.6635,104,945.6,15129.5
awgn,10.0,20.0,comparison,0.8462,104,1072.4,17159.1
awgn,10.0,20.0,counting,0.4533,214,975.8,15612.2
awgn,10.0,20.0,presence,0.7805,410,281582.4,338327.9
awgn,10.0,20.0,threshold,0.5865,104,281595.5,338343.7
awgn,15.0,-5.0,all,0.6528,936,87690.2,1767382.8
awgn,15.0,-5.0,co_presence,0.6635,104,945.6,15129.5
awgn,15.0,-5.0,comparison,0.8462,104,1072.4,17159.1
awgn,15.0,-5.0,counting,0.4533,214,975.8,15612.2
awgn,15.0,-5.0,presence,0.7195,410,198929.9,4014636.9
awgn,15.0,-5.0,threshold,0.5962,104,943.6,15097.5
awgn,15.0,0.0,all,0.6677,936,68610.8,553303.6
awgn,15.0,0.0,co_presence,0.6635,104,945.6,15129.5
awgn,15.0,0.0,comparison,0.8462,104,1072.4,17159.1
awgn,15.0,0.0,counting,0.4533,214,975.8,15612.2
awgn,15.0,0.0,presence,0.7537,410,155372.9,1242983.0
awgn,15.0,0.0,threshold,0.5962,104,943.6,15097.5
awgn,15.0,5.0,all,0.6816,936,86301.4,342266.4
awgn,15.0,5.0,co_presence,0.6635,104,945.6,15129.5
awgn,15.0,5.0,comparison,0.8462,104,1072.4,17159.1
awgn,15.0,5.0,counting,0.4533,214,975.8,15612.2
awgn,15.0,5.0,presence,0.7854,410,195759.2,761200.5
awgn,15.0,5.0,threshold,0.5962,104,943.6,15097.5
awgn,15.0,10.0,all,0.6774,936,111715.5,265901.9
awgn,15.0,10.0,co_presence,0.6635,104,945.6,15129.5
awgn,15.0,10.0,comparison,0.8462,104,1072.4,17159.1
awgn,15.0,10.0,counting,0.4533,214,975.8,15612.2
awgn,15.0,10.0,presence,0.7756,410,253777.8,586865.8
awgn,15.0,10.0,threshold,0.5962,104,943.6,15097.5
awgn,15.0,15.0,all,0.6763,936,122905.2,203516.6
awgn,15.0,15.0,co_presence,0.6635,104,945.6,15129.5
awgn,15.0,15.0,comparison,0.8462,104,1072.4,17159.1
awgn,15.0,15.0,counting,0.4533,214,975.8,15612.2
awgn,15.0,15.0,presence,0.7732,410,279322.9,444444.9
awgn,15.0,15.0,threshold,0.5962,104,943.6,15097.5
awgn,15.0,20.0,all,0.6795,936,123894.9,157033.8
awgn,15.0,20.0,co_presence,0.6635,104,945.6,15129.5
awgn,15.0,20.0,comparison,0.8462,104,1072.4,17159.1
awgn,15.0,20.0,counting,0.4533,214,975.8,15612.2
awgn,15.0,20.0,presence,0.7805,410,281582.4,338327.9
awgn,15.0,20.0,threshold,0.5962,104,943.6,15097.5
awgn,20.0,-5.0,all,0.6528,936,87690.2,1767382.8
awgn,20.0,-5.0,co_presence,0.6635,104,945.6,15129.5
awgn,20.0,-5.0,comparison,0.8462,104,1072.4,17159.1
awgn,20.0,-5.0,counting,0.4533,214,975.8,15612.2
awgn,20.0,-5.0,presence,0.7195,410,198929.9,4014636.9
awgn,20.0,-5.0,threshold,0.5962,104,943.6,15097.5
awgn,20.0,0.0,all,0.6677,936,68610.8,553303.6
awgn,20.0,0.0,co_presence,0.6635,104,945.6,15129.5
awgn,20.0,0.0,comparison,0.8462,104,1072.4,17159.1
awgn,20.0,0.0,counting,0.4533,214,975.8,15612.2
awgn,20.0,0.0,presence,0.7537,410,155372.9,1242983.0
awgn,20.0,0.0,threshold,0.5962,104,943.6,15097.5
awgn,20.0,5.0,all,0.6816,936,86301.4,342266.4
awgn,20.0,5.0,co_presence,0.6635,104,945.6,15129.5
awgn,20.0,5.0,comparison,0.8462,104,1072.4,17159.1
awgn,20.0,5.0,counting,0.4533,214,975.8,15612.2
awgn,20.0,5.0,presence,0.7854,410,195759.2,761200.5
awgn,20.0,5.0,threshold,0.5962,104,943.6,15097.5
awgn,20.0,10.0,all,0.6774,936,111715.5,265901.9
awgn,20.0,10.0,co_presence,0.6635,104,945.6,15129.5
awgn,20.0,10.0,comparison,0.8462,104,1072.4,17159.1
awgn,20.0,10.0,counting,0.4533,214,975.8,15612.2
awgn,20.0,10.0,presence,0.7756,410,253777.8,586865.8
awgn,20.0,10.0,threshold,0.5962,104,943.6,15097.5
awgn,20.0,15.0,all,0.6763,936,122905.2,203516.6
awgn,20.0,15.0,co_presence,0.6635,104,945.6,15129.5
awgn,20.0,15.0,comparison,0.8462,104,1072.4,17159.1
awgn,20.0,15.0,counting,0.4533,214,975.8,15612.2
awgn,20.0,15.0,presence,0.7732,410,279322.9,444444.9
awgn,20.0,15.0,threshold,0.5962,104,943.6,15097.5
awgn,20.0,20.0,all,0.6795,936,123894.9,157033.8
awgn,20.0,20.0,co_presence,0.6635,104,945.6,15129.5
awgn,20.0,20.0,comparison,0.8462,104,1072.4,17159.1
awgn,20.0,20.0,counting,0.4533,214,975.8,15612.2
awgn,20.0,20.0,presence,0.7805,410,281582.4,338327.9
awgn,20.0,20.0,threshold,0.5962,104,943.6,15097.5
rayleigh,-5.0,-5.0,all,0.641,936,74534.9,1644323.5
rayleigh,-5.0,-5.0,co_presence,0.6635,104,947.4,15158.5
rayleigh,-5.0,-5.0,comparison,0.8462,104,1073.4,17174.2
rayleigh,-5.0,-5.0,counting,0.4579,214,977.8,15644.6
rayleigh,-5.0,-5.0,presence,0.6878,410,168895.0,3733666.1
rayleigh,-5.0,-5.0,threshold,0.6058,104,945.4,15126.5
rayleigh,-5.0,0.0,all,0.6581,936,77421.4,724238.9
rayleigh,-5.0,0.0,co_presence,0.6635,104,946.0,15135.5
rayleigh,-5.0,0.0,comparison,0.8462,104,1072.8,17164.9
rayleigh,-5.0,0.0,counting,0.4346,214,976.0,15615.3
rayleigh,-5.0,0.0,presence,0.7415,410,175486.4,1633209.6
rayleigh,-5.0,0.0,threshold,0.5962,104,944.0,15103.5
rayleigh,-5.0,5.0,all,0.6677,936,78658.3,373311.9
rayleigh,-5.0,5.0,co_presence,0.6635,104,945.7,15131.1
rayleigh,-5.0,5.0,comparison,0.8462,104,1072.5,17160.6
rayleigh,-5.0,5.0,counting,0.4486,214,975.9,15613.9
rayleigh,-5.0,5.0,presence,0.7561,410,178310.4,832072.9
rayleigh,-5.0,5.0,threshold,0.5962,104,943.7,15099.1
rayleigh,-5.0,10.0,all,0.672,936,102638.6,290035.8
rayleigh,-5.0,10.0,co_presence,0.6635,104,945.7,15131.2
rayleigh,-5.0,10.0,comparison,0.8462,104,1072.5,17160.8
rayleigh,-5.0,10.0,counting,0.4533,214,975.9,15613.8
rayleigh,-5.0,10.0,presence,0.7634,410,233055.6,641959.7
rayleigh,-5.0,10.0,threshold,0.5962,104,943.7,15099.2
rayleigh,-5.0,15.0,all,0.6816,936,121114.3,231687.1
rayleigh,-5.0,15.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,-5.0,15.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,-5.0,15.0,counting,0.4533,214,975.8,15612.2
rayleigh,-5.0,15.0,presence,0.7854,410,275234.6,508755.9
rayleigh,-5.0,15.0,threshold,0.5962,104,943.6,15097.5
rayleigh,-5.0,20.0,all,0.6795,936,123152.5,175579.5
rayleigh,-5.0,20.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,-5.0,20.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,-5.0,20.0,counting,0.4486,214,975.8,15612.2
rayleigh,-5.0,20.0,presence,0.7829,410,279887.7,380666.4
rayleigh,-5.0,20.0,threshold,0.5962,104,943.6,15097.5
rayleigh,0.0,-5.0,all,0.641,936,93127.6,2055983.4
rayleigh,0.0,-5.0,co_presence,0.6635,104,947.4,15158.5
rayleigh,0.0,-5.0,comparison,0.8462,104,1073.4,17174.2
rayleigh,0.0,-5.0,counting,0.4579,214,977.8,15644.6
rayleigh,0.0,-5.0,presence,0.6878,410,168895.0,3733666.1
rayleigh,0.0,-5.0,threshold,0.6058,104,168279.8,3720066.0
rayleigh,0.0,0.0,all,0.6624,936,96829.2,904161.3
rayleigh,0.0,0.0,co_presence,0.6635,104,946.0,15135.5
rayleigh,0.0,0.0,comparison,0.8462,104,1072.8,17164.9
rayleigh,0.0,0.0,counting,0.4346,214,976.0,15615.3
rayleigh,0.0,0.0,presence,0.7415,410,175486.4,1633209.6
rayleigh,0.0,0.0,threshold,0.6346,104,175614.9,1634405.3
rayleigh,0.0,5.0,all,0.6731,936,98342.7,463979.4
rayleigh,0.0,5.0,co_presence,0.6635,104,945.7,15131.1
rayleigh,0.0,5.0,comparison,0.8462,104,1072.5,17160.6
rayleigh,0.0,5.0,counting,0.4486,214,975.9,15613.9
rayleigh,0.0,5.0,presence,0.7561,410,178310.4,832072.9
rayleigh,0.0,5.0,threshold,0.6442,104,178103.5,831107.3
rayleigh,0.0,10.0,all,0.6763,936,128433.9,359701.1
rayleigh,0.0,10.0,co_presence,0.6635,104,945.7,15131.2
rayleigh,0.0,10.0,comparison,0.8462,104,1072.5,17160.8
rayleigh,0.0,10.0,counting,0.4533,214,975.9,15613.8
rayleigh,0.0,10.0,presence,0.7634,410,233055.6,641959.7
rayleigh,0.0,10.0,threshold,0.6346,104,233101.6,642086.3
rayleigh,0.0,15.0,all,0.6795,936,151610.0,286572.9
rayleigh,0.0,15.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,0.0,15.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,0.0,15.0,counting,0.4533,214,975.8,15612.2
rayleigh,0.0,15.0,presence,0.7854,410,275234.6,508755.9
rayleigh,0.0,15.0,threshold,0.5769,104,275404.4,509069.7
rayleigh,0.0,20.0,all,0.6795,936,154142.5,216193.0
rayleigh,0.0,20.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,0.0,20.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,0.0,20.0,counting,0.4486,214,975.8,15612.2
rayleigh,0.0,20.0,presence,0.7829,410,279887.7,380666.4
rayleigh,0.0,20.0,threshold,0.5962,104,279853.3,380619.7
rayleigh,5.0,-5.0,all,0.641,936,93127.6,2055983.4
rayleigh,5.0,-5.0,co_presence,0.6635,104,947.4,15158.5
rayleigh,5.0,-5.0,comparison,0.8462,104,1073.4,17174.2
rayleigh,5.0,-5.0,counting,0.4579,214,977.8,15644.6
rayleigh,5.0,-5.0,presence,0.6878,410,168895.0,3733666.1
rayleigh,5.0,-5.0,threshold,0.6058,104,168279.8,3720066.0
rayleigh,5.0,0.0,all,0.6624,936,96829.2,904161.3
rayleigh,5.0,0.0,co_presence,0.6635,104,946.0,15135.5
rayleigh,5.0,0.0,comparison,0.8462,104,1072.8,17164.9
rayleigh,5.0,0.0,counting,0.4346,214,976.0,15615.3
rayleigh,5.0,0.0,presence,0.7415,410,175486.4,1633209.6
rayleigh,5.0,0.0,threshold,0.6346,104,175614.9,1634405.3
rayleigh,5.0,5.0,all,0.6731,936,98342.7,463979.4
rayleigh,5.0,5.0,co_presence,0.6635,104,945.7,15131.1
rayleigh,5.0,5.0,comparison,0.8462,104,1072.5,17160.6
rayleigh,5.0,5.0,counting,0.4486,214,975.9,15613.9
rayleigh,5.0,5.0,presence,0.7561,410,178310.4,832072.9
rayleigh,5.0,5.0,threshold,0.6442,104,178103.5,831107.3
rayleigh,5.0,10.0,all,0.6763,936,128433.9,359701.1
rayleigh,5.0,10.0,co_presence,0.6635,104,945.7,15131.2
rayleigh,5.0,10.0,comparison,0.8462,104,1072.5,17160.8
rayleigh,5.0,10.0,counting,0.4533,214,975.9,15613.8
rayleigh,5.0,10.0,presence,0.7634,410,233055.6,641959.7
rayleigh,5.0,10.0,threshold,0.6346,104,233101.6,642086.3
rayleigh,5.0,15.0,all,0.6795,936,151610.0,286572.9
rayleigh,5.0,15.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,5.0,15.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,5.0,15.0,counting,0.4533,214,975.8,15612.2
rayleigh,5.0,15.0,presence,0.7854,410,275234.6,508755.9
rayleigh,5.0,15.0,threshold,0.5769,104,275404.4,509069.7
rayleigh,5.0,20.0,all,0.6795,936,154142.5,216193.0
rayleigh,5.0,20.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,5.0,20.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,5.0,20.0,counting,0.4486,214,975.8,15612.2
rayleigh,5.0,20.0,presence,0.7829,410,279887.7,380666.4
rayleigh,5.0,20.0,threshold,0.5962,104,279853.3,380619.7
rayleigh,10.0,-5.0,all,0.641,936,93127.6,2055983.4
rayleigh,10.0,-5.0,co_presence,0.6635,104,947.4,15158.5
rayleigh,10.0,-5.0,comparison,0.8462,104,1073.4,17174.2
rayleigh,10.0,-5.0,counting,0.4579,214,977.8,15644.6
rayleigh,10.0,-5.0,presence,0.6878,410,168895.0,3733666.1
rayleigh,10.0,-5.0,threshold,0.6058,104,168279.8,3720066.0
rayleigh,10.0,0.0,all,0.6624,936,96829.2,904161.3
rayleigh,10.0,0.0,co_presence,0.6635,104,946.0,15135.5
rayleigh,10.0,0.0,comparison,0.8462,104,1072.8,17164.9
rayleigh,10.0,0.0,counting,0.4346,214,976.0,15615.3
rayleigh,10.0,0.0,presence,0.7415,410,175486.4,1633209.6
rayleigh,10.0,0.0,threshold,0.6346,104,175614.9,1634405.3
rayleigh,10.0,5.0,all,0.6731,936,98342.7,463979.4
rayleigh,10.0,5.0,co_presence,0.6635,104,945.7,15131.1
rayleigh,10.0,5.0,comparison,0.8462,104,1072.5,17160.6
rayleigh,10.0,5.0,counting,0.4486,214,975.9,15613.9
rayleigh,10.0,5.0,presence,0.7561,410,178310.4,832072.9
rayleigh,10.0,5.0,threshold,0.6442,104,178103.5,831107.3
rayleigh,10.0,10.0,all,0.6763,936,128433.9,359701.1
rayleigh,10.0,10.0,co_presence,0.6635,104,945.7,15131.2
rayleigh,10.0,10.0,comparison,0.8462,104,1072.5,17160.8
rayleigh,10.0,10.0,counting,0.4533,214,975.9,15613.8
rayleigh,10.0,10.0,presence,0.7634,410,233055.6,641959.7
rayleigh,10.0,10.0,threshold,0.6346,104,233101.6,642086.3
rayleigh,10.0,15.0,all,0.6795,936,151610.0,286572.9
rayleigh,10.0,15.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,10.0,15.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,10.0,15.0,counting,0.4533,214,975.8,15612.2
rayleigh,10.0,15.0,presence,0.7854,410,275234.6,508755.9
rayleigh,10.0,15.0,threshold,0.5769,104,275404.4,509069.7
rayleigh,10.0,20.0,all,0.6795,936,154142.5,216193.0
rayleigh,10.0,20.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,10.0,20.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,10.0,20.0,counting,0.4486,214,975.8,15612.2
rayleigh,10.0,20.0,presence,0.7829,410,279887.7,380666.4
rayleigh,10.0,20.0,threshold,0.5962,104,279853.3,380619.7
rayleigh,15.0,-5.0,all,0.641,936,74534.9,1644323.5
rayleigh,15.0,-5.0,co_presence,0.6635,104,947.4,15158.5
rayleigh,15.0,-5.0,comparison,0.8462,104,1073.4,17174.2
rayleigh,15.0,-5.0,counting,0.4579,214,977.8,15644.6
rayleigh,15.0,-5.0,presence,0.6878,410,168895.0,3733666.1
rayleigh,15.0,-5.0,threshold,0.6058,104,945.4,15126.5
rayleigh,15.0,0.0,all,0.6581,936,77421.4,724238.9
rayleigh,15.0,0.0,co_presence,0.6635,104,946.0,15135.5
rayleigh,15.0,0.0,comparison,0.8462,104,1072.8,17164.9
rayleigh,15.0,0.0,counting,0.4346,214,976.0,15615.3
rayleigh,15.0,0.0,presence,0.7415,410,175486.4,1633209.6
rayleigh,15.0,0.0,threshold,0.5962,104,944.0,15103.5
rayleigh,15.0,5.0,all,0.6677,936,78658.3,373311.9
rayleigh,15.0,5.0,co_presence,0.6635,104,945.7,15131.1
rayleigh,15.0,5.0,comparison,0.8462,104,1072.5,17160.6
rayleigh,15.0,5.0,counting,0.4486,214,975.9,15613.9
rayleigh,15.0,5.0,presence,0.7561,410,178310.4,832072.9
rayleigh,15.0,5.0,threshold,0.5962,104,943.7,15099.1
rayleigh,15.0,10.0,all,0.672,936,102638.6,290035.8
rayleigh,15.0,10.0,co_presence,0.6635,104,945.7,15131.2
rayleigh,15.0,10.0,comparison,0.8462,104,1072.5,17160.8
rayleigh,15.0,10.0,counting,0.4533,214,975.9,15613.8
rayleigh,15.0,10.0,presence,0.7634,410,233055.6,641959.7
rayleigh,15.0,10.0,threshold,0.5962,104,943.7,15099.2
rayleigh,15.0,15.0,all,0.6816,936,121114.3,231687.1
rayleigh,15.0,15.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,15.0,15.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,15.0,15.0,counting,0.4533,214,975.8,15612.2
rayleigh,15.0,15.0,presence,0.7854,410,275234.6,508755.9
rayleigh,15.0,15.0,threshold,0.5962,104,943.6,15097.5
rayleigh,15.0,20.0,all,0.6795,936,123152.5,175579.5
rayleigh,15.0,20.0,co_presence,0.6635,104,945.6,15129.5
rayleigh,15.0,20.0,comparison,0.8462,104,1072.4,17159.1
rayleigh,15.0,20.0,counting,0.4486,214,975.8,15612.2
rayleigh,15.0,20.0,presence,0.7829,410,279887.7,380666.4
rayleigh,15.0,20.0,threshold,0.5962,104,943.6,15097.5
rayleigh,20.0,-5.0,all,0.641,936,74534.9,1644323.5
rayleigh,20.0,-5.0,co_presence,0.6635,104,947.4,15158.5
rayleigh,20.0,-5.0,comparison,0.8462,104,1073.4,17174.2
rayleigh,20.0,-5.0,counting,0.4579,214,977.8,15644.6
rayleigh,20.0,-5.0,presence,0.6878,410,168895.0,3733666.1
rayleigh,20.0,-5.0,threshold,0.6058,104,945.4,15126.5
rayleigh,20.0,0.0,all,0.6581,936,77421.4,724238.9
rayleigh,20.0,0.0,co_presence,0.6635,104,946.0,15135.5
rayleigh,20.0,0.0,comparison,0.8462,104,1072.8,17164.9
rayleigh,20.0,0.0,counting,0.4346,214,976.0,15615.3
rayleigh,20.0,0.0,presence,0.7415,410,175486.4,1633209.6
rayleigh,20.0,0.0,threshold,0.5962,104,944.0,15103.5
rayleigh,20.0,5.0,all,0.6677,936,78658.3,373311.9
rayleigh,20.0,5.0,co_presence,0.6635,104,945.7,15131.1
rayleigh,20.0,5.0,comparison,0.8462,104,1072.5,17160.6
rayleigh,20.0,5.0,counting,0.4486,214,975.9,15613.9
rayleigh,20.0,5.0,presence,0.7561,410,178310.4,832072.9
rayleigh,20.0,5.0,threshold,0.5962,104,943.7,15099.1
rayleigh,20.0,10.0,all,0.672,936,102638.6,290035.8
