seed,task_id,service_level,risk_level,deadline_s,epsilon_k,sensed_snr_db,sinr_db,snr_bin,rate_mbps,distance_3d_m,path_loss_db,los_probability,payload_kb,tx_delay_s,arrival_delay_s,sense_delay_s,queue_delay_s,infer_delay_s,load_delay_s,utm_delay_s,delay_s,deadline_violation,semantic_accuracy_lcb,semantic_quality_gap,bandwidth_hz,power_w,cpu_share,gpu_share
0,0000359_00393_d_0000701_4,1,normal,5.5,0.65,-20.860798,-21.547651,-5dB,0.002945,467.943523,160.18924,0.046716,0.709613,1.974206,25.90171,0.16,0.179782,0.816,0.04,0.05,29.121698,1.0,0.804598,0.0,292500.0,0.5,0.25,0.05
0,0000359_00393_d_0000701_4,2,normal,5.5,0.65,-21.318373,-21.640957,-5dB,0.006405,467.943523,160.18924,0.046716,33.289961,42.578951,25.90171,0.36,0.179782,2.899429,0.38,0.05,72.349872,1.0,0.804598,0.0,650000.0,1.0,0.55,0.35
0,0000330_00001_d_0000800_5,0,critical,3.3000000000000003,0.82,-17.471558,-21.523509,-5dB,0.000329,303.100748,159.352724,0.069976,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.902494,0.0,32500.0,0.1,0.05,0.01
0,0000330_00001_d_0000800_5,1,critical,3.3000000000000003,0.82,-20.481857,-20.804441,-5dB,0.00776,303.100748,159.352724,0.069976,1.029653,1.087014,16.691654,0.16,0.179782,0.272,0.04,0.05,18.48045,1.0,0.201814,0.618186,650000.0,1.0,0.4,0.15
0,0000330_00001_d_0000800_5,2,critical,3.3000000000000003,0.82,-20.481857,-20.804441,-5dB,0.00776,303.100748,159.352724,0.069976,37.365825,39.447438,16.691654,0.36,0.179782,2.255111,0.38,0.05,59.363985,1.0,0.0,0.82,650000.0,1.0,0.7,0.45
0,0000289_04601_d_0000834_6,0,normal,5.5,0.65,-21.656002,-25.707953,-5dB,0.000126,310.062699,163.537168,0.068214,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.390805,0.259195,32500.0,0.1,0.05,0.01
0,0000289_04601_d_0000834_6,1,normal,5.5,0.65,-24.208727,-24.895579,-5dB,0.001365,310.062699,163.537168,0.068214,0.709613,4.259627,17.081764,0.16,0.179782,0.816,0.04,0.05,22.587174,1.0,0.804598,0.0,292500.0,0.5,0.25,0.05
0,0000289_04601_d_0000834_6,2,normal,5.5,0.65,-24.666302,-24.988885,-5dB,0.002968,310.062699,163.537168,0.068214,33.289961,91.873736,17.081764,0.36,0.179782,2.899429,0.38,0.05,112.824711,1.0,0.804598,0.0,650000.0,1.0,0.55,0.35
0,0000356_03529_d_0000647_7,0,normal,3.3000000000000003,0.82,-22.476725,-26.528676,-5dB,0.000104,539.563885,164.357891,0.042283,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.566667,0.253333,32500.0,0.1,0.05,0.01
0,0000356_03529_d_0000647_7,1,normal,3.3000000000000003,0.82,-25.02945,-25.716302,-5dB,0.00113,539.563885,164.357891,0.042283,0.725847,5.261944,29.893287,0.16,0.179782,0.816,0.04,0.05,36.401013,1.0,0.666667,0.153333,292500.0,0.5,0.25,0.05
0,0000356_03529_d_0000647_7,2,normal,3.3000000000000003,0.82,-25.487025,-25.809608,-5dB,0.002458,539.563885,164.357891,0.042283,31.097949,103.648701,29.893287,0.36,0.179782,2.899429,0.38,0.05,137.411198,1.0,0.7,0.12,650000.0,1.0,0.55,0.35
0,0000301_00001_d_0000156_8,0,normal,5.5,0.65,-20.665243,-24.717194,-5dB,0.000158,471.588083,162.546409,0.046446,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.758621,0.0,32500.0,0.1,0.05,0.01
0,0000301_00001_d_0000156_8,1,normal,5.5,0.65,-23.217968,-23.90482,-5dB,0.001714,471.588083,162.546409,0.046446,0.709613,3.392153,26.104924,0.16,0.179782,0.816,0.04,0.05,30.742858,1.0,0.804598,0.0,292500.0,0.5,0.25,0.05
0,0000301_00001_d_0000156_8,2,normal,5.5,0.65,-23.675543,-23.998126,-5dB,0.003727,471.588083,162.546409,0.046446,33.289961,73.162973,26.104924,0.36,0.179782,2.899429,0.38,0.05,103.137107,1.0,0.804598,0.0,650000.0,1.0,0.55,0.35
0,0000276_04201_d_0000528_9,0,critical,5.5,0.78,-20.086075,-24.138026,-5dB,0.00018,484.524684,161.967241,0.045532,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.530249,0.249751,32500.0,0.1,0.05,0.01
0,0000276_04201_d_0000528_9,1,critical,5.5,0.78,-23.096374,-23.418958,-5dB,0.004258,484.524684,161.967241,0.045532,1.027361,1.976548,26.826153,0.16,0.179782,0.272,0.04,0.05,29.504484,1.0,0.896797,0.0,650000.0,1.0,0.4,0.15
0,0000276_04201_d_0000528_9,2,critical,5.5,0.78,-23.096374,-23.418958,-5dB,0.004258,484.524684,161.967241,0.045532,37.48726,72.122021,26.826153,0.36,0.179782,2.255111,0.38,0.05,102.173068,1.0,0.953737,0.0,650000.0,1.0,0.7,0.45
0,0000360_03137_d_0000729_10,0,normal,5.5,0.65,-8.780603,-12.832554,-5dB,0.002381,231.820036,150.661769,0.098798,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.432432,0.217568,32500.0,0.1,0.05,0.01
0,0000360_03137_d_0000729_10,1,normal,5.5,0.65,-11.333328,-12.02018,-5dB,0.025703,231.820036,150.661769,0.098798,0.727275,0.231793,12.685723,0.16,0.179782,0.816,0.04,0.05,14.163298,1.0,0.432432,0.217568,292500.0,0.5,0.25,0.05
0,0000360_03137_d_0000729_10,2,normal,5.5,0.65,-11.790903,-12.113486,-5dB,0.05594,231.820036,150.661769,0.098798,33.008182,4.833816,12.685723,0.36,0.179782,2.899429,0.38,0.05,21.38875,1.0,0.513514,0.136486,650000.0,1.0,0.55,0.35
0,0000244_00001_d_0000001_11,0,normal,5.5,0.65,-5.862864,-9.914815,-5dB,0.004553,234.490095,147.744031,0.097182,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.566667,0.083333,32500.0,0.1,0.05,0.01
0,0000244_00001_d_0000001_11,1,normal,5.5,0.65,-8.415589,-9.102441,-5dB,0.048936,234.490095,147.744031,0.097182,0.725847,0.121508,12.836292,0.16,0.179782,0.816,0.04,0.05,14.203581,1.0,0.666667,0.0,292500.0,0.5,0.25,0.05
0,0000244_00001_d_0000001_11,2,normal,5.5,0.65,-8.873164,-9.195747,-5dB,0.106562,234.490095,147.744031,0.097182,31.097949,2.390661,12.836292,0.36,0.179782,2.899429,0.38,0.05,19.096163,1.0,0.7,0.0,650000.0,1.0,0.55,0.35
0,0000287_05001_d_0000782_12,0,normal,5.5,0.65,-21.463446,-25.515398,-5dB,0.000131,512.918786,163.344613,0.04374,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.567568,0.082432,32500.0,0.1,0.05,0.01
0,0000287_05001_d_0000782_12,1,normal,5.5,0.65,-24.016171,-24.703024,-5dB,0.001426,512.918786,163.344613,0.04374,0.727275,4.176621,28.408706,0.16,0.179782,0.816,0.04,0.05,33.831109,1.0,0.432432,0.217568,292500.0,0.5,0.25,0.05
0,0000287_05001_d_0000782_12,2,normal,5.5,0.65,-24.473746,-24.79633,-5dB,0.003103,512.918786,163.344613,0.04374,33.008182,87.151582,28.408706,0.36,0.179782,2.899429,0.38,0.05,119.429499,1.0,0.513514,0.136486,650000.0,1.0,0.55,0.35
0,0000244_00500_d_0000002_13,0,critical,5.5,0.78,-19.93408,-23.986031,-5dB,0.000187,482.172955,161.815246,0.045694,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.902494,0.0,32500.0,0.1,0.05,0.01
0,0000244_00500_d_0000002_13,1,critical,5.5,0.78,-22.94438,-23.266963,-5dB,0.004409,482.172955,161.815246,0.045694,1.029653,1.912982,26.695052,0.16,0.179782,0.272,0.04,0.05,29.309816,1.0,0.201814,0.578186,650000.0,1.0,0.4,0.15
0,0000244_00500_d_0000002_13,2,critical,5.5,0.78,-22.94438,-23.266963,-5dB,0.004409,482.172955,161.815246,0.045694,37.365825,69.421555,26.695052,0.36,0.179782,2.255111,0.38,0.05,99.341501,1.0,0.0,0.78,650000.0,1.0,0.7,0.45
0,0000194_00625_d_0000122_14,0,normal,5.5,0.65,-19.804559,-23.85651,-5dB,0.000193,471.331137,161.685725,0.046465,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.390805,0.259195,32500.0,0.1,0.05,0.01
0,0000194_00625_d_0000122_14,1,normal,5.5,0.65,-22.357284,-23.044136,-5dB,0.002088,471.331137,161.685725,0.046465,0.709613,2.783556,26.090597,0.16,0.179782,0.816,0.04,0.05,30.119935,1.0,0.804598,0.0,292500.0,0.5,0.25,0.05
0,0000194_00625_d_0000122_14,2,normal,5.5,0.65,-22.814859,-23.137442,-5dB,0.004542,471.331137,161.685725,0.046465,33.289961,60.036012,26.090597,0.36,0.179782,2.899429,0.38,0.05,89.99582,1.0,0.804598,0.0,650000.0,1.0,0.55,0.35
0,0000280_01401_d_0000619_15,0,normal,5.5,0.65,-23.036981,-27.088933,-5dB,9.2e-05,346.841817,164.918148,0.060608,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.671875,0.0,32500.0,0.1,0.05,0.01
0,0000280_01401_d_0000619_15,1,normal,5.5,0.65,-25.589706,-26.276559,-5dB,0.000993,346.841817,164.918148,0.060608,0.70485,5.812369,19.140421,0.16,0.179782,0.816,0.04,0.05,26.198571,1.0,0.78125,0.0,292500.0,0.5,0.25,0.05
0,0000280_01401_d_0000619_15,2,normal,5.5,0.65,-26.047281,-26.369865,-5dB,0.002161,346.841817,164.918148,0.060608,31.0457,117.703782,19.140421,0.36,0.179782,2.899429,0.38,0.05,140.713413,1.0,0.875,0.0,650000.0,1.0,0.55,0.35
0,0000244_03500_d_0000008_16,0,normal,3.3000000000000003,0.82,-18.505033,-22.556985,-5dB,0.00026,264.375468,160.3862,0.082562,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.758621,0.061379,32500.0,0.1,0.05,0.01
0,0000244_03500_d_0000008_16,1,normal,3.3000000000000003,0.82,-21.057758,-21.744611,-5dB,0.002814,264.375468,160.3862,0.082562,0.709613,2.065482,14.518442,0.16,0.179782,0.816,0.04,0.05,17.829706,1.0,0.804598,0.015402,292500.0,0.5,0.25,0.05
0,0000244_03500_d_0000008_16,2,normal,3.3000000000000003,0.82,-21.515333,-21.837917,-5dB,0.006122,264.375468,160.3862,0.082562,33.289961,44.547705,14.518442,0.36,0.179782,2.899429,0.38,0.05,62.935358,1.0,0.804598,0.015402,650000.0,1.0,0.55,0.35
0,0000289_05801_d_0000840_17,0,critical,5.5,0.78,-21.780399,-25.832351,-5dB,0.000122,517.138796,163.661566,0.043496,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.902494,0.0,32500.0,0.1,0.05,0.01
0,0000289_05801_d_0000840_17,1,critical,5.5,0.78,-24.790699,-25.113283,-5dB,0.002885,517.138796,163.661566,0.043496,1.029653,2.924082,28.643861,0.16,0.179782,0.272,0.04,0.05,32.269725,1.0,0.201814,0.578186,650000.0,1.0,0.4,0.15
0,0000289_05801_d_0000840_17,2,critical,5.5,0.78,-24.790699,-25.113283,-5dB,0.002885,517.138796,163.661566,0.043496,37.365825,106.114086,28.643861,0.36,0.179782,2.255111,0.38,0.05,137.982841,1.0,0.0,0.78,650000.0,1.0,0.7,0.45
0,0000196_04512_d_0000144_18,0,normal,5.5,0.65,-22.651318,-26.703269,-5dB,0.0001,498.257346,164.532484,0.044631,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.432432,0.217568,32500.0,0.1,0.05,0.01
0,0000196_04512_d_0000144_18,1,normal,5.5,0.65,-25.204043,-25.890895,-5dB,0.001086,498.257346,164.532484,0.044631,0.727275,5.488285,27.59162,0.16,0.179782,0.816,0.04,0.05,34.325687,1.0,0.432432,0.217568,292500.0,0.5,0.25,0.05
0,0000196_04512_d_0000144_18,2,normal,5.5,0.65,-25.661618,-25.984201,-5dB,0.002361,498.257346,164.532484,0.044631,33.008182,114.52245,27.59162,0.36,0.179782,2.899429,0.38,0.05,145.98328,1.0,0.513514,0.136486,650000.0,1.0,0.55,0.35
0,0000155_01871_d_0000001_19,0,normal,5.5,0.65,-24.362733,-28.414684,-5dB,6.7e-05,469.428056,166.2439,0.046606,0.0,0.0,0.0,0.0,0.179782,0.02,0.04,0.0,0.239782,0.0,0.671875,0.0,32500.0,0.1,0.05,0.01
0,0000155_01871_d_0000001_19,1,normal,5.5,0.65,-26.915458,-27.60231,-5dB,0.000732,469.428056,166.2439,0.046606,0.70485,7.884859,25.984486,0.16,0.179782,0.816,0.04,0.05,35.115127,1.0,0.78125,0.0,292500.0,0.5,0.25,0.05
0,0000155_01871_d_0000001_19,2,normal,5.5,0.65,-27.373033,-27.695616,-5dB,0.001593,469.428056,166.2439,0.046606,31.0457,159.673936,25.984486,0.36,0.179782,2.899429,0.38,0.05,189.527633,1.0,0.875,0.0,650000.0,1.0,0.55,0.35
1,0000154_00401_d_0000001_0,0,normal,3.3000000000000003,0.82,-16.947856,-20.999807,-5dB,0.000371,344.754882,158.829022,0.060976,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.758621,0.061379,32500.0,0.1,0.05,0.01
1,0000154_00401_d_0000001_0,1,normal,3.3000000000000003,0.82,-19.500581,-20.187433,-5dB,0.004022,344.754882,158.829022,0.060976,0.709613,1.445194,19.023696,0.16,0.088255,0.816,0.04,0.05,21.623145,1.0,0.804598,0.015402,292500.0,0.5,0.25,0.05
1,0000154_00401_d_0000001_0,2,normal,3.3000000000000003,0.82,-19.958156,-20.280739,-5dB,0.00875,344.754882,158.829022,0.060976,33.289961,31.168569,19.023696,0.36,0.088255,2.899429,0.38,0.05,53.969949,1.0,0.804598,0.015402,650000.0,1.0,0.55,0.35
1,0000280_02401_d_0000624_1,0,critical,3.3000000000000003,0.82,-4.000691,-8.052642,-5dB,0.006821,182.868812,145.881858,0.144447,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.530249,0.289751,32500.0,0.1,0.05,0.01
1,0000280_02401_d_0000624_1,1,critical,3.3000000000000003,0.82,-7.010991,-7.333574,-5dB,0.158998,182.868812,145.881858,0.144447,1.027361,0.052932,9.91336,0.16,0.088255,0.272,0.04,0.05,10.576547,1.0,0.896797,0.0,650000.0,1.0,0.4,0.15
1,0000280_02401_d_0000624_1,2,critical,3.3000000000000003,0.82,-7.010991,-7.333574,-5dB,0.158998,182.868812,145.881858,0.144447,37.48726,1.93144,9.91336,0.36,0.088255,2.255111,0.38,0.05,14.978165,1.0,0.953737,0.0,650000.0,1.0,0.7,0.45
1,0000216_00520_d_0000001_2,0,normal,3.3000000000000003,0.82,-17.741959,-21.79391,-5dB,0.000309,444.841731,159.623126,0.04857,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.390805,0.429195,32500.0,0.1,0.05,0.01
1,0000216_00520_d_0000001_2,1,normal,3.3000000000000003,0.82,-20.294684,-20.981536,-5dB,0.003353,444.841731,159.623126,0.04857,0.709613,1.73377,24.613316,0.16,0.088255,0.816,0.04,0.05,27.50134,1.0,0.804598,0.015402,292500.0,0.5,0.25,0.05
1,0000216_00520_d_0000001_2,2,normal,3.3000000000000003,0.82,-20.752259,-21.074842,-5dB,0.007293,444.841731,159.623126,0.04857,33.289961,37.392929,24.613316,0.36,0.088255,2.899429,0.38,0.05,65.783928,1.0,0.804598,0.015402,650000.0,1.0,0.55,0.35
1,0000360_00001_d_0000713_3,0,normal,3.3000000000000003,0.82,-28.26749,-32.319441,-5dB,2.7e-05,499.750053,170.148657,0.044537,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.566667,0.253333,32500.0,0.1,0.05,0.01
1,0000360_00001_d_0000713_3,1,normal,3.3000000000000003,0.82,-30.820215,-31.507068,-5dB,0.000298,499.750053,170.148657,0.044537,0.725847,19.943189,27.674816,0.16,0.088255,0.816,0.04,0.05,48.77226,1.0,0.666667,0.153333,292500.0,0.5,0.25,0.05
1,0000360_00001_d_0000713_3,2,normal,3.3000000000000003,0.82,-31.27779,-31.600374,-5dB,0.000648,499.750053,170.148657,0.044537,31.097949,392.845086,27.674816,0.36,0.088255,2.899429,0.38,0.05,424.297585,1.0,0.7,0.12,650000.0,1.0,0.55,0.35
1,0000335_03921_d_0000063_4,0,normal,5.5,0.65,-23.824215,-27.876166,-5dB,7.6e-05,483.353604,165.705381,0.045612,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.758621,0.0,32500.0,0.1,0.05,0.01
1,0000335_03921_d_0000063_4,1,normal,5.5,0.65,-26.37694,-27.063792,-5dB,0.000829,483.353604,165.705381,0.045612,0.709613,7.013214,26.76087,0.16,0.088255,0.816,0.04,0.05,34.928338,1.0,0.804598,0.0,292500.0,0.5,0.25,0.05
1,0000335_03921_d_0000063_4,2,normal,5.5,0.65,-26.834515,-27.157098,-5dB,0.001803,483.353604,165.705381,0.045612,33.289961,151.266476,26.76087,0.36,0.088255,2.899429,0.38,0.05,181.805029,1.0,0.804598,0.0,650000.0,1.0,0.55,0.35
1,0000356_02353_d_0000641_5,0,critical,3.3000000000000003,0.82,-12.749305,-16.801256,-5dB,0.000969,271.649915,154.630471,0.079761,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.902494,0.0,32500.0,0.1,0.05,0.01
1,0000356_02353_d_0000641_5,1,critical,3.3000000000000003,0.82,-15.759605,-16.082188,-5dB,0.022833,271.649915,154.630471,0.079761,1.029653,0.369411,14.927156,0.16,0.088255,0.272,0.04,0.05,15.906822,1.0,0.201814,0.618186,650000.0,1.0,0.4,0.15
1,0000356_02353_d_0000641_5,2,critical,3.3000000000000003,0.82,-15.759605,-16.082188,-5dB,0.022833,271.649915,154.630471,0.079761,37.365825,13.405823,14.927156,0.36,0.088255,2.255111,0.38,0.05,31.466345,1.0,0.0,0.82,650000.0,1.0,0.7,0.45
1,0000316_00801_d_0000523_6,0,normal,5.5,0.65,-12.846004,-16.897955,-5dB,0.000948,293.35497,154.727171,0.072662,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.432432,0.217568,32500.0,0.1,0.05,0.01
1,0000316_00801_d_0000523_6,1,normal,5.5,0.65,-15.398729,-16.085581,-5dB,0.010267,293.35497,154.727171,0.072662,0.727275,0.580284,16.145284,0.16,0.088255,0.816,0.04,0.05,17.879822,1.0,0.432432,0.217568,292500.0,0.5,0.25,0.05
1,0000316_00801_d_0000523_6,2,normal,5.5,0.65,-15.856304,-16.178887,-5dB,0.022337,293.35497,154.727171,0.072662,33.008182,12.105841,16.145284,0.36,0.088255,2.899429,0.38,0.05,32.028808,1.0,0.513514,0.136486,650000.0,1.0,0.55,0.35
1,0000276_02401_d_0000519_7,0,normal,5.5,0.65,-20.021723,-24.073674,-5dB,0.000183,457.045289,161.90289,0.047559,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.671875,0.0,32500.0,0.1,0.05,0.01
1,0000276_02401_d_0000519_7,1,normal,5.5,0.65,-22.574448,-23.2613,-5dB,0.001987,457.045289,161.90289,0.047559,0.70485,2.906289,25.293975,0.16,0.088255,0.816,0.04,0.05,29.354519,1.0,0.78125,0.0,292500.0,0.5,0.25,0.05
1,0000276_02401_d_0000519_7,2,normal,5.5,0.65,-23.032023,-23.354606,-5dB,0.004321,457.045289,161.90289,0.047559,31.0457,58.85254,25.293975,0.36,0.088255,2.899429,0.38,0.05,87.924198,1.0,0.875,0.0,650000.0,1.0,0.55,0.35
1,0000194_00399_d_0000121_8,0,normal,3.3000000000000003,0.82,-23.383291,-27.435242,-5dB,8.5e-05,471.018627,165.264457,0.046488,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.567568,0.252432,32500.0,0.1,0.05,0.01
1,0000194_00399_d_0000121_8,1,normal,3.3000000000000003,0.82,-25.936016,-26.622868,-5dB,0.000917,471.018627,165.264457,0.046488,0.727275,6.494524,26.073173,0.16,0.088255,0.816,0.04,0.05,33.721952,1.0,0.432432,0.387568,292500.0,0.5,0.25,0.05
1,0000194_00399_d_0000121_8,2,normal,3.3000000000000003,0.82,-26.39359,-26.716174,-5dB,0.001995,471.018627,165.264457,0.046488,33.008182,135.519924,26.073173,0.36,0.088255,2.899429,0.38,0.05,165.37078,1.0,0.513514,0.306486,650000.0,1.0,0.55,0.35
1,0000359_00785_d_0000703_9,0,critical,5.5,0.78,-19.334901,-23.386852,-5dB,0.000214,456.402599,161.216067,0.04761,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.530249,0.249751,32500.0,0.1,0.05,0.01
1,0000359_00785_d_0000703_9,1,critical,5.5,0.78,-22.345201,-22.667784,-5dB,0.00506,456.402599,161.216067,0.04761,1.027361,1.66332,25.258132,0.16,0.088255,0.272,0.04,0.05,27.531707,1.0,0.896797,0.0,650000.0,1.0,0.4,0.15
1,0000359_00785_d_0000703_9,2,critical,5.5,0.78,-22.345201,-22.667784,-5dB,0.00506,456.402599,161.216067,0.04761,37.48726,60.692686,25.258132,0.36,0.088255,2.255111,0.38,0.05,89.084184,1.0,0.953737,0.0,650000.0,1.0,0.7,0.45
1,0000069_00483_d_0000002_10,0,normal,3.3000000000000003,0.82,-13.657747,-17.709699,-5dB,0.000788,243.975126,155.538914,0.091905,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.390805,0.429195,32500.0,0.1,0.05,0.01
1,0000069_00483_d_0000002_10,1,normal,3.3000000000000003,0.82,-16.210472,-16.897325,-5dB,0.008534,243.975126,155.538914,0.091905,0.709613,0.68115,13.370765,0.16,0.088255,0.816,0.04,0.05,15.20617,1.0,0.804598,0.015402,292500.0,0.5,0.25,0.05
1,0000069_00483_d_0000002_10,2,normal,3.3000000000000003,0.82,-16.668047,-16.990631,-5dB,0.018566,243.975126,155.538914,0.091905,33.289961,14.688744,13.370765,0.36,0.088255,2.899429,0.38,0.05,31.837193,1.0,0.804598,0.015402,650000.0,1.0,0.55,0.35
1,0000327_00601_d_0000714_11,0,normal,5.5,0.65,-8.830472,-12.882423,-5dB,0.002354,231.480075,150.711638,0.099009,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.671875,0.0,32500.0,0.1,0.05,0.01
1,0000327_00601_d_0000714_11,1,normal,5.5,0.65,-11.383197,-12.070049,-5dB,0.025419,231.480075,150.711638,0.099009,0.70485,0.227162,12.666548,0.16,0.088255,0.816,0.04,0.05,14.047965,1.0,0.78125,0.0,292500.0,0.5,0.25,0.05
1,0000327_00601_d_0000714_11,2,normal,5.5,0.65,-11.840772,-12.163355,-5dB,0.05532,231.480075,150.711638,0.099009,31.0457,4.597396,12.666548,0.36,0.088255,2.899429,0.38,0.05,21.041627,1.0,0.875,0.0,650000.0,1.0,0.55,0.35
1,0000333_03333_d_0000018_12,0,normal,5.5,0.65,-23.100143,-27.152094,-5dB,9e-05,447.923046,164.981309,0.048307,0.0,0.0,0.0,0.0,0.088255,0.02,0.04,0.0,0.148255,0.0,0.758621,0.0,32500.0,0.1,0.05,0.01
